Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
ES100_SEM19-140_Control-lipid_0_1	0.01631131152127589	0.023067502117640738	6.826659337917545e-05	0.0002180126691786571	2.4223629908739676e-05	6.386229703213187e-05	0.0	0.0	4.404296347043578e-06	0.0006298143776272316	0.00014754392762595986	0.0003875780785398348	0.0	0.0	0.0	8.808592694087156e-06	0.0010812547531991981	0.0038383442664484783	0.0	0.0	0.0	2.4223629908739676e-05	0.0	0.0	0.0	0.0	0.0049526312422505025	1.1010740867608943e-05	3.3032222602826835e-05	0.0002686620771696582	0.00028407711438431076	0.0004051952639280091	0.0008522313431529322	0.004192890122385486	0.003944047378777523	0.0030147408495513287	0.002230776099777572	0.0005505370433804472	0.0005153026726040985	0.00015855466849356878	0.00014974607579948163	0.0004051952639280091	0.0	0.00023122555821978783	2.2021481735217887e-05	0.0	0.0	0.0	0.0	0.0008015819351619312
ES100_SEM19-140_Control-lipid_0_2	0.06830402989812533	0.0195770972626087	8.808592694087156e-06	0.0005042919317364896	1.1010740867608943e-05	8.368163059382797e-05	2.202148173521789e-06	1.1010740867608943e-05	7.046874155269725e-05	0.0001409374831053945	0.00016295896484061237	0.00015194822397300342	0.0005351220061657947	0.0003281200778547465	0.0007839647497737568	0.0005813671178097522	0.0006077928958920137	0.00028407711438431076	0.0010702440123315895	0.0003413329668958773	0.0007068895637004942	0.0006430272666683623	0.0006584423038830149	0.0005769628214627086	0.0009469237146143692	0.001554716610506383	0.00016295896484061237	5.72558525115665e-05	0.00038978022671335664	9.249022328791513e-05	0.002041391356854698	0.0041708686406502675	0.00014754392762595986	9.68945196349587e-05	0.00019158689109639564	0.000438227486530836	0.0011319041611901994	0.000438227486530836	0.00025324703995500573	0.0004051952639280091	0.00022682126187274424	0.0001365331867583509	0.0005263134134717075	0.00025324703995500573	0.0006188036367596227	0.00024884274360796214	0.0004558446719190103	0.0005615477842480562	0.00034353511506939906	0.0005879735623303176
ES101_SEM19-140_Control-lipid_14_1	0.01639501642676898	0.023501539579972613	6.28072422705395e-05	0.00023727180413314923	1.3957164949008778e-05	8.374298969405266e-05	9.304776632672519e-06	0.0	9.304776632672519e-06	0.0006373771993380675	0.00017446456186260973	0.0003908006185722458	0.0	0.0	0.0	1.1630970790840648e-05	0.0010840064777063484	0.004015011116998192	0.0	0.0	0.0	2.3261941581681297e-05	0.0	0.0	0.0	0.0	0.00491292206205109	6.978582474504389e-06	6.745963058687576e-05	0.00022098844502597232	0.00028379568729651185	0.00040010539520491826	0.0008676704209967124	0.004173192319753625	0.0038731132733499356	0.00304731434720025	0.002368065653015156	0.000555960403802183	0.0005792223453838643	0.00021866225086780418	0.00016050739691360094	0.0003698648711487326	4.6523883163362595e-06	0.00021400986255146792	3.0240524056185683e-05	2.3261941581681297e-06	0.0	6.978582474504389e-06	0.0	0.0007862536254608279
ES101_SEM19-140_Control-lipid_14_2	0.0682086651058059	0.01944000457981106	9.304776632672519e-06	0.0005489818213276786	6.978582474504389e-06	9.072157216855706e-05	4.6523883163362595e-06	6.978582474504389e-06	9.53739604848933e-05	0.00013491926117375152	0.00015352881443909657	0.0001907479209697866	0.0005326984622205017	0.000358233900357892	0.0007536869072464741	0.0006885534708177663	0.0006048104811237137	0.0003303195704598744	0.0011375089433442154	0.0003093838230363612	0.0007536869072464741	0.0006490081701289082	0.0007397297422974652	0.0006141152577563863	0.0009676967697979418	0.001432935601431568	0.00017213836770444159	5.582865979603511e-05	0.00039545300688858203	0.00011165731959207022	0.00194004592791222	0.004008032534523687	0.00015585500859726468	8.839537801038892e-05	0.00017446456186260973	0.0004140625601539271	0.0010444611770174903	0.0005001317440061478	0.0002931004639291843	0.0004885007732153072	0.00023029322165864482	0.0001628335910717691	0.0005326984622205017	0.0002814694931383437	0.0006466819759707401	0.00026285993987299865	0.0004559340550009534	0.0006117890635982181	0.0004140625601539271	0.0005885271220165368
ES102_SEM19-140_Control-lipid_21_1	0.01594839718919619	0.02353130685106443	6.434990405636886e-05	0.00019097390881244952	1.868223020991354e-05	4.1516067133141196e-05	4.15160671331412e-06	0.0	6.22741006997118e-06	0.0006185894002838038	0.00016814007188922184	0.00039232683440818434	0.0	0.0	0.0	8.30321342662824e-06	0.0010482806951118153	0.0037945685359691054	0.0	0.0	0.0	3.11370503498559e-05	0.0	0.0	0.0	0.0	0.005031747336536713	1.245482013994236e-05	3.944026377648414e-05	0.0002594754195821325	0.00025739961622547544	0.0003985542444781555	0.0008074875057395963	0.004153682516670777	0.0039004345071586154	0.002947640766453025	0.0022418676251896247	0.0005231024458775791	0.00048781378881440906	0.00019097390881244952	0.0001494578416793083	0.00038609942433821316	4.15160671331412e-06	0.00023871738601556188	2.0758033566570598e-05	0.0	0.0	4.15160671331412e-06	2.07580335665706e-06	0.0007597440285364839
ES102_SEM19-140_Control-lipid_21_2	0.06867587825164216	0.019759572152018554	1.4530623496599419e-05	0.0004795105753877808	1.245482013994236e-05	8.925954433625357e-05	2.07580335665706e-06	1.0379016783285299e-05	9.963856111953888e-05	0.00013077561146939478	0.0001453062349659942	0.00015360944839262243	0.0005231024458775791	0.00033212853706512957	0.0008759890165092793	0.0005438604794441497	0.0006538780573469738	0.0002594754195821325	0.0009569453474189046	0.0002802334531487031	0.0007223795681166568	0.0005666943163673774	0.0006870909110534868	0.0005791491365073197	0.0009237324937123916	0.001428152709380057	0.00015776105510593655	6.0198297343054735e-05	0.00039647844112149845	8.925954433625357e-05	0.0018806778411312962	0.004095560022684379	0.00013285141482605184	9.548695440622476e-05	0.00014323043160933713	0.0004089332612614408	0.0010856451555316424	0.0004608283451778673	0.00022418676251896247	0.00037364460419827075	0.00020135292559573482	0.00014738203832265125	0.0005604669062974062	0.0002532480095121613	0.000693318321123458	0.00023041417258893364	0.0004047816545481267	0.0005480120861574638	0.00037779621091158487	0.0005833007432206338
ES103_625_Control-lipid_0_1	0.016445518630491884	0.023071968362477588	6.471525337541523e-05	0.00023728926237652254	1.9610682841034923e-05	7.45205947959327e-05	5.883204852310477e-06	0.0	1.961068284103492e-06	0.0007157899236977747	0.00015100225787596889	0.000378486178831974	0.0	0.0	0.0	1.1766409704620953e-05	0.0011178089219389905	0.003894681612229536	0.0	0.0	0.0	2.1571751125138417e-05	0.0	0.0	0.0	0.0	0.005071322582691631	1.3727477988724447e-05	4.118243396617334e-05	0.00025886101350166093	0.0002568999452175575	0.00036083656427504256	0.0008334540207439842	0.00418884185484506	0.003943708319332123	0.003059266523201448	0.0022042407513323255	0.0005824372803787371	0.0005608655292535988	0.00017845721385341778	0.0001529633261600724	0.00043535715907097524	3.922136568206984e-06	0.00027258849149038543	2.7454955977448893e-05	0.0	0.0	3.922136568206984e-06	1.961068284103492e-06	0.0008001158599142249
ES103_625_Control-lipid_0_2	0.06797454886359525	0.019387121056647125	5.883204852310477e-06	0.0005412548464125639	0.0	8.236486793234668e-05	1.961068284103492e-06	5.883204852310477e-06	9.020914106876064e-05	0.0001529633261600724	0.00016080759929648636	0.00016472973586469336	0.0005334105732761499	0.0003157319937406622	0.0007628555625162585	0.0005785151438105301	0.000625580782629014	0.0002863159694791099	0.0010570158051317823	0.0002980823791837308	0.0007255952651182921	0.0006589189434587734	0.0007412838113911201	0.0006079311680720826	0.0009844562786199532	0.0014766844179299296	0.00016080759929648636	6.667632165951873e-05	0.0004314350225027683	9.217020935286414e-05	0.0019747957620922167	0.004165309035435817	0.00012354730189852002	0.0001255083701826235	0.00016865187243290033	0.00045104570534380324	0.001051132600279472	0.00045692891019611363	0.000262783150069868	0.00040005792995711245	0.00023532819409241906	0.00012943050675083047	0.0005608655292535988	0.0002843549011950064	0.0006608800117428768	0.0002529778086493505	0.0004392792956391823	0.0005883204852310476	0.00036475870084324956	0.0006393082606177384
ES104_625_Control-lipid_14_1	0.016417834471565924	0.02331702529191258	4.6254278612062953e-05	0.00017527937158255436	2.434435716424366e-05	3.8950971462789855e-05	0.0	0.0	7.303307149273098e-06	0.0006986830506137931	0.0001509350144183107	0.00039681302177717163	0.0	0.0	0.0	9.737742865697464e-06	0.0010687172795102967	0.004055769903562993	0.0	0.0	0.0	2.434435716424366e-05	0.0	0.0	0.0	0.0	0.005085536211610501	1.217217858212183e-05	4.6254278612062953e-05	0.0003067389002694701	0.0002629190573738315	0.00046984609326990265	0.0009202167008084104	0.004340598882384645	0.003968130217771717	0.002984618188336273	0.0022981073163046016	0.0006475599005688814	0.0006305188505539108	0.00014850057870188633	0.00016797606443328127	0.0004089852003592935	2.434435716424366e-06	0.00023614026449316354	2.434435716424366e-05	0.0	0.0	2.434435716424366e-06	0.0	0.0006743386934495494
ES104_625_Control-lipid_14_2	0.068558578645943	0.019762749145933005	9.737742865697464e-06	0.0005282725504640874	9.737742865697464e-06	0.00010224630008982338	0.0	1.217217858212183e-05	0.00011928735010479392	0.00015336945013473506	0.00016554162871685688	0.00020936147161249548	0.000564789086210453	0.00037246866461292805	0.0008277081435842845	0.0005793957005089991	0.0006840764363152469	0.0003335176931501381	0.0010395040509132043	0.0003822064074786255	0.0008033637864200408	0.0006621665148674275	0.0007303307149273098	0.0006499943362853058	0.0010322007437639313	0.0016310719300043253	0.00019475485731394927	4.6254278612062953e-05	0.00044063286467281023	0.00010224630008982338	0.0019256386516916736	0.004065507646428691	0.00015336945013473506	9.9811864373399e-05	0.00016067275728400818	0.00038464084319504986	0.001129578172420906	0.0005087970647326925	0.0003067389002694701	0.00039437858606074727	0.00023127139306031478	0.00015580388585115942	0.0005866990076582722	0.0003140422074187432	0.0007327651506437342	0.0002945667216873483	0.0005234036790312387	0.0006329532862703351	0.00042359181465783974	0.0006548632077181545
