Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
ES100_SEM19-140_Control-lipid_0_1	36.32986170330472	36.26831859494064	36.487095758764575	36.56320642004856	36.58005488673773	36.57096743347606	36.536496680754354	36.59313914006022	36.57759336268738	36.60485459255034	36.62682537241233	36.59154012315441	36.57555493904647	36.56903103514727	36.574672048994834	36.571421994459484	36.56071491983159	36.55542440336462	36.557552135156044	36.53824642039595	36.53633092297064	36.5152592166875	36.516493863095896	36.522355589045155	36.50126813657761	36.47926981873538	36.4712997263338	36.45599599067833	36.456055586971544	36.45923561832927	36.43299258403503	36.43214730571327	36.42133402005172	36.397826146271846	36.39707610447395	36.39372815355821	36.37101806024231	36.36948943054634	36.34874483237457	36.343209209804506	36.34302052782411	36.333054695505886	36.32264865957943	36.30571337599073	36.31021285305453	36.316423619064324	36.31356813994232	36.31646498959563	36.36801756770459	36.67070086844009
ES100_SEM19-140_Control-lipid_0_2	36.499215014368396	36.342479897025555	36.34582730209759	36.34919830260012	36.337262094364085	36.292339828789785	36.300619409960035	36.35479427465409	36.336348718573156	36.30368697101094	36.37053269265425	36.32021453984546	36.299978367532084	36.30657988156556	36.27779704553306	36.29629273913437	36.27928295945986	36.28962336331349	36.285133584920445	36.27523161296723	36.26871928218082	36.25280605081105	36.26624314564606	36.25964882866653	36.23310083054946	36.25004966587313	36.24489633181279	36.2256669637303	36.21985987638592	36.2061528443414	36.19967979087426	36.20458859562597	36.17935688134331	36.17223710241573	36.203798819055095	36.15572294941942	36.1697628546017	36.160273272492354	36.148302430443465	36.150790267037124	36.16328268570367	36.15785369622773	36.148697385352676	36.158140271940525	36.13201323090558	36.14421720577437	36.15448017061653	36.209964694630486	36.256917273625604	36.694404312906634
ES101_SEM19-140_Control-lipid_14_1	36.329535299750226	36.27921921005985	36.49902951886731	36.57538275624491	36.593848249475556	36.586576345714995	36.55488500422328	36.60964908960918	36.595366369593194	36.61953464843315	36.64027099088876	36.608063618446685	36.59518050593974	36.58752767046309	36.591541633878876	36.58627140877828	36.57651601992376	36.56861826306164	36.56970298165856	36.552099665903306	36.549525588965814	36.53075446267656	36.529538769775506	36.5366957113483	36.51661960000667	36.49259792256286	36.48656152572896	36.46943707090998	36.46870176453747	36.4717379230723	36.44464114175545	36.444006674008854	36.4345132956594	36.4107872607573	36.40937386616344	36.40500892698108	36.38260691288834	36.37723368799891	36.35463664219911	36.347212451485476	36.34806513621143	36.34353057207655	36.32840298551189	36.31067610885964	36.31350931081388	36.314452512092075	36.316063342285595	36.32037379722887	36.36460606512173	36.67358653468836
ES101_SEM19-140_Control-lipid_14_2	36.428992001321696	36.37482760421938	36.40828722017778	36.416385815379364	36.40330151411129	36.366387184360015	36.35103971978228	36.41941156632599	36.395973823220956	36.37496113823686	36.43204672045967	36.377772781543484	36.365959576477564	36.35766850633371	36.346393548951994	36.354593159040135	36.33871113788644	36.34896295743928	36.338005458728595	36.333247480024326	36.33061446035494	36.30815558708591	36.31533600601061	36.30971639111085	36.28950608581472	36.29911806030156	36.28578000625012	36.27418739174556	36.26390891259363	36.244812922809366	36.245975245802754	36.235709511647876	36.22343837239468	36.21396937031805	36.226052649998124	36.18444912599787	36.20132359766703	36.18801995736345	36.182592923999536	36.17473638966856	36.18399610642309	36.18147859845155	36.16983110565434	36.171919456317845	36.14384785232402	36.15460911419972	36.16359018336937	36.206580015930925	36.247705604401304	36.6609285932103
ES102_SEM19-140_Control-lipid_21_1	36.36939617518492	36.30268008416792	36.50697684611942	36.574714873284066	36.592290492100496	36.58557682248315	36.54973646556281	36.60473740310163	36.587637754259	36.614440082101524	36.63384581687512	36.602503385626605	36.58952432349112	36.580875020319624	36.58708483870167	36.58374344115302	36.57417351212339	36.56628554321845	36.568219020789165	36.55137497110878	36.54652519624725	36.52681938979963	36.526200252698	36.53270921768469	36.51230958993768	36.489339434589034	36.48174848276136	36.46557090105298	36.46465912349781	36.46818540769326	36.44486741143157	36.44195815927336	36.43155368006471	36.40864462245584	36.40600777488922	36.400004511248525	36.380875865882736	36.37918196137903	36.358698271317834	36.34948857506967	36.35070877808625	36.34359657845672	36.33074099810986	36.31552125214562	36.31589787925549	36.31896857707907	36.316561217768786	36.32255366619536	36.37000589956583	36.676024638497275
ES102_SEM19-140_Control-lipid_21_2	36.5302666164469	36.22360664965575	36.2332039575818	36.23994142674444	36.221231697846164	36.17233309349587	36.17958017016026	36.24033170160972	36.21894878350414	36.189830238701695	36.26427810495001	36.20050938981022	36.17874997001508	36.189298422477385	36.148514186224475	36.178269604346895	36.15263033537348	36.166940330039616	36.1600612776542	36.14545407125237	36.14035601208132	36.122805438404434	36.142049952951304	36.129903025354	36.10098195726417	36.12440162350068	36.11762703906957	36.100638386329244	36.090397856236564	36.07873142200371	36.06922231770884	36.08387395855719	36.052350458734594	36.03944075948515	36.07932313133324	36.02293117242668	36.03990846111521	36.0315724837808	36.016873454362106	36.01960051532018	36.03554537117267	36.026978149908814	36.01788744646282	36.0322346986138	36.00326407407859	36.02462313051374	36.04057415475774	36.09639837505762	36.1528659289767	36.65351603885163
ES103_625_Control-lipid_0_1	36.39731359907476	36.34201150814708	36.53822645517993	36.60419986623524	36.61799313177128	36.61022815792682	36.577805478449946	36.62972486969077	36.61444355092094	36.64185971675712	36.660213239404314	36.626197413684466	36.6126470883843	36.604682341370676	36.60868237144786	36.606026366593944	36.595579149090305	36.5880217432889	36.59015560969712	36.57239152517691	36.569132545225116	36.550603254145535	36.54732729816449	36.548367063751364	36.531546272243354	36.506770272034565	36.49763378327547	36.483766042325755	36.482327384463765	36.484839242413884	36.46266970766975	36.460008404053006	36.44744780450458	36.42740595521771	36.422165456762656	36.417898933631754	36.40077145962985	36.39684876670679	36.379984148713035	36.367920025950376	36.36650201083244	36.358857699891374	36.34708565950476	36.33277699581131	36.334432617419445	36.33705803565159	36.33716712312369	36.34371008571438	36.38722587102971	36.687092335642234
ES103_625_Control-lipid_0_2	36.482386006169996	36.466943770496236	36.495368585138664	36.50560156171479	36.494804814980206	36.45679598638007	36.45127152699099	36.513722442414284	36.49373650389435	36.46977734493919	36.51794253989036	36.472891534841764	36.45810180491092	36.44907494727929	36.44414937434917	36.443871868965495	36.431876089535386	36.4389453708862	36.426852824789464	36.424137669440576	36.421258285014254	36.40300698351656	36.40554017436676	36.397716512938764	36.38152175909	36.38622579887183	36.3777374086568	36.36134996603741	36.35410362956679	36.33419596023007	36.333937202247434	36.3226169745646	36.31153561718439	36.306133213447694	36.312411485152495	36.275768858484625	36.29398704880958	36.27935746603137	36.27611906042535	36.26440173676602	36.27124961562775	36.267997193588	36.259574341197165	36.26114289575139	36.23409240949484	36.23848896930089	36.241685229694795	36.28610075998004	36.32452049571003	36.701055112311515
ES104_625_Control-lipid_14_1	36.38674615976122	36.31466290166308	36.51182230879097	36.574983995535796	36.595250437021974	36.58807300626094	36.55482970680197	36.60881756484796	36.59578315026029	36.624524723107164	36.644416047435534	36.61169551894492	36.597310139834946	36.591535827339825	36.594980046752354	36.593350501306276	36.58530703222181	36.58065846593044	36.58336964646694	36.568089093001745	36.567576538415025	36.548404681696084	36.544064092256185	36.54851140631699	36.53131584986263	36.50621820618885	36.49818996672811	36.482030863284116	36.48252712419556	36.48535142362355	36.46351560228145	36.46061425819849	36.44880018020058	36.42703867782472	36.42553483736103	36.42227768166707	36.40672908791344	36.40498442198407	36.39012002260647	36.37949989449095	36.376738973276204	36.36641792749742	36.35476922093353	36.33808400502454	36.34174423375323	36.343433516867535	36.34177326485055	36.34615100321665	36.38847029758799	36.68509080080459
ES104_625_Control-lipid_14_2	36.505139943863924	36.223421407453884	36.16129092900102	36.15613999436473	36.13309188830918	36.0758259183037	36.077693757510204	36.13633139070918	36.11344845462216	36.079176512618304	36.15699779269272	36.087057155445514	36.05729772112564	36.08340614668628	36.02062497997052	36.056394331445624	36.03255501313305	36.04278990160434	36.03903441266336	36.01750258912252	36.01115700872631	35.998322047428225	36.02488340680948	36.01168878076677	35.975293206085865	36.007084742583494	35.99778457396448	35.98752609797682	35.97874028871277	35.96474273207074	35.94950955566479	35.98230629040978	35.94292055223165	35.92642296566317	35.97786853447976	35.924081443362745	35.93477281741514	35.92819549777608	35.912570444230994	35.917092726316106	35.93565410378153	35.925363092733484	35.916124593928515	35.93799029742112	35.91285663802224	35.94016614604702	35.97293016494859	36.02718364603222	36.09789112973598	36.65793531158639
