Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
ES100_SEM19-140_Control-lipid_0_1	36.32926752918204	36.26797813398993	36.48682568158413	36.563145751048694	36.579793374639024	36.57086564572875	36.5363830222744	36.593053543801446	36.57747691295382	36.60471026281427	36.626679795874075	36.59143588979614	36.57545732286388	36.56885515051077	36.574423942811976	36.57121889231727	36.56040561807638	36.55492953621328	36.55722587026418	36.53789338762069	36.5358281690206	36.51469087179853	36.51564336694803	36.52118864030673	36.49961908341969	36.47704103075509	36.46852772410959	36.45259333226969	36.45211960615461	36.45450732935471	36.42732575199781	36.425396075617805	36.413530130507006	36.388758231767504	36.38674527014357	36.38221699285436	36.358115405997395	36.354676553431105	36.33201939960412	36.32388439999335	36.32067613436231	36.30663558995164	36.29116704053637	36.266738588826016	36.26148234741508	36.26035136815612	36.24263182692084	36.218137244700834	36.21459552979336	36.20409802157907
ES100_SEM19-140_Control-lipid_0_2	36.46982615471566	36.33124049979514	36.33024129708289	36.33174961443138	36.31216709988426	36.258775290708336	36.25790238119383	36.304496048850694	36.2767522630651	36.23983386553749	36.29485066187215	36.23569472985202	36.20684724942334	36.20563976753684	36.17002039519531	36.18532109687679	36.16119101422247	36.16720783356957	36.15963184927265	36.14276927399909	36.127688302662364	36.10583632027206	36.11100059997527	36.09612057465937	36.0639644546859	36.07454678964783	36.0645914062709	36.03867696699454	36.02841819366374	36.010106692977935	36.000171503299754	36.00229527701978	35.97169618591239	35.95982345818523	35.987867837196504	35.93563345507909	35.9439074322611	35.93000445604683	35.91393595338317	35.912049439107356	35.92086998946603	35.911657941205064	35.89489344961116	35.89367742338974	35.85898619043891	35.85658879980833	35.84795668726886	35.86419854303675	35.832976684425894	35.829971566963856
ES101_SEM19-140_Control-lipid_14_1	36.329203299669196	36.2790404346745	36.49892314656933	36.57534799922761	36.59377471363212	36.58652447820383	36.55485734579432	36.6096386134087	36.59530874563167	36.61943431005651	36.64019650013388	36.60799511071207	36.595065332674956	36.58746230664064	36.59142311743375	36.58610359989479	36.576344912996035	36.56832759178214	36.56941960036775	36.551705864472716	36.54906023733275	36.53012915751086	36.52872664852902	36.53554946904269	36.51492538511249	36.49032448617337	36.483797092317786	36.46600801099397	36.464768102983776	36.466874471794	36.43890452259366	36.43711111994548	36.4265740884814	36.40172040202311	36.39887721121329	36.393280830045626	36.369270412231614	36.36178516140752	36.337129550381796	36.3270181194009	36.32474931245261	36.31631685862925	36.296026002012205	36.27078981944849	36.26387853377098	36.256736233751624	36.24302208630632	36.22196060808855	36.214225477487986	36.20626840470279
ES101_SEM19-140_Control-lipid_14_2	36.405438032478926	36.365424864359035	36.39689215342842	36.40351306028916	36.38455139101409	36.34248863648338	36.318329644648486	36.38243613614219	36.35183812256778	36.32990567073331	36.37824528800877	36.31506017875918	36.29976938343735	36.28509605309287	36.2691531092388	36.27538442510193	36.25409681755006	36.26226036332873	36.248084698962444	36.23879899712187	36.23076448533315	36.20385467585845	36.20522785153196	36.19301286643577	36.168627652218994	36.17297893796349	36.15579697005302	36.13920585545871	36.125954690436714	36.10332486885557	36.101981212585926	36.089218199408016	36.0731242390292	36.05990733884714	36.069574001505	36.025062718265346	36.03757478161747	36.02050070259205	36.01235955806312	36.00096385854944	36.00678039073223	36.0007503604496	35.98338394860432	35.977423773932266	35.94140654213727	35.939893515670974	35.932216679496015	35.943464130656	35.913282203430654	35.90638096691191
ES102_SEM19-140_Control-lipid_21_1	36.36863836848499	36.302265946944125	36.50661676850558	36.57453387835626	36.59198131693947	36.58539215661853	36.54961248902938	36.604466962759254	36.5873855298239	36.614151581803675	36.63359976269416	36.60223146785037	36.58935187606956	36.58061535945026	36.586814206466045	36.583445758843126	36.57376946377018	36.565815753354705	36.567777262978545	36.550758581578656	36.54582236271259	36.52606351709175	36.525226615452446	36.531346997101345	36.510514815838874	36.48695938815281	36.478764573177465	36.46197817417319	36.46043516726408	36.46327324712937	36.43905159035598	36.435208780150006	36.423758752624856	36.39967411963104	36.39591293001305	36.38879871599107	36.367428860143164	36.36434836796189	36.34185270016349	36.33051543027667	36.32849882883175	36.317630005488425	36.30031394449966	36.27791118965951	36.26448474824242	36.26376789031123	36.24816752231281	36.22363617643664	36.21605561243257	36.21183876321975
ES102_SEM19-140_Control-lipid_21_2	36.49809993415552	36.20982562836643	36.21248506459485	36.21738014103838	36.18700235728229	36.12726877003669	36.11954084475233	36.17214265667956	36.13879589289851	36.10552722083974	36.16488371764757	36.08591965976753	36.05577563222743	36.054592216733795	36.00464710097455	36.03039951741724	35.99371295209959	36.00302870088753	35.99096496209998	35.96600056212755	35.948944578541344	35.92274596816714	35.929047276836606	35.902318028850345	35.86356141015134	35.87488365122186	35.86029253881545	35.8306453132927	35.81374511874841	35.793737322031	35.77903343122822	35.78813560060879	35.74768103703814	35.72711015790221	35.76176646298884	35.69682516255616	35.706346789521014	35.690736935101256	35.67045293198921	35.66619300985675	35.67645949734007	35.663313061037755	35.6437289150274	35.64316981815132	35.602121554062634	35.60385183995058	35.596360556248875	35.6034171044536	35.57032896501275	35.568439838651955
ES103_625_Control-lipid_0_1	36.397133447657076	36.34195924252953	36.53812474610294	36.6042164340856	36.61790137650325	36.61015947113126	36.577864069140205	36.62975426931919	36.61440704698121	36.64175465408079	36.66018532291392	36.62618581141603	36.612641752143915	36.604618943350914	36.60862183671106	36.60594933207485	36.595424788471824	36.58767092058331	36.590014357961444	36.572076034931726	36.5687337078124	36.55012546424614	36.5465097838187	36.54725075385916	36.52991185096116	36.50456061137481	36.49473981673621	36.47932399622965	36.478186066747114	36.479705678949784	36.45674429522785	36.45044575572365	36.43922552314683	36.418190614464464	36.41113455350348	36.40588447954669	36.38665946039441	36.38129403640115	36.36211402376599	36.34787700140501	36.34302243569976	36.330879540105954	36.314487205647325	36.29253616430536	36.27838538972751	36.278146727717335	36.26504945863239	36.24025163251581	36.23067026470402	36.2260456146444
ES103_625_Control-lipid_0_2	36.464936128496255	36.459733728109455	36.48624131160953	36.495020445607665	36.47959895761377	36.43754318149795	36.425146111843844	36.48231564511842	36.457218461928264	36.43072101715121	36.47198573754258	36.41994063257984	36.40246747494711	36.38783510122005	36.37868930628484	36.37740092364355	36.36086115607132	36.366362285989844	36.351067737945975	36.3432981619005	36.33613049654347	36.314827019559594	36.31290125050461	36.298522815509656	36.277349239688924	36.276950221125155	36.26535620893339	36.24495670598576	36.23495157092846	36.2115063132181	36.20917295573094	36.195586341277064	36.180347762122025	36.17177375586641	36.175773393853206	36.1359718265086	36.15037485329984	36.13213960492122	36.126055253295014	36.11101821312753	36.11474459585962	36.10789568254148	36.09423068418829	36.08815092146186	36.05368946071897	36.0460623955057	36.03353467948251	36.049226598792785	36.022660124412134	36.01381700075589
ES104_625_Control-lipid_14_1	36.38612928153643	36.315077499895864	36.51162583034646	36.57524866361043	36.59526824572444	36.588135982028604	36.555717380612414	36.60912037970576	36.59583997295245	36.624266440614704	36.64446639007095	36.61203374196067	36.59813917576482	36.591991397872704	36.59557440036014	36.59376488429212	36.585354517500804	36.5803371211449	36.58372249614087	36.56806741906797	36.56749415814547	36.54870084999053	36.54400185348198	36.54799510707634	36.530219685183155	36.504735573905194	36.49596461849556	36.47937033612327	36.47893900280303	36.48100995292264	36.45896058699698	36.45495898328811	36.44222744441142	36.419646032559946	36.41570947697341	36.412314948499144	36.393840161913346	36.391531732589605	36.37581669536501	36.36350731198591	36.35818023106252	36.34445213158096	36.32459611920273	36.30488288647927	36.25041075625234	36.28748920845077	36.284010497189435	36.21538830673822	36.2168770859006	36.23966615511869
ES104_625_Control-lipid_14_2	36.45040758661704	36.205370871553065	36.13910650512628	36.13057086227299	36.094080009823436	36.02301220959586	36.002230405659034	36.04193977688056	36.00192987456984	35.95539563585039	36.010520340915456	35.913713787433984	35.876693518249176	35.882591936890854	35.80412430413785	35.83938306432697	35.79759935912019	35.80473912087803	35.78891879430871	35.744683003726564	35.72424014627453	35.70279408220812	35.71611692117597	35.67274041336864	35.61550670795372	35.625882467731984	35.60681937541095	35.57711232152878	35.5610556599401	35.53557298497922	35.5155376033774	35.540561679338026	35.491589669725215	35.46568016515017	35.511892011547694	35.44618683500497	35.44927988296012	35.43312460238057	35.411496953754074	35.40758651966278	35.42025179319926	35.40468496442109	35.38508296106551	35.38770051503652	35.34788653611226	35.35211437193226	35.357642147736115	35.35095112551388	35.32281440439059	35.32372700130761
