Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
ES100_SEM19-140_Control-lipid_0	30684.18742926273	34344.582539139985	37101.43521138547	38674.74044050461	38460.88240500068	40257.55391720503	42708.36236981217	45317.54717432633	49174.08128238731	57586.59504170576	68496.23765461419	73535.93933032738	79349.3466003132	81546.97174575723	80387.17787741005	74921.36944028377	64638.99223918243	50185.61813451453	39402.65420715831	31033.96514739783	25938.16144962169	23065.47654218754	23195.025821102445	23311.47590020941	38550.65388196462	40771.173319810725	41498.57880928454	48024.8226681488	58319.17600663259	61481.19929319958	63821.268757670405	61968.211119247295	59418.42681360881	58506.0157823076	54763.56600195796	50773.19792726641	50025.84596411763	50010.535590521205	49710.90223085634	49031.6149874263	48650.09299824586	48202.407865781046	49879.268534076036	50260.498091292495	50782.37310232218	53298.12547401639	54819.064947160005	54436.48354908194	54160.82700107755	52272.13327599443	48701.174045113745	46652.554779982456	44023.71460110113	37608.81158278197	35880.50876065204	36272.385023490904	26712.924785021725	30895.926264857808	32440.429057055015	33784.65525952201	36292.97027197261	38550.70612979679	38125.79850620143	37689.08280682008	37748.269909531664	37332.70471663664	36834.740379436786	34803.74043834865	33288.93381270533	33201.72775519792	31935.688142019728	32017.912169902913	32527.481072841787	31934.51577279583	31691.860763407305	31718.927984112623	31633.027899808825	30809.514943672006	32150.733641764273	33978.76030506026	37978.33593865126	41926.71628967037	42980.050576817455	42681.846288997076	42051.939538355924	37415.170013458905	22305.90496478108	23159.400562622453	23693.213755043336	23637.6791037527	22055.344096681147	20287.68091053935	15639.088475686047	14425.738120175449	13546.269477624133	12344.890545954584	11150.040190194179	9260.820952008236	6874.363407147552	2437.85186426466
ES101_SEM19-140_Control-lipid_14	25706.156332106282	29426.310610059278	32285.917821265077	34057.39032990915	34161.452423578994	36184.869736068045	38789.44834384588	41445.59422912156	45300.78157926396	53677.65354326158	64729.58147919964	70017.3463002877	77240.51949879521	80099.0522792089	79819.47430705163	74846.336890192	64914.41287955713	50384.348967285	40090.428334264114	30478.546351998695	24706.92821795294	21412.872604330205	21548.52927932531	21719.81874592437	35817.21111345684	37781.02208783815	38396.335929837915	45187.453752323025	55246.712366320215	57741.940478052784	59415.697950448644	57591.05922126571	54927.556029898944	53978.22765684199	50039.28145085212	45844.81992048458	44748.24945756296	44605.389946782336	44400.2065670887	43625.41722603939	42935.73459423456	41618.25256934801	41579.113378147	41132.186461637626	41025.90813122288	42182.84629682826	43199.77488670676	42634.85357638278	42161.56994887309	41341.722995438206	39215.6901005699	37875.17717079076	36284.045874451105	31752.880484909918	30914.9122481483	31759.240584958978	24485.463195316628	29037.467840950296	30766.8086576895	32028.56677885313	34198.50092176994	36365.499001378346	36392.7024860195	36141.12442472047	36573.6527247726	36141.00124118336	35669.13518585231	34014.80152625622	32804.53421663395	32961.02553405821	31420.90633440215	31407.002668924164	31801.461147467213	31233.45384604333	30799.470863068014	30449.00432928547	29861.820639912326	28987.866948828603	30378.479616739216	32134.63040547514	35687.0345599158	39603.62415420628	40499.904923156166	40542.40709213863	39803.30411230534	35125.18009274894	20934.542034995466	21758.789178090898	22387.381775368303	22299.29094353357	20728.01199000529	19043.36963988748	14614.738852904127	13470.713281254095	12686.306930135628	11706.976209468507	10599.12317445164	8846.395140894609	6539.137246805471	2310.9485994273646
ES102_SEM19-140_Control-lipid_21	30789.518812738123	34241.40244924907	36892.02588611016	38290.47080380027	38008.83556681889	39612.92101230771	42160.42846154313	44820.72115568879	48832.72877102826	57238.62683537011	67833.86991186274	72352.0202524518	78256.98000538147	80457.78924542486	79722.95078025122	74558.1791337485	64634.67443672828	50410.91388259515	40758.96374094073	32529.088658236004	27530.4867789613	24513.240019189503	24646.27743492404	24814.175314211516	39735.498605003595	41508.03116018759	41854.581263020904	48111.77319038294	57455.36691671013	60587.58076503726	63002.290921924374	61382.31508474684	59052.03191151945	58270.69822076845	54643.63252633242	51029.66325569544	50290.64451952914	50147.58430583149	49983.777486956256	49350.39723603755	49095.93423278989	48721.67824971131	50402.29654789747	50673.66862795312	51132.781813728674	53901.36715100249	55552.81525591899	55335.47691012113	55039.687575555785	53109.14019134646	49868.23425514658	48047.66173829067	45341.5892228298	38080.16338835264	35938.939313422816	36436.55675052411	27289.749536087023	31131.36292507728	32477.549243491194	33655.72154163869	36026.537048375845	38280.64349405433	38171.53608743265	37869.51371489776	38091.969429033146	37724.81406353256	37263.535814457784	35328.61250418823	33833.56381817272	33694.82042596239	32547.28745758209	32618.476715743593	33166.471335389775	32541.87442971016	32287.488529414226	32353.668855994	32271.71988717842	31284.950337911032	32428.015283257053	34207.22132510225	38174.4423044268	42309.43195480595	43143.04381942734	42617.78457025253	41914.03724245722	37438.6093543507	22539.240465883315	23259.869015760647	23738.125761779796	23713.7677047901	22300.417572212224	20738.578923835237	16490.75308739542	15290.630242628045	14333.298422603713	13130.235900859725	11948.857594257028	9927.868759563224	7368.596808044954	2626.8979407091724
ES103_625_Control-lipid_0	32156.39636381108	35851.770496170524	38767.741097709484	40125.242583172185	39447.62229771115	40856.42459160022	43429.76496201998	46279.17710775636	50261.127614907426	58638.61332214183	68812.68272237766	73238.92445907921	78842.42551274387	80455.73848559558	79297.3719392395	74105.26182771227	64618.75959020311	51379.691974220856	42384.040527367775	34915.40387677458	30606.36778760307	27840.736044404926	27715.350222963334	27901.480096513482	42137.395385915974	43745.605941915856	43885.036016065664	49456.70827952393	58013.01948715535	61019.12235775666	63517.98914885822	62196.04954431072	60316.14421184315	59905.94519398923	57015.648210723775	54109.17412032366	53532.583944694175	53585.99515090691	53577.45462799336	53066.26961202009	52832.775661158594	52395.147024281345	54068.75801441254	54457.11912805583	54642.5391196831	57360.185882059086	58815.22388420715	58456.68803271139	58074.61452732494	56416.62702258419	53586.57544909583	52103.43070000664	49252.487768806895	40951.88024158639	38579.43259096088	39124.21870722527	30392.263107181487	33871.78228919523	35538.645180796615	36616.658908836296	38703.87569562646	40686.87376576172	39909.25317213553	39864.238404516145	40135.07865458687	39687.722961467814	39153.89829659482	37338.62823460978	35994.69231076049	35779.369318016135	34461.976096991515	34283.90081153841	34686.32008633273	34148.61279502522	33785.62398705009	33914.040449689004	34034.88990680766	33422.54540592189	34536.67957488527	36440.89670828594	40357.68818834473	44285.05213491996	45101.38951521077	44309.65938826991	43369.112155913506	39095.846936769216	24658.21842950937	25449.473281377283	25893.782624548305	25818.112561865866	24430.53808909952	22921.91792218395	18725.172377285995	17534.015354979485	16511.343334841786	15178.770616567197	13815.592163279844	11621.012351740539	8872.268109923516	3157.439549215175
ES104_625_Control-lipid_14	25765.01129608415	28876.648917062732	31119.2766607165	32121.8729046267	31680.02378475102	32897.82385822052	34784.71231167882	36817.45405412393	40156.68401605191	46665.27151910063	54830.45744654676	58411.7366490235	62366.41130212169	63474.26952453912	62329.308505221255	58328.222292012506	50622.116984823166	39818.40562658002	32701.05163225808	27299.262367835177	23894.787816813223	21903.52911303261	21801.78483581795	21928.04449473718	32938.290356073034	34376.28962002412	34511.39550194796	38718.10886563969	45690.956715426575	47888.411220404836	49515.759093961446	48386.957594175736	46842.01553419142	46386.28603909793	43986.15129315428	41564.966023232664	41110.081827746966	41380.82065385213	41329.475384083125	40813.47447751999	40803.50212865142	40774.25315785985	42172.039319960546	42700.20123747479	42850.0019115774	45057.1019306296	46459.970317428924	46244.03844610438	46149.407173287684	44875.628545326166	42579.1313905	41084.47291899453	38830.48404210614	32400.71722787276	30140.94043158123	30161.240129448215	22950.639444621716	24706.56910890143	25705.883038199303	26505.725843976918	28423.647425636107	30203.44117782226	29657.170168441553	30458.653214758597	30654.902046735657	30270.35846389166	29880.021834725936	28433.73062340524	27316.828590253546	27007.453073430726	26495.182905059362	26662.717586570026	27038.59943480449	26570.533199984067	26313.987699614907	26386.856727470662	26674.85499836517	25729.258960575127	26296.515652043327	27562.287348731363	30492.230779655132	33453.14569778029	34167.60630237689	33422.84739441656	33037.479555759666	29956.281712186028	19061.090303101988	19612.342080668852	20006.92890855817	20048.895926459765	19025.43605293837	17755.042023617818	14291.300745308365	13347.800268683652	12597.49812385407	11548.819811655314	10500.455334366769	8740.954264940268	6506.170026996813	2295.2381120675004
ES105_625_Control-lipid_21	34760.165523212614	39156.985264856005	42232.925490921945	43680.56456949571	43182.78559144602	45368.276931895605	48476.08926757466	51674.567661000154	56781.72256383092	67245.93110333532	79890.90552239222	85553.87985813072	91844.4388734189	93558.55042710205	91761.96746091716	85738.97602023817	73843.55583321076	57542.70980503586	46693.50673468769	38283.94907786779	33227.52312815175	30342.7908708406	30210.25570705409	30401.509247390983	45705.93848167419	47472.97615340544	47153.50294419948	53033.25976064617	62562.04963308721	65616.35055341615	67878.41169806215	66510.45055076544	64432.86807121024	63929.824025433234	60651.050873818596	57242.27055827012	56819.910237132455	57382.90472610485	57357.610948095935	56580.580461541176	56481.734079624	56213.701612179895	58294.376097276996	59333.28235544046	59416.26443748608	62686.36916957451	64614.79959826909	64285.74276977805	63892.11516574193	61962.556909249564	58293.633452529175	56177.371044075044	52928.820083971645	43947.53273530871	40893.80035522587	40904.65554588616	31219.131039237065	33201.74194204962	34264.75066717656	35115.690311525235	37487.13934322015	39854.19879160675	39465.6844111747	41198.12096330611	41601.74810461098	41265.91850036576	40762.13603107654	38990.56329703243	37469.914501850646	36938.51624275231	35919.57160355019	35862.60515552792	36225.08534829712	35330.46833535304	34841.490611297486	34821.36570870251	35256.66680491524	34439.16354596071	35538.42708909457	37446.25159077325	41755.014356712	46251.58297028868	47112.151815415826	46147.34090593175	45489.91508626488	40915.67911975377	25376.121191801492	26235.846406273926	26772.0413918838	26755.098601055473	25434.350052751866	23700.963006904083	19152.740741465288	17822.726700564686	16743.39932365104	15291.894096928136	13920.118580691844	11520.381368964361	8713.20449011389	3049.938790118535
ES10_172_Control-protein_14	30162.975150011396	33385.28813128508	35224.823502838786	35985.26112950586	35552.78020799294	37493.450837534794	39550.90130557546	41939.14502078644	46693.47664549839	56351.34351548048	66593.49880163603	70616.59065974152	75532.18277107755	76529.89677786101	74331.63469991942	69097.71929249103	57499.01722365784	43639.528309289315	34946.02102095296	27782.853303933607	23556.21234372938	21704.856879468185	21869.752447032846	22023.758447511027	36652.370484674095	38588.381772036344	38543.2170598623	43556.395472376	53186.085306650915	55985.27544933946	57649.7321160837	56502.29336822917	54534.63585150628	54231.15852517226	50906.24321838314	47467.88618036055	47035.73780176014	48267.55991217419	48160.86542240191	47009.86626315529	46657.65405188474	46989.189098746065	48884.48886511816	50287.620267497914	50163.207449465575	52690.60711114238	54891.04748134912	54632.248372620175	54612.76737084701	53074.31936347789	49626.0220418096	47523.02744435693	44658.17379582445	36945.11585497414	34216.25970257202	34175.55049479588	24880.711393410773	27943.281322335013	29269.872722234886	30157.84394125457	31936.133994132102	34116.614482435376	33808.57486399938	34758.88235319568	35315.25444366959	35201.25206711235	34930.95428014441	33432.5233320823	31955.89995926582	31342.402837940797	30020.493345011266	30242.060235053006	30862.575393140527	30390.030951548462	30326.37943795885	30447.043377218208	30986.33021498874	29538.629520466424	30491.916929786225	32149.919723226212	35898.3506902738	39744.031964898764	40799.01113262867	39736.16167164298	39519.576264421805	35180.30440317372	20905.655846408696	21496.047230598175	21984.56051741352	22026.121289604147	20931.968467737537	19447.51818014404	15103.84971361093	14028.281405413592	13189.840189735243	12038.690284630835	10909.122538856722	9090.430353667909	6759.293983092608	2394.322732293028
ES11_172_Control-protein_21	30813.973760734276	35097.99613263499	37868.892597406295	39072.97294243885	38908.55731542551	41723.74454105312	44561.99872657284	47293.8962556504	52525.56918407743	63197.94079321147	75080.94018623282	80080.62991494217	85565.8855293188	86729.00092280233	84347.51008266093	78304.1993861587	65148.38814015989	49117.29360683504	39199.449057005215	31083.0348399819	26179.886220730557	23945.065310844366	24072.229038638594	24283.433186304388	41215.78456471509	43705.83922253395	44005.664096365756	50015.919226014485	61278.06900088462	64445.2646129917	66181.73790568074	64697.05650371603	62217.01726680212	61650.5055128558	57653.8752584817	53436.89228024251	52801.13079097353	54114.46471333223	53839.263724701916	52429.05783372246	51841.61403879282	52010.711160122315	53410.631710042755	54285.06377325872	53651.37684085206	55609.237324834656	57651.112956338155	57003.460522903	56530.88259518838	54913.64422823157	51055.46524104319	48670.001653653286	45871.672812823614	38976.522726960175	36582.2568926628	36576.70841754342	26985.83238371286	29705.240046416868	31198.296295708078	32404.257384450022	34789.62933111307	37682.20206134593	38117.67767624358	40245.18231624368	40980.19397566945	40677.41901192007	40307.09889694564	38544.891091947335	36648.4892305146	35822.40801400521	34447.167610422264	34873.47453488025	35551.00568197538	34907.01244532441	34690.00052584449	34571.894571851524	34938.272011539404	32950.42903705129	33873.26582843461	35850.70591446027	40170.87019542072	44629.17460113898	45901.51282056255	44856.45910504318	44791.241057457795	39943.743810672444	23543.520537153105	24286.945570511107	24795.745061038215	24780.817531870784	23516.480627392106	21673.838878516395	16622.7767350625	15444.274245597204	14520.88727898028	13232.514786896596	12009.503180900296	9852.505097304625	7274.552403105492	2520.0963765599463
ES12_209_MG-lipid_0	33575.5136031191	37726.470660380844	40674.85469531939	42286.38461361173	41941.0885458534	44480.53042589867	47662.91222200823	51318.700736906445	57504.754100733815	70440.78479634605	84932.07877889209	91336.75594590708	99777.14940491997	102654.99013184267	100784.87611201403	93917.54783782834	78723.00947299902	59756.2066472923	46719.169492656656	35317.319088647215	28252.10968789483	24797.190544394245	24731.47588003465	24813.32230196204	42997.47088891908	45487.208126640166	45401.166004679195	52491.92034145385	65053.2681534373	68497.24012575578	70703.98568428084	68960.62692350398	66367.82751352486	65757.57487913208	61631.27693694096	56946.71004062098	56500.97671262344	57744.11545764487	57820.68186483257	56754.027656516	56208.05877991879	56057.72272457371	58087.373767688114	59252.93232628468	59118.219172931786	62080.5034225189	64164.4244880452	63666.51088021591	63323.48081770293	61053.18312405082	56557.44011737313	53832.26241289978	50264.77417895288	41944.4708700514	39427.485560457266	39502.67862610723	28262.503281611534	32461.632467313997	33911.05420480213	34999.98963414826	37336.159456560286	39841.20884051367	39500.07095723324	40429.75840569167	41060.61619433551	40709.2940074603	40238.61480935866	38533.7431826643	37128.53345767682	37196.84740418385	35861.14818231432	36202.75418515892	36851.3837699141	36066.9755735979	35536.691211081794	35445.26328568518	35603.55704291896	33987.39454604719	35617.85589646661	37862.28130483319	42648.18588650913	47707.382690253806	49053.20759291404	48291.16016351718	47793.40802524514	41721.1941165708	23501.659991209275	24687.369937698528	25513.866021388774	25469.37761701307	23906.98498169094	22041.803152022607	16356.035988614876	14826.754489133953	13873.10783763365	12693.097760285847	11448.236740050637	9479.958653088648	7187.576618447433	2511.460869756015
ES13_209_MG-lipid_14	30108.116441337872	33876.734027578	36544.22220861812	37812.41302512749	37585.07544491659	39375.836520337616	41916.12503444536	44827.98950699324	49689.072873268575	59384.094832205396	70072.47076972011	75090.08864062777	81022.61912630688	82809.12398112842	81290.82598275771	76022.06552797717	64655.4627339962	50854.71494564603	41803.10106511923	34314.624922854266	29741.810234905723	27253.98987692603	27068.972992811676	27105.75658003886	40318.61164381632	42014.72902071971	41920.055897551836	46971.08863125024	55900.343672282295	58449.16018806959	60164.47789893454	59101.25762829752	57249.85785396288	57034.301694283975	54138.621522910784	50846.30061034883	50564.779769573586	51418.54767448537	51591.5434406741	50922.678950054746	50663.71653903826	50508.905314729054	52020.961710716765	52955.34484461249	52692.602918376775	55007.67700982943	56664.150430307425	56279.1019124263	56157.554721111366	54735.50200775437	51739.799381965975	49914.2416987741	47250.611416543674	39742.268803464365	37403.749656258464	37518.557912813856	29202.096503058474	32119.99842533501	33273.68367715459	34184.12952738344	35838.066429035614	37548.734594251226	37204.25929637713	37801.773734042516	38142.13083149756	37776.75110336018	37367.06731892696	35983.86433851898	34856.22077952607	34506.68157922531	33401.881914714606	33530.04293166023	33907.53672149106	33127.385064321905	32567.468819989073	32602.793636951308	33064.192241153454	31964.873886035206	32902.562253292745	34360.35627103017	37963.326719901044	41779.8243636631	42735.8843781404	41748.081965636564	41214.0679456542	36863.60287201428	23417.472045207767	24228.042015409184	24713.770210929295	24607.821908987164	23418.733281664827	21919.00385386352	17647.052750807114	16346.6846350294	15293.815357737636	13995.288827548753	12677.54040207364	10522.24185375253	8066.8878002263145	2812.4583082946115
