Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
ES100_SEM19-140_Control-lipid_0	0.7614230666282223	0.8522551695170117	0.9206660153568293	0.9597073259686809	0.9544004739755532	0.9989845821811217	1.0598009910237702	1.124547483002185	1.2202467428859811	1.4290018888203206	1.6997228767327017	1.8247822452970246	1.969040990987321	2.023574697685628	1.9947946035107589	1.8591614657132067	1.6040059658734376	1.2453478635765567	0.9777703864203905	0.7701027432008748	0.6436512121821382	0.572366008468739	0.5755807525273281	0.5784704420961698	0.9566281384181332	1.011729963218614	1.0297804108556647	1.1917280793098406	1.4471807650298985	1.5256458530547352	1.5837142921120848	1.5377309714541822	1.4744584930900249	1.4518171633471282	1.3589488873002167	1.2599285595365626	1.2413831434344345	1.2410032190306388	1.233567866469777	1.2167114651977435	1.2072440597578058	1.196134826794376	1.237745848605036	1.2472059973938627	1.260156239997188	1.322584221515311	1.360326084501472	1.3508323900039048	1.3439920180826501	1.2971243937927919	1.208511627538194	1.1576754772635311	1.0924412404015058	0.9332564766012094	0.8903689262001394	0.9000932712386858	0.6628768369802976	0.7666773310240049	0.8050039138987108	0.8383606661243971	0.900604090795579	0.9566294349394988	0.9460854221140803	0.9352483938292605	0.9367171120527882	0.9264049301093185	0.9140480269462058	0.8636490973010865	0.826059419917415	0.8238954159368983	0.7924788510706697	0.7945192268050988	0.8071640953592543	0.7924497589211142	0.7864283147552146	0.7870999833872112	0.7849683869170423	0.7645330482946554	0.7978151697937114	0.8431773509188849	0.9424261627429218	1.0404045720463555	1.066542889215521	1.059142998837543	1.0435119663759957	0.9284512928928066	0.5535173646476905	0.5746967175948798	0.5879432042068109	0.5865651209648372	0.547299737897577	0.5034354665343305	0.3880814094842427	0.3579723198850099	0.33614845010326827	0.30633642941856914	0.2766864142717685	0.2298057494606574	0.17058619781455597	0.06049489323297121
ES101_SEM19-140_Control-lipid_14	0.6937773515434142	0.7941797123221662	0.8713569725789605	0.9191668236318017	0.9219753307773122	0.9765848603386196	1.046879214151984	1.1185653049775475	1.2226120412896935	1.448693450362193	1.7469713101006863	1.8896815397345508	2.0846260466712403	2.161774309370417	2.1542288458414767	2.0200100205392646	1.7519596808927025	1.359811234871534	1.0819910543081892	0.8225782529989876	0.6668094211508342	0.577906936083412	0.5815681418849088	0.5861910326410797	0.9666622090417113	1.019663037292199	1.0362695965208701	1.2195534634682765	1.4910404065003942	1.558383525731812	1.6035561688653353	1.554311427306092	1.4824267718927926	1.4568055737682846	1.3504982895769682	1.23729496294604	1.2076998830080754	1.203844281581254	1.1983066360497518	1.177396030430899	1.1587823495866167	1.1232251399391273	1.1221688215980195	1.110106817132495	1.10723849649953	1.1384628260361362	1.1659084703666152	1.1506619432139933	1.1378886037314029	1.115761948906909	1.0583829517499639	1.022204166477025	0.9792615015966424	0.8569709544316906	0.8343552285928233	0.8571426056622589	0.6608323542226205	0.7836853271237729	0.8303580959443205	0.8644113863810542	0.9229752239010255	0.9814598207052806	0.982194009095146	0.9754042285142008	0.9870776321378671	0.9754009039429572	0.9626658229794163	0.9180174045190411	0.8853537873729568	0.88957729439359	0.8480113828821899	0.8476361401548277	0.8582820864021724	0.8429522721682566	0.8312396084524651	0.8217809503601788	0.8059335891436756	0.7823466604197431	0.8198775756332621	0.8672739124243198	0.9631489049373575	1.068852811842163	1.0930423207709916	1.0941894017211948	1.0742419268345607	0.9479851480867459	0.5649973858858653	0.5872427963846631	0.6042077327876303	0.6018302702367927	0.5594233955243243	0.5139569830096362	0.39443371789514337	0.3635578832918195	0.3423877264709373	0.31595680210824134	0.28605721951006935	0.23875325864609762	0.17648322300138558	0.0623696432150466
ES102_SEM19-140_Control-lipid_21	0.7590088603099255	0.844103086069203	0.9094450190223863	0.9439188310243799	0.936976090491653	0.9765192568926979	1.0393192226029535	1.1048995175778444	1.2038016584717686	1.411019937799276	1.6722089294527687	1.783588264790112	1.929154579077326	1.9834079022034348	1.965293007022527	1.8379734647778059	1.5933438544167182	1.242706341918556	1.0047709678277306	0.8018919249622583	0.6786687223326117	0.6042889621831691	0.6075685385191745	0.6117074787469029	0.9795409825486749	1.0232366285493473	1.0317796200846026	1.1860289976865246	1.4163629132163946	1.4935767884225957	1.5531030972065913	1.5131682082794853	1.4557231541275193	1.4364620803268688	1.3470493481647745	1.2579594629351805	1.239741517663064	1.2362148639854031	1.2321767746712549	1.2165629800771758	1.2102900767797675	1.201064092804236	1.2424939114019384	1.2491836493759452	1.2605014935425969	1.3287513682579366	1.3694620968535092	1.3641043732999525	1.3568127125537837	1.30922175867188	1.2293284567996514	1.1844485520653596	1.1177397142829963	0.9387344306872238	0.8859499732663342	0.8982170062817492	0.6727341800794678	0.7674358419619693	0.8006213993433156	0.8296651534436783	0.888109391780693	0.9436765727670963	0.9409869078569375	0.9335415931652715	0.9390254676968045	0.9299745248347165	0.9186033085372031	0.8709044813666009	0.8340492383151564	0.8306290009078239	0.8023405532774551	0.8040954776733867	0.8176043855015124	0.8022071138385054	0.795936111247109	0.797567557797403	0.795547390031788	0.7712220072437946	0.7994003112538064	0.8432604689357368	0.941058550563079	1.0429923872370441	1.0635421982021098	1.0505937521251132	1.0332453011647464	0.9229191398040941	0.5556268456908722	0.5733914446661216	0.5851812069530641	0.5845807434905606	0.5497394950816051	0.5112377770228554	0.4065223553067693	0.3769374865668936	0.35333778895309137	0.32368045266718903	0.2945576655413827	0.2447371911958918	0.18164721246126495	0.06475706308548336
ES103_625_Control-lipid_0	0.7536736361687784	0.8402848978235126	0.9086286929851003	0.9404454758446562	0.9245635797917796	0.9575827382654332	1.0178960511171447	1.0846798657126586	1.1780078333062567	1.3743572638671075	1.6128145770795657	1.7165557322301512	1.8478891990344057	1.8857016280382912	1.858552120452579	1.736860732435379	1.5145184477161528	1.2042244671116946	0.9933866213857137	0.8183385694214463	0.7173444511450822	0.6525242608284297	0.6495854990685379	0.6539479648439644	0.9876058137822056	1.0252986536064312	1.0285665810752576	1.159154052595143	1.3596947508465362	1.4301510437579283	1.4887188633432853	1.45773557102151	1.4136748164660518	1.404060673704497	1.3363186104353415	1.2681973921446181	1.2546834147284507	1.2559352533220258	1.255735082665892	1.2437540551469892	1.2382814818841703	1.2280244505204803	1.2672501294862906	1.2763524408695242	1.280698268608648	1.3443937988555414	1.37849661838282	1.370093344090624	1.3611384001090145	1.3222789005157503	1.2559488542069368	1.2211872757214615	1.154367582956226	0.9598200040959693	0.9042151649455451	0.916983726712663	0.712326318790062	0.7938784256977438	0.8329459444052143	0.8582121625802672	0.9071318315436404	0.9536088480950491	0.9353831696413049	0.9343281246913311	0.9406760112449807	0.9301909995515285	0.9176793495612892	0.8751335004317431	0.8436346638380615	0.8385879769812279	0.8077112416679663	0.8035375573290621	0.8129693604038606	0.800366710378988	0.7918590687981338	0.794868861974148	0.7977013015530474	0.7833493231364014	0.8094621232400692	0.8540926917511635	0.9458934782414361	1.0379420595776412	1.0570751724670158	1.0385187982736865	1.016474485702758	0.9163187561991069	0.5779332029296382	0.5964784377437796	0.6068920498433096	0.6051185136968533	0.5725968876255405	0.5372382226205153	0.4388759422482661	0.41095789962642404	0.3869887666643529	0.35575625806237554	0.32380641984007275	0.27237040295209725	0.2079460177010286	0.07400328442020973
ES104_625_Control-lipid_14	0.7767353421452666	0.8705415852083238	0.9381498702485915	0.9683750437444597	0.9550546604013568	0.9917675632547945	1.0486514097877722	1.1099322815353827	1.210599729229227	1.4068134969224433	1.6529685795712328	1.76093306267147	1.880154262866103	1.913552759204765	1.8790357283809511	1.7584153633030695	1.5261001403985535	1.2004016828333872	0.9858354896957642	0.8229882631107777	0.7203538930022424	0.6603236064711496	0.6572563314342602	0.6610626693489918	0.9929875029122505	1.0363387297933133	1.0404117539506093	1.1672311411538574	1.3774409213123566	1.4436873730277635	1.4927468744124368	1.4587170030852157	1.4121417819154538	1.3984029482223777	1.3260463145822199	1.2530550728001733	1.2393417222738816	1.247503659884162	1.2459557589256387	1.2303999287301557	1.2300992932784027	1.229217527341097	1.271356453669851	1.28727890070448	1.2917949273623208	1.358332161472049	1.4006243011448525	1.3941146235815116	1.3912617836108927	1.352861300605578	1.283629019556253	1.2385696929402554	1.170618904898194	0.9767813370052243	0.9086560611080543	0.9092680341666709	0.6918907419295501	0.7448265863153283	0.7749528081851275	0.7990655930882153	0.8568849923820263	0.910540265153532	0.8940718850507897	0.9182341181292325	0.9241504129796244	0.9125576142046636	0.9007901730138674	0.8571889695850295	0.8235178303453321	0.8141911160990525	0.7987477561125883	0.8037984082030906	0.8151300824895662	0.8010193342786721	0.7932852815078374	0.7954820571518648	0.8041643136007292	0.7756575198910877	0.7927585533534214	0.830917652164071	0.9192463777808431	1.0085087978731062	1.0300475736874601	1.0075953978066672	0.9959777502702022	0.9030891722780331	0.5746328743310866	0.5912514091780579	0.6031469807050615	0.6044121563975544	0.5735580090464755	0.5352595612141016	0.43083848272153075	0.4023948636947967	0.37977557637994475	0.34816117115941153	0.31655622709003234	0.2635127158933706	0.19614088827287676	0.06919432480716825
ES105_625_Control-lipid_21	0.7581629666477607	0.8540631399916908	0.9211532683591176	0.9527280989712958	0.9418709128488356	0.9895392301113568	1.0573245293105065	1.127087369360818	1.2384808467501618	1.466718407490012	1.7425212172417412	1.866037816136142	2.0032428269039655	2.0406297576375882	2.0014440215811256	1.8700749964333643	1.6106209080316347	1.2550789364223112	1.0184441603282142	0.8350211217632153	0.7247341066996255	0.6618144648260277	0.658923706066711	0.6630951865341119	0.9969040535651477	1.0354453695575436	1.028477256707381	1.156722154394871	1.3645570564878613	1.431175204357301	1.480513605436495	1.4506766508051727	1.405361961635954	1.3943899377586195	1.3228757679560288	1.2485259782531901	1.23931376797605	1.251593386485939	1.2510416973474003	1.234093684298708	1.2319377202798751	1.2260915947618698	1.2714737244642176	1.2941335777446097	1.2959435214130395	1.3672686220738348	1.4093301172590789	1.4021529736083138	1.3935674600603078	1.3514813655310685	1.271457526447416	1.2252991793380714	1.154444193576462	0.9585510107309689	0.891945263439983	0.8921820288129512	0.6809285470481155	0.7241717865770174	0.7473573450024079	0.7659174098204755	0.8176416984152212	0.869270244672343	0.8607962569677395	0.8985828789852857	0.9073864950286817	0.9000616286130523	0.8890734987893785	0.8504332673791389	0.8172660029420791	0.8056755379795228	0.7834510727366453	0.7822085627951114	0.7901147120945856	0.7706019888857648	0.7599367691920593	0.7594978197329518	0.7689922846045093	0.7511615094420815	0.7751378310862791	0.8167498850642749	0.9107294249207242	1.0088052467268058	1.0275753365352256	1.0065315960818007	0.9921923113779745	0.8924224668356339	0.5534851470123607	0.572236836174227	0.5839319237801868	0.583562380184397	0.5547551917689997	0.5169478382870046	0.41774538531146493	0.3887361048389944	0.36519461607598674	0.333535459905914	0.303615309086438	0.2512740196756222	0.19004595823405593	0.06652300431843966
ES10_172_Control-protein_14	0.7912520088759053	0.875781522525647	0.9240372416946363	0.943985466189491	0.9326403851341338	0.9835491408704153	1.0375213305467788	1.1001710734168957	1.2248893556886682	1.4782399129305817	1.7469178502058271	1.8524538425536201	1.9814023999676493	2.0075749909744998	1.9499089525099107	1.8126099606227428	1.5083463305705223	1.1447764774327662	0.91672353929046	0.7288153234126091	0.6179397173450321	0.5693739269031199	0.5736995595186487	0.577739530929004	0.9614854513465113	1.0122719806166927	1.0110871946643694	1.1425956904286967	1.3952070919342618	1.4686370109861	1.5122999677965052	1.4821997137669682	1.4305830229351235	1.422622036231529	1.3354010010798245	1.2452040990820135	1.2338677414780486	1.2661815869987716	1.2633827175587233	1.2331890648292103	1.2239496374075973	1.2326466499051094	1.2823652118210214	1.319172938357554	1.3159092718356535	1.3822094312061493	1.4399326118499214	1.433143649101431	1.4326326125836053	1.3922751852964135	1.3018175242267827	1.246650595513221	1.1714981547058052	0.9691649113860804	0.8975800328459828	0.8965121261732354	0.6526847160927512	0.7330237607835508	0.7678236472306899	0.791117404142234	0.8377665019088001	0.8949660837837343	0.8868854164858747	0.9118144132488517	0.9264094766363504	0.9234189026290146	0.9163283001314353	0.8770206226918136	0.83828501374464	0.8221914146459508	0.7875143465971038	0.7933266129923785	0.8096043131506971	0.7972082634628492	0.795538521411699	0.7987038452520369	0.8128507187492324	0.7748738256511591	0.7998809933429746	0.8433746485446486	0.9417055830117658	1.04258764185742	1.0702624445463782	1.0423811839295094	1.0366995945735307	0.9228693918101957	0.5484088390840631	0.5638963155826398	0.5767112689363068	0.5778015143223377	0.549099086461243	0.5101581575146392	0.3962126205461499	0.3679977120262893	0.3460032538227987	0.3158056466437593	0.28617419472099176	0.2384652456567608	0.17731357454315394	0.0628092110410862
ES11_172_Control-protein_21	0.7271459837780194	0.8282400421533245	0.8936274618827021	0.9220412651083078	0.9181613967154346	0.9845939867018266	1.0515709091840453	1.1160380347740977	1.2394946842761987	1.4913405582691626	1.7717547414889452	1.8897370677736478	2.019177743648837	2.0466248588313545	1.9904266056213247	1.847816985200215	1.537367077468426	1.1590664371165094	0.9250258395570591	0.7334952681866146	0.6177911122072723	0.5650539656871554	0.5680547663844561	0.5730387469941929	0.9726071829360349	1.0313673174736968	1.038442563741394	1.1802721412227104	1.4460355588556135	1.5207748179679101	1.561751992496618	1.5267165852813287	1.4681927939411858	1.4548242894489145	1.3605120900331713	1.2610000225505178	1.2459973676786638	1.2769893291315382	1.2704951555735249	1.237217216224057	1.2233547589020892	1.2273451008682998	1.260380327463453	1.2810151137390373	1.26606141411399	1.3122628679991675	1.3604469054216293	1.3451636488863574	1.3340117882134015	1.2958483110690522	1.2048032749106283	1.1485112730906741	1.0824765060820645	0.9197652397126733	0.863265523089796	0.8631345905644918	0.6368097730299368	0.7009821636324811	0.7362151999054666	0.7646733847887388	0.8209632240772714	0.8892219517540916	0.899498274660863	0.9497029793983123	0.9670477327992035	0.9599028705172916	0.9511640825113443	0.9095796267726419	0.8648284691362593	0.8453346627377902	0.8128818364986478	0.8229417972938179	0.8389301296108438	0.8237332225437106	0.818612190543519	0.8158251345547944	0.8244708835868584	0.7775619050012306	0.7993389426448487	0.8460024346008099	0.9479493672020399	1.053156120743477	1.0831806684842187	1.0585195644678147	1.0569805535716614	0.9425896547624135	0.5555783403827449	0.5731216319894628	0.5851282465519939	0.5847759877694653	0.5549402544955724	0.51145772421108	0.39226311529939345	0.3644528965090122	0.3426628758689588	0.312259952490653	0.2833994107014163	0.23249872175807304	0.17166437554514388	0.05946905690184626
ES12_209_MG-lipid_0	0.7332275041811473	0.8238767767145809	0.8882640648096972	0.9234569161796007	0.9159162847254185	0.971373027806951	1.0408703969103728	1.1207060986148407	1.2557981339089537	1.538297267446358	1.854760492544735	1.9946268698626424	2.1789495492835163	2.2417963011925135	2.200956448331238	2.0509866212008494	1.7191658313799745	1.3049657192811104	1.0202607903318668	0.7712653344886535	0.6169741472661414	0.5415250634284108	0.5400899759445364	0.5418773513629843	0.9389857334320832	0.9933570184840417	0.9914780166886966	1.1463270583614928	1.420643806400049	1.4958538241404276	1.5440450910668655	1.5059733400828983	1.4493513666205255	1.436024570750031	1.3459138079654658	1.2436114773396365	1.2338774807288555	1.2610253459897542	1.2626974155911301	1.2394036482274158	1.2274806914714909	1.2241976283454252	1.2685214765609054	1.2939751331452487	1.2910332454832787	1.355724088717263	1.4012330944721123	1.390359576458896	1.3828684303942793	1.333289301647605	1.2351105377069724	1.1755976656085547	1.0976902797412098	0.9159901484690786	0.8610238156102752	0.8626658939567142	0.6172011242491433	0.7089023875257475	0.7405550941871163	0.7643354424644905	0.8153530974281172	0.8700587716095548	0.8626089472614885	0.882911612339362	0.8966883869057409	0.8890161560862534	0.878737387523738	0.8415061248074998	0.8108189272359954	0.8123107782644027	0.7831415623183772	0.7906016095373056	0.8047664874656038	0.787636454226418	0.7760560184293658	0.7740594005862722	0.7775162452950661	0.7422222269238216	0.7778285059747784	0.8268426315649375	0.9313579909769042	1.0418415501986562	1.0712318924018125	1.0545901772123116	1.0437201853974394	0.9111141945631628	0.5132330573751067	0.5391267832321048	0.5571759385726026	0.5562043935922045	0.5220846101664097	0.48135246727270603	0.3571857630530785	0.32378906597468643	0.3029631759401906	0.2771939247486927	0.2500084481627243	0.20702487250407775	0.156963462341955	0.0548456892468429
ES13_209_MG-lipid_14	0.7309050275145099	0.8223920372027225	0.8871480150851809	0.9179346318913315	0.9124157818283302	0.9558883210571693	1.0175563981657554	1.0882448580889414	1.2062525813053833	1.4416090608598917	1.7010802145574586	1.8228879714504733	1.9669061589154504	2.0102753740774904	1.973417152061625	1.8455126545261553	1.569576856812999	1.2345497234611567	1.0148126268119058	0.833022282289088	0.7220125732684041	0.6616182138024718	0.6571267415100177	0.6580197003534163	0.978775142253998	1.0199501098229198	1.0176518238498096	1.140270760387856	1.357037472253263	1.4189125752418768	1.4605536503685332	1.4347429012079855	1.3897982961332387	1.3845654519887702	1.314269882372038	1.2343454569477101	1.2275112533443844	1.2482373341421118	1.2524369816189782	1.2361996185188278	1.2299130436506185	1.2261548443496515	1.2628615451446408	1.285544642292873	1.2791663158638948	1.3353670847100028	1.3755796550755544	1.3662322122322046	1.3632815310301627	1.3287597608088868	1.2560360447838979	1.211718782650864	1.147056459170239	0.9647838359427581	0.9080139146173246	0.9108010013512293	0.7089104756730806	0.7797455008046429	0.807752379028567	0.8298543743662209	0.870005368167666	0.9115335708634822	0.9031710840383332	0.9176763523221545	0.9259388656602052	0.9170689026132698	0.9071234137177144	0.8735447601203351	0.8461700703712062	0.837684652184685	0.8108645211160229	0.8139757596353585	0.8231398038020019	0.8042008319948576	0.7906082979428762	0.791465843660292	0.802666762195219	0.7759796954648766	0.7987430305013193	0.8341324570940084	0.9215982147144447	1.0142475613036934	1.037456886687716	1.013476982435096	1.000513251119362	0.8949013042363637	0.5684828568692188	0.5881602640403655	0.5999518080515267	0.5973798056913987	0.5685134746619043	0.5321060235074232	0.4284000827985883	0.3968323294556207	0.3712728611445594	0.33974981415737127	0.3077601361894495	0.25543808051280337	0.19583187347733275	0.06827527458294039
