Sample	Known Splicing Events	Partial Novel Splicing Events	Novel Splicing Events
ES100_SEM19-140_Control-lipid_0	10924874.0	73140.0	27662.0
ES101_SEM19-140_Control-lipid_14	10040743.0	70496.0	26872.0
ES102_SEM19-140_Control-lipid_21	11313169.0	79233.0	30837.0
ES103_625_Control-lipid_0	12388721.0	87325.0	36628.0
ES104_625_Control-lipid_14	9687319.0	65698.0	28141.0
ES105_625_Control-lipid_21	13251653.0	92318.0	38936.0
ES10_172_Control-protein_14	10445716.0	65204.0	27049.0
ES11_172_Control-protein_21	11411321.0	70406.0	29309.0
ES12_209_MG-lipid_0	11999695.0	67024.0	30744.0
ES13_209_MG-lipid_14	11709252.0	77005.0	36639.0
ES14_209_MG-lipid_21	9689379.0	59691.0	26237.0
ES15_601_Control-protein_14	11096759.0	76026.0	29417.0
ES16_601_Control-protein_21	12533551.0	86087.0	33054.0
ES17_615_Control-protein_0	11245588.0	65038.0	27326.0
ES18_615_Control-protein_14	10454612.0	74818.0	32336.0
ES19_615_Control-protein_21	10265070.0	66795.0	28144.0
ES1_48_Control-lipid_0	12598213.0	90729.0	36853.0
ES20_618_Control-lipid_0	11940696.0	77315.0	32308.0
ES21_618_Control-lipid_14	8672705.0	55228.0	23188.0
ES22_618_Control-lipid_21	11203636.0	78609.0	32668.0
ES23_Blue-010_Control-lipid_0	10984480.0	77523.0	32603.0
ES24_Blue-010_Control-lipid_21	12182074.0	71672.0	30598.0
ES25_619_MG-lipid_0	11215573.0	68565.0	25626.0
ES26_619_MG-lipid_14	10736549.0	74205.0	27362.0
ES27_619_MG-lipid_21	10875629.0	79409.0	30267.0
ES28_Blue-098_Control-lipid_0	13224969.0	106215.0	41265.0
ES29_Blue-098_Control-lipid_14	12942167.0	91976.0	36024.0
ES2_48_Control-lipid_14	11453829.0	72932.0	30733.0
ES30_Blue-098_Control-lipid_21	8495479.0	62496.0	23673.0
ES31_Blue-055_NA_0	12115958.0	80712.0	31973.0
ES32_Blue-055_NA_14	12005206.0	69450.0	33603.0
ES33_101-LS_MG-lipid_0	12559466.0	89957.0	33903.0
ES34_101-LS_MG-lipid_14	11547781.0	89183.0	35258.0
ES35_101-LS_MG-lipid_21	11130743.0	90919.0	32607.0
ES36_AR17-21_MG-lipid_0	10357960.0	63583.0	26902.0
ES37_AR17-21_MG-lipid_14	11743556.0	75197.0	31932.0
ES38_AR17-21_MG-lipid_21	10560097.0	70000.0	30690.0
ES39_LD19-239_MG-lipid_14	10864489.0	89372.0	35056.0
ES3_48_Control-lipid_21	10364978.0	70949.0	28388.0
ES40_LD19-239_MG-lipid_21	12704793.0	103816.0	41024.0
ES41_Blue-013_Control-protein_0	11929650.0	79045.0	35093.0
ES42_Blue-013_Control-protein_14	10281846.0	79929.0	33600.0
ES43_Blue-013_Control-protein_21	11465318.0	81236.0	34079.0
ES44_Blue-015_MG-lipid_0	11976841.0	89395.0	37319.0
ES45_Blue-015_MG-lipid_14	13508886.0	97234.0	39239.0
ES46_Blue-015_MG-lipid_21	10625718.0	96600.0	38505.0
ES47_Blue-45_MG-protein_0	10274147.0	82841.0	34125.0
ES48_Blue-45_MG-protein_14	11294686.0	87623.0	37742.0
ES49_Blue-024_Control-protein_0	10891665.0	65268.0	26043.0
ES4_164_Control-protein_0	10859746.0	72556.0	26102.0
ES50_Blue-024_Control-protein_14	9491842.0	62771.0	24592.0
ES51_Blue-024_Control-protein_21	9203773.0	63053.0	25488.0
ES52_SEM19-1481_MG-lipid_14	10730642.0	78072.0	33245.0
ES53_SEM19-74_MG-protein_0	10518376.0	65315.0	26307.0
ES54_SEM19-74_MG-protein_14	10623614.0	70649.0	26455.0
ES55_SEM19-74_MG-protein_21	9199522.0	68247.0	25629.0
ES56_Blue-050_Control-lipid_21	11785796.0	73977.0	26293.0
ES57_Blue-031_MG-lipid_0	13900336.0	79778.0	34082.0
ES58_Blue-032_MG-protein_0	11917791.0	78034.0	32355.0
ES59_Blue-032_MG-protein_14	11695457.0	81081.0	32236.0
ES5_164_Control-protein_14	10286684.0	73510.0	27398.0
ES60_Blue-032_MG-protein_21	10224658.0	68990.0	27863.0
ES61_Blue-035_MG-protein_0	9384934.0	69410.0	30084.0
ES62_Blue-035_MG-protein_14	10509107.0	77447.0	34124.0
ES63_Blue-035_MG-protein_21	9781941.0	71187.0	32789.0
ES64_SEM19-1481_MG-lipid_21	11142091.0	81490.0	34561.0
ES65_106_NA_0	11246085.0	68680.0	32405.0
ES66_617_Control-protein_14	10404488.0	68324.0	27282.0
ES67_Blue-037_MG-protein_0	9658882.0	77178.0	29894.0
ES68_Blue-037_MG-protein_14	9075943.0	74051.0	28703.0
ES69_Blue-037_MG-protein_21	9457731.0	82927.0	32358.0
ES6_164_Control-protein_21	9680119.0	74218.0	27348.0
ES70_Blue-039_Control-lipid_0	13554418.0	94095.0	37489.0
ES71_Blue-039_Control-lipid_14	9440420.0	63278.0	25049.0
ES72_Blue-039_Control-lipid_21	10500929.0	73748.0	29951.0
ES73_Blue-042_MG-protein_0	13281637.0	93345.0	36611.0
ES74_Blue-042_MG-protein_14	12324269.0	94831.0	35724.0
ES75_Blue-042_MG-protein_21	12327378.0	80766.0	30467.0
ES76_Blue-043_MG-lipid_0	9654591.0	73666.0	29309.0
ES77_Blue-043_MG-lipid_14	11055441.0	98259.0	38283.0
ES78_Blue-043_MG-lipid_21	11885186.0	96164.0	39484.0
ES79_Blue-050_Control-lipid_0	9006190.0	66173.0	22708.0
ES7_SEM19-1354_Control-protein_14	10529601.0	80251.0	32575.0
ES80_Blue-050_Control-lipid_14	9818112.0	64990.0	22235.0
ES81_Blue-047_Control-lipid_0	11296907.0	78990.0	31246.0
ES82_Blue-047_Control-lipid_14	7564982.0	49258.0	21100.0
ES83_SEM19-1481_MG-lipid_0	11393413.0	75139.0	32758.0
ES84_LD19-239_MG-lipid_0	11019838.0	87614.0	33930.0
ES85_orange-24_Control-protein_0	11115377.0	78413.0	32641.0
ES86_orange-24_Control-protein_14	8560635.0	58627.0	23490.0
ES87_orange-24_Control-protein_21	10819685.0	77972.0	32573.0
ES88_610_MG-protein_0	12248689.0	75368.0	31669.0
ES8_SEM19-1354_Control-protein_21	11024278.0	90201.0	36508.0
ES90_Blue-049_Control-protein_14	10807159.0	70784.0	28483.0
ES91_Blue-049_Control-protein_21	10403399.0	65293.0	25216.0
ES92_SEM19-76_MG-lipid_0	12228830.0	67141.0	28545.0
ES93_SEM19-76_MG-lipid_14	11649319.0	72068.0	30833.0
ES94_SEM19-76_MG-lipid_21	11680060.0	72243.0	29183.0
ES95_610_MG-protein_14	12304675.0	86877.0	35648.0
ES96_610_MG-protein_21	12047375.0	89719.0	34049.0
ES97_SEM19-107_MG-protein_0	11265978.0	86883.0	33017.0
ES98_SEM19-107_MG-protein_14	13281565.0	126003.0	48166.0
ES99_SEM19-107_MG-protein_21	10896502.0	85468.0	33192.0
ES9_172_Control-protein_0	11226190.0	68406.0	30201.0
