Sample	Known Splicing Junctions	Partial Novel Splicing Junctions	Novel Splicing Junctions
ES100_SEM19-140_Control-lipid_0	98383.0	16611.0	6245.0
ES101_SEM19-140_Control-lipid_14	99054.0	17759.0	6874.0
ES102_SEM19-140_Control-lipid_21	103649.0	19402.0	7739.0
ES103_625_Control-lipid_0	103603.0	20968.0	7544.0
ES104_625_Control-lipid_14	96115.0	17655.0	6194.0
ES105_625_Control-lipid_21	105790.0	21685.0	7960.0
ES10_172_Control-protein_14	103292.0	16950.0	6666.0
ES11_172_Control-protein_21	104007.0	17805.0	6998.0
ES12_209_MG-lipid_0	102247.0	16840.0	5901.0
ES13_209_MG-lipid_14	98964.0	17963.0	6394.0
ES14_209_MG-lipid_21	94521.0	15875.0	5806.0
ES15_601_Control-protein_14	104958.0	18933.0	7376.0
ES16_601_Control-protein_21	103240.0	20615.0	7984.0
ES17_615_Control-protein_0	103393.0	16640.0	6379.0
ES18_615_Control-protein_14	104996.0	18723.0	7597.0
ES19_615_Control-protein_21	107927.0	17738.0	7139.0
ES1_48_Control-lipid_0	107848.0	21341.0	8071.0
ES20_618_Control-lipid_0	106473.0	19416.0	7545.0
ES21_618_Control-lipid_14	96446.0	14189.0	5686.0
ES22_618_Control-lipid_21	104829.0	19728.0	7804.0
ES23_Blue-010_Control-lipid_0	105513.0	18819.0	7065.0
ES24_Blue-010_Control-lipid_21	103099.0	17789.0	7061.0
ES25_619_MG-lipid_0	99129.0	17168.0	6244.0
ES26_619_MG-lipid_14	100929.0	18459.0	6701.0
ES27_619_MG-lipid_21	99365.0	17250.0	6509.0
ES28_Blue-098_Control-lipid_0	104995.0	24214.0	9889.0
ES29_Blue-098_Control-lipid_14	104732.0	22089.0	8889.0
ES2_48_Control-lipid_14	102036.0	18963.0	7092.0
ES30_Blue-098_Control-lipid_21	95752.0	17689.0	6814.0
ES31_Blue-055_NA_0	99916.0	18034.0	7372.0
ES32_Blue-055_NA_14	108116.0	16917.0	7039.0
ES33_101-LS_MG-lipid_0	97431.0	20579.0	7972.0
ES34_101-LS_MG-lipid_14	101321.0	20569.0	8334.0
ES35_101-LS_MG-lipid_21	98471.0	20594.0	8038.0
ES36_AR17-21_MG-lipid_0	103237.0	16846.0	6469.0
ES37_AR17-21_MG-lipid_14	104533.0	18497.0	7373.0
ES38_AR17-21_MG-lipid_21	109711.0	17963.0	7095.0
