	1	4	6	9	11	14	16	19	21	24	26	29	31	34	36	39	41	44	46	49	51	54	56	59	61	64	66	69	71	74	76	79	81	84	86	89	91	94	96	99	101	104	106	109	111	114	116	119	121	124	126	129	131	134	136	139	141	144	146	149	151	154	156	159	161	164	166	169	172	174	177	179	182	184	187	189	192	194	197	199	202	204	207	209	212	214	217	219	222	224	227	229	232	234	237	239	242	244	247	249	252	254	257	259	262	264	267	269	272	274	277	279	282	284	287	289	292	294	297	299	302	304	307	309	312	314	317	319	322	324	327	329	332	335	337	340	342	345	347	350	352	355	357	360	362	365	367	370	372	375	377	380	382	385	387	390	392	395	397	400	402	405	407	410	412	415	417	420	422	425	427	430	432	435	437	440	442	445	447	450	452	455	457	460	462	465	467	470	472	475	477	480	482	485	487	490	492	495	497	500
ES100_SEM19-140_Control-lipid_0	4739450	758399	317277	127630	82382	48924	36445	24946	19934	15058	12474	9662	8410	6884	5952	5030	4443	3855	3422	2857	2688	2389	2164	1952	1776	1585	1474	1343	1233	1149	1067	1026	885	822	751	701	695	599	549	550	544	459	476	421	426	374	372	372	325	317	299	290	261	254	238	260	225	190	218	217	210	191	168	154	161	135	156	129	132	137	117	143	97	121	113	97	99	92	87	98	73	82	83	81	77	76	81	61	69	65	72	60	65	58	59	50	59	47	49	51	57	44	43	44	40	41	32	47	52	48	32	33	35	38	34	41	42	38	39	37	43	29	33	26	28	27	26	32	27	35	36	19	31	24	26	28	27	21	19	27	31	19	27	12	28	25	14	17	21	21	24	16	18	22	12	13	19	18	15	21	19	15	13	17	20	11	19	10	21	8	15	10	11	6	13	11	11	8	13	8	15	10	11	9	9	11	9	15	15	6	11	5	7	6	9	8	9	11	6	8
	1	4	6	9	11	14	16	19	21	24	26	29	31	34	36	39	41	44	46	49	51	54	56	59	61	64	66	69	71	74	76	79	81	84	86	89	91	94	96	99	101	104	106	109	111	114	116	119	121	124	126	129	131	134	136	139	141	144	146	149	151	154	156	159	161	164	166	169	172	174	177	179	182	184	187	189	192	194	197	199	202	204	207	209	212	214	217	219	222	224	227	229	232	234	237	239	242	244	247	249	252	254	257	259	262	264	267	269	272	274	277	279	282	284	287	289	292	294	297	299	302	304	307	309	312	314	317	319	322	324	327	329	332	335	337	340	342	345	347	350	352	355	357	360	362	365	367	370	372	375	377	380	382	385	387	390	392	395	397	400	402	405	407	410	412	415	417	420	422	425	427	430	432	435	437	440	442	445	447	450	452	455	457	460	462	465	467	470	472	475	477	480	482	485	487	490	492	495	497	500
ES101_SEM19-140_Control-lipid_14	5655982	689769	282541	117141	76340	45217	33718	22953	18475	13924	11652	8976	7827	6475	5548	4646	4103	3428	3074	2773	2446	2175	1975	1778	1648	1456	1330	1221	1144	966	938	903	818	786	700	641	621	560	572	485	459	461	405	388	356	388	354	322	307	282	273	238	238	222	239	207	202	174	179	171	169	177	168	161	126	147	140	143	141	126	93	116	99	83	101	97	77	78	92	92	76	73	73	91	61	79	54	61	65	63	56	67	56	69	45	43	41	42	49	39	39	58	50	42	46	43	42	44	41	31	30	31	20	32	41	28	23	36	22	29	23	21	30	39	25	20	33	27	18	24	20	18	18	25	25	14	23	20	17	11	16	12	20	22	11	19	15	22	22	18	14	12	10	17	19	15	16	16	16	10	11	15	13	9	13	13	16	11	15	11	7	21	7	11	9	14	14	13	8	7	8	9	11	9	8	10	6	8	8	10	15	8	6	7	8	8	7	8	12	3
	1	4	6	9	11	14	16	19	21	24	26	29	31	34	36	39	41	44	46	49	51	54	56	59	61	64	66	69	71	74	76	79	81	84	86	89	91	94	96	99	101	104	106	109	111	114	116	119	121	124	126	129	131	134	136	139	141	144	146	149	151	154	156	159	161	164	166	169	172	174	177	179	182	184	187	189	192	194	197	199	202	204	207	209	212	214	217	219	222	224	227	229	232	234	237	239	242	244	247	249	252	254	257	259	262	264	267	269	272	274	277	279	282	284	287	289	292	294	297	299	302	304	307	309	312	314	317	319	322	324	327	329	332	335	337	340	342	345	347	350	352	355	357	360	362	365	367	370	372	375	377	380	382	385	387	390	392	395	397	400	402	405	407	410	412	415	417	420	422	425	427	430	432	435	437	440	442	445	447	450	452	455	457	460	462	465	467	470	472	475	477	480	482	485	487	490	492	495	497	500
ES102_SEM19-140_Control-lipid_21	6252277	734540	306186	128635	84228	50543	37866	26027	21070	15834	13209	10526	8936	7350	6494	5472	4890	4227	3710	3244	3023	2449	2333	2075	1956	1704	1614	1499	1365	1251	1061	999	978	900	842	781	750	647	679	607	635	514	547	485	474	419	425	392	381	330	306	309	296	292	268	256	265	249	219	222	204	211	213	194	185	164	186	170	164	163	142	129	145	128	123	128	93	122	101	96	102	90	102	87	90	75	76	79	72	78	70	65	78	59	79	78	57	62	53	51	37	42	60	49	53	46	42	53	42	44	32	39	41	37	32	52	47	37	35	43	37	31	34	34	37	31	36	21	20	27	25	30	28	35	21	25	18	24	26	25	30	35	23	20	16	17	27	16	22	20	22	13	17	26	15	10	7	17	19	15	12	9	12	18	19	13	13	13	10	21	12	19	23	16	13	15	6	24	9	11	9	11	12	15	18	4	10	11	11	8	14	8	12	14	7	10	6	9	10	6
	1	4	6	9	11	14	16	19	21	24	26	29	31	34	36	39	41	44	46	49	51	54	56	59	61	64	66	69	71	74	76	79	81	84	86	89	91	94	96	99	101	104	106	109	111	114	116	119	121	124	126	129	131	134	136	139	141	144	146	149	151	154	156	159	161	164	166	169	172	174	177	179	182	184	187	189	192	194	197	199	202	204	207	209	212	214	217	219	222	224	227	229	232	234	237	239	242	244	247	249	252	254	257	259	262	264	267	269	272	274	277	279	282	284	287	289	292	294	297	299	302	304	307	309	312	314	317	319	322	324	327	329	332	335	337	340	342	345	347	350	352	355	357	360	362	365	367	370	372	375	377	380	382	385	387	390	392	395	397	400	402	405	407	410	412	415	417	420	422	425	427	430	432	435	437	440	442	445	447	450	452	455	457	460	462	465	467	470	472	475	477	480	482	485	487	490	492	495	497	500
ES103_625_Control-lipid_0	6572161	809894	351340	151855	100683	60039	45862	31851	25804	19186	16070	12651	10872	8813	7857	6387	5748	4765	4290	3768	3509	3059	2722	2464	2257	2071	1846	1680	1542	1439	1301	1241	1111	1017	1043	915	845	810	704	637	656	612	550	503	529	468	481	436	423	412	385	358	340	328	349	317	253	286	264	252	239	236	199	197	179	215	171	186	147	168	161	140	141	153	130	96	116	116	111	108	91	96	103	113	91	98	78	108	90	96	82	74	75	83	80	65	68	67	69	71	59	54	59	63	59	60	41	70	63	46	45	48	41	47	41	45	40	30	44	52	45	36	49	35	30	31	38	33	39	42	23	36	36	29	29	31	30	29	28	26	31	32	28	24	35	24	29	26	21	25	25	22	20	19	17	20	25	17	19	18	16	19	17	17	13	18	14	10	12	14	10	15	10	13	14	10	16	14	14	13	10	21	17	16	15	10	11	11	9	19	17	14	16	10	12	6	16	11	10	9
	1	4	6	9	11	14	16	19	21	24	26	29	31	34	36	39	41	44	46	49	51	54	56	59	61	64	66	69	71	74	76	79	81	84	86	89	91	94	96	99	101	104	106	109	111	114	116	119	121	124	126	129	131	134	136	139	141	144	146	149	151	154	156	159	161	164	166	169	172	174	177	179	182	184	187	189	192	194	197	199	202	204	207	209	212	214	217	219	222	224	227	229	232	234	237	239	242	244	247	249	252	254	257	259	262	264	267	269	272	274	277	279	282	284	287	289	292	294	297	299	302	304	307	309	312	314	317	319	322	324	327	329	332	335	337	340	342	345	347	350	352	355	357	360	362	365	367	370	372	375	377	380	382	385	387	390	392	395	397	400	402	405	407	410	412	415	417	420	422	425	427	430	432	435	437	440	442	445	447	450	452	455	457	460	462	465	467	470	472	475	477	480	482	485	487	490	492	495	497	500
ES104_625_Control-lipid_14	6024568	675469	288795	123292	80202	47759	36234	24632	19567	14512	12052	9570	8190	6455	5633	4635	4174	3537	3066	2742	2449	2135	1968	1815	1616	1442	1301	1108	1092	1034	883	826	755	732	742	591	579	512	503	412	442	385	401	347	342	298	308	303	271	282	257	236	209	226	211	205	193	140	183	150	159	153	145	112	137	108	117	113	92	119	105	93	88	83	85	77	74	71	87	90	76	50	72	64	55	73	59	58	66	60	56	51	39	39	59	45	49	52	46	38	49	45	39	44	20	31	35	22	23	38	30	31	30	27	29	33	27	22	19	17	18	22	17	20	20	21	34	21	16	13	14	22	19	19	18	14	14	12	17	17	20	19	20	20	10	13	14	13	12	4	15	10	11	16	14	10	12	14	16	10	12	13	9	15	6	19	11	12	8	6	5	12	5	6	8	9	9	10	7	7	9	9	11	4	4	10	4	7	12	6	9	8	7	11	4	7	6	5	6	9
	1	4	6	9	11	14	16	19	21	24	26	29	31	34	36	39	41	44	46	49	51	54	56	59	61	64	66	69	71	74	76	79	81	84	86	89	91	94	96	99	101	104	106	109	111	114	116	119	121	124	126	129	131	134	136	139	141	144	146	149	151	154	156	159	161	164	166	169	172	174	177	179	182	184	187	189	192	194	197	199	202	204	207	209	212	214	217	219	222	224	227	229	232	234	237	239	242	244	247	249	252	254	257	259	262	264	267	269	272	274	277	279	282	284	287	289	292	294	297	299	302	304	307	309	312	314	317	319	322	324	327	329	332	335	337	340	342	345	347	350	352	355	357	360	362	365	367	370	372	375	377	380	382	385	387	390	392	395	397	400	402	405	407	410	412	415	417	420	422	425	427	430	432	435	437	440	442	445	447	450	452	455	457	460	462	465	467	470	472	475	477	480	482	485	487	490	492	495	497	500
ES105_625_Control-lipid_21	6794885	841309	365211	159934	105934	64277	48768	33605	27505	20629	17381	13626	11847	9575	8350	7208	6340	5254	4844	4055	3822	3414	3108	2714	2422	2309	2073	1860	1718	1571	1498	1350	1292	1192	1025	1029	916	859	862	792	751	665	644	607	539	552	515	506	466	424	464	387	393	385	357	349	323	282	323	262	279	258	253	249	238	245	204	206	192	184	162	176	162	161	163	159	145	145	127	133	121	114	127	118	120	99	108	86	103	99	96	79	76	74	71	78	68	86	111	81	72	78	77	48	60	68	50	58	51	62	67	58	51	47	57	58	52	37	39	39	42	50	44	32	29	42	46	43	36	50	33	33	45	36	32	38	27	40	26	38	31	27	20	21	25	28	21	28	18	29	31	22	20	26	18	17	23	25	13	22	16	27	21	21	16	19	19	25	15	23	25	20	16	20	14	15	11	19	13	26	13	16	8	13	12	13	13	15	15	11	18	15	15	7	15	2	13	13	16	11
	1	4	6	9	11	14	16	19	21	24	26	29	31	34	36	39	41	44	46	49	51	54	56	59	61	64	66	69	71	74	76	79	81	84	86	89	91	94	96	99	101	104	106	109	111	114	116	119	121	124	126	129	131	134	136	139	141	144	146	149	151	154	156	159	161	164	166	169	172	174	177	179	182	184	187	189	192	194	197	199	202	204	207	209	212	214	217	219	222	224	227	229	232	234	237	239	242	244	247	249	252	254	257	259	262	264	267	269	272	274	277	279	282	284	287	289	292	294	297	299	302	304	307	309	312	314	317	319	322	324	327	329	332	335	337	340	342	345	347	350	352	355	357	360	362	365	367	370	372	375	377	380	382	385	387	390	392	395	397	400	402	405	407	410	412	415	417	420	422	425	427	430	432	435	437	440	442	445	447	450	452	455	457	460	462	465	467	470	472	475	477	480	482	485	487	490	492	495	497	500
