Sample	NC_066313.1	NC_066314.1	NC_066315.1	NC_066316.1	NC_066317.1	NC_066318.1	NC_066319.1	NC_066320.1	NC_066321.1	NC_066322.1	NC_066323.1	NC_066324.1	NC_066325.1	NC_066326.1	NC_066327.1	NC_066328.1	NC_066329.1	NC_066330.1	NC_066331.1	NC_066332.1	NC_066333.1	NC_066334.1	NC_066335.1	NC_066336.1	NC_066337.1	NC_066338.1	NC_066339.1	NC_066340.1	NC_066341.1	NC_066342.1	NC_066343.1	NW_026108265.1	NW_026108322.1	NW_026108432.1	NW_026108550.1	NW_026108722.1	NC_037521.1
ES100_SEM19-140_Control-lipid_0	0.20088447862033826	0.03958621401814753	0.0409836090562949	0.03200894909460417	0.0235784349197349	0.01682555478295719	0.039926348687479116	0.015774979733356804	0.010941613710191674	0.017262082173809718	0.019577641566152965	0.020092933776556205	0.01134325549393327	0.01126424024711553	0.017251901760998008	0.2040884559628115	0.015998807269367865	0.010968823177161155	0.009929876663264413	0.011485029991496143	0.013924006473915049	0.007677599152484445	0.017054303759172416	0.015154333860529912	0.004450778488001605	0.050357101661079706	0.01290249187543173	0.014802712201341259	0.016826970241422993	0.009997143604816017	0.014276597177745674	0.0058862384707369314	0.001961324579063884	0.01665931463022008	0.005015960165253252	0.014851621735405648	0.002118266258494901
ES101_SEM19-140_Control-lipid_14	0.19961172747647526	0.03941504120855552	0.04303691592232182	0.03301542857365272	0.024669847096130973	0.017218426014687455	0.03981353724845722	0.01616445264239897	0.01138376687545226	0.017356152142045476	0.02009366620341094	0.020496814530557846	0.011556868810773812	0.01148950277021826	0.017900297016297032	0.20333943020950745	0.01607452761492917	0.011027832354506684	0.00996597082191383	0.011479553324228516	0.01407429744186616	0.007977509553713685	0.01809797316196825	0.01502735994007117	0.004357166409758306	0.046843707538522496	0.012782493157510347	0.01442324201638144	0.016342598394090323	0.010936675161850654	0.015470766673676573	0.006434723584929104	0.002030470040156839	0.01471108501633471	0.004427630136623167	0.013035328847499705	0.0019163853625869462
ES102_SEM19-140_Control-lipid_21	0.18680081075541194	0.04100004807235989	0.04220199496474913	0.03282488291537606	0.024421204331841508	0.017261986766566095	0.041805196456630056	0.016100538609848333	0.011230517912427435	0.017820133171044215	0.020381778971775077	0.020721011571437076	0.011975321271230067	0.011655616741859108	0.01815987492191424	0.19671662599750678	0.0168490227075923	0.011274644350456074	0.010343682581220119	0.012121256736229592	0.014719062880046903	0.008616387108002894	0.02022717732892233	0.01662596144189416	0.004757243704843856	0.0500582405338077	0.01383594010973142	0.016755105524345764	0.01845747380300354	0.011522049408287802	0.014953389116222546	0.007100824286105302	0.0024826743269031636	0.012921462110855202	0.004062284127843286	0.011542447278559215	0.0024376568742604846
ES103_625_Control-lipid_0	0.1627806673616357	0.040639734248267466	0.039894341768409856	0.036543917041298925	0.02496028345614481	0.01690741413819086	0.04317729258367775	0.016962460171112373	0.012519155217346303	0.017157604929325863	0.020870767164461523	0.020668393748834887	0.012772709073694906	0.012129464867710254	0.018857276827523944	0.1945323324413157	0.016980415846879253	0.01102412777019209	0.01342432228679157	0.01228385662016005	0.018402866800487024	0.008997127188517104	0.020132661325900057	0.018504638179120524	0.0049080264479952704	0.05919578480364193	0.015461624671678343	0.020340707498079525	0.018640513744934504	0.008234001304444087	0.01389424300252916	0.005431978478701988	0.002674603242864624	0.013741358831037187	0.004319084148433715	0.012253289449842154	0.00202196564783508
ES104_625_Control-lipid_14	0.16416435416376507	0.04259150039656446	0.04077391014020992	0.03707509330820634	0.02575754577512335	0.0178590351404658	0.04291364978578089	0.016895379591276405	0.012246491213904238	0.01786108221825089	0.020640407308835977	0.021494127199196515	0.012898232762802645	0.01218717650326715	0.019086548907127087	0.18416583311428336	0.01749241867269549	0.011579434490465532	0.012754684592193926	0.012036349833867001	0.01783477347782771	0.00904865244281204	0.021297986820306678	0.018961310710040556	0.004689021210986014	0.05827749928674503	0.016635767164766183	0.020509874509329985	0.02109354440373287	0.0089492554436916	0.014248015200133824	0.004863136549262207	0.0025855856053938124	0.01298635819782247	0.004182748547655175	0.011490753059010253	0.001980446666812742
ES105_625_Control-lipid_21	0.16876062019618696	0.042299599514678266	0.04125416538302936	0.03774476626462491	0.026087589892721152	0.017550241070012584	0.045311222256623866	0.01740832516879888	0.012719570743373118	0.01800300904349111	0.02151677670851598	0.021754886293155803	0.013303414150525782	0.012747323863079318	0.01991185453093806	0.16050411467124606	0.017740306159358548	0.011289466570858126	0.013562014978899301	0.012985947394380368	0.019123165309163807	0.009695556176373512	0.02296305116579806	0.02008231350691133	0.005024542428290807	0.061047421963124154	0.016865140653067646	0.021740457716518422	0.020206955089789383	0.009375567274575785	0.013929334561183632	0.006671056215304972	0.00301899882828727	0.012129797914554825	0.003988216573582519	0.010711999909316967	0.002385321630057215
ES10_172_Control-protein_14	0.19370199089387133	0.039754251288960187	0.042872823705688554	0.03404554481643032	0.023836406652935717	0.016831911594796467	0.038530794463899516	0.01655879906891601	0.011696884564892724	0.017858435962304794	0.020124303157109464	0.019925094566297357	0.011762845498843232	0.011586644626187819	0.01835497325965795	0.21748895617795833	0.016726634565209505	0.011713052150624455	0.009918719985252534	0.010840413163709312	0.014692580983530792	0.00798648230268846	0.01739326002682458	0.016373423267347528	0.004877765308321961	0.042615315598547726	0.01330689686680636	0.013394727452283681	0.017111582669605836	0.00991496553863849	0.014381055775730385	0.006651811729332369	0.001541857363223046	0.012037013962833888	0.004135088837481129	0.010496541051799771	0.0033403311525160868
ES11_172_Control-protein_21	0.1937987232563284	0.04034386752204279	0.04254517586828051	0.034044106648126495	0.023806002380726648	0.0160426634642733	0.03756258888221724	0.016019551454244753	0.011518924670016539	0.017380579169695248	0.020164217467791717	0.019121817358236155	0.011632999399551244	0.011601049205195462	0.018082925133520843	0.21848763812954947	0.016239031276006278	0.011528437042421178	0.010091436757998083	0.010604925786640542	0.014810637423758809	0.007792760905518861	0.017135775158276186	0.016584521063110324	0.004541625846685418	0.04389072886051681	0.013612700017908121	0.013720580644481666	0.0173849824605758	0.009925797174730588	0.01421111567592622	0.006003528953217668	0.001599806170927746	0.0133818643407178	0.004585658755490946	0.011557711552844758	0.003091194471657765
ES12_209_MG-lipid_0	0.21390440719397483	0.03978175185307781	0.040736922391815866	0.033603549277220986	0.02122549014715092	0.014597197916364057	0.03690938997296825	0.015488394134766229	0.012050129012427819	0.015870327866553076	0.017982489065450122	0.017559296152195213	0.01110519184337397	0.012649915845243503	0.016712153854825783	0.221282036343907	0.014941938497553263	0.009740728543426391	0.013560349537867224	0.01005053488005708	0.01704762766798473	0.007188658526584934	0.015646465024806204	0.016130574855339395	0.004002056550084176	0.046538591597300304	0.012540416688314517	0.01536463760344148	0.016539531407277975	0.007747007566757371	0.013301006111496556	0.006157494186074916	0.0018304178298500565	0.01024994900388285	0.003277241894638003	0.00905396857483464	0.0017407129937476108
ES13_209_MG-lipid_14	0.16990035254959387	0.042237148377256714	0.044111620863498915	0.03969038315212674	0.023277280858523215	0.01699584223587409	0.04090987052485101	0.01802582233563272	0.01394852423576411	0.017143742789914804	0.019865177126173892	0.019091476027645334	0.013497938008640001	0.015284418484740598	0.017786711985634265	0.1793042514198667	0.01689842136496892	0.010322357569254235	0.016952140214557255	0.011553871550095301	0.02085440573247367	0.008095681855442436	0.016919609575891125	0.018102760556625207	0.004509561121381894	0.059678744816371546	0.013429466519761738	0.01988932655527241	0.01912357905357842	0.007345168057363051	0.013271399472992964	0.00869661671950392	0.00218699325218555	0.014785266141461305	0.004680039627727196	0.013081838748435685	0.0015727596321264761
