Sample	NC_066313.1	NC_066314.1	NC_066315.1	NC_066316.1	NC_066317.1	NC_066318.1	NC_066319.1	NC_066320.1	NC_066321.1	NC_066322.1	NC_066323.1	NC_066324.1	NC_066325.1	NC_066326.1	NC_066327.1	NC_066328.1	NC_066329.1	NC_066330.1	NC_066331.1	NC_066332.1	NC_066333.1	NC_066334.1	NC_066335.1	NC_066336.1	NC_066337.1	NC_066338.1	NC_066339.1	NC_066340.1	NC_066341.1	NC_066342.1	NC_066343.1	NW_026108265.1	NW_026108322.1	NW_026108432.1	NW_026108550.1	NW_026108722.1	NC_037521.1
ES100_SEM19-140_Control-lipid_0	1.8374421705483674	0.5768265988482334	0.2853254778851095	0.29835694963640413	0.34653113245852024	0.9097413388503861	0.67218726611355	0.4712618144579829	0.3712195688784479	0.5904308708890822	0.8195227867007592	1.0282763509934518	0.5725196921718422	0.5642239588303168	0.9952889892368642	13.144491990548847	1.2025273995401005	1.0271114660441893	0.9082332492470031	1.0817205242226131	0.9908436148067542	1.029786408074542	3.976112087314239	2.461886822635436	0.6257760302913609	3.368487602035181	2.079937141428483	2.872567688839698	3.209416491937352	0.5579989187640063	0.19827271978489958	478.5685825785939	177.2724306266147	1815.9152207720178	682.7171433856561	2673.426500899859	132.3967307932408
ES101_SEM19-140_Control-lipid_14	1.8258006209353315	0.5743323711979966	0.2996204796256632	0.3077383931306294	0.3625715651145907	0.9309835032224112	0.6702880087239995	0.48289692986858007	0.3862206383489767	0.5936484325198694	0.8411236494657119	1.0489453599385692	0.5833012381280945	0.5755073219132086	1.032695917888144	13.096250344696942	1.2082188107001346	1.0326370362602928	0.9115345908548272	1.0812047028976257	1.0015384422069322	1.0700130008794182	4.219437560239785	2.4412593622354835	0.6126142441300553	3.1334696174309515	2.0605928323804195	2.7989289003955893	3.1170320060343113	0.6104396572082791	0.21485729038632137	523.1620432359132	183.52207644535855	1603.5523542351432	602.6401524843432	2346.47732144777	119.77868973223877
ES102_SEM19-140_Control-lipid_21	1.708622236680204	0.5974281418109744	0.29380780898241904	0.3059623079114033	0.35891727427721504	0.9333387905960878	0.7038189476197823	0.48098756177694	0.38102131259210453	0.6095184023340193	0.8531840898418426	1.0604188718538778	0.6044214777257211	0.5838279436897397	1.0476713701535891	12.66970296106894	1.2664326233960328	1.055748305983804	0.9460818858582656	1.1416437049497936	1.0474204746999722	1.1557048179128766	4.715849172471839	2.700959063205752	0.668864803937347	3.3484961813866794	2.2304130084831018	3.251442985426289	3.520403255782527	0.643112809610218	0.20767197485245015	577.3179986905333	224.39412480848898	1408.4780942408381	552.9132855946501	2077.745110231009	152.3594116903293
ES103_625_Control-lipid_0	1.4889157430901374	0.5921778645913859	0.2777420630366634	0.340627603361265	0.36684009443323884	0.9141673943587099	0.7269191201826295	0.5067366103175757	0.4247413156412972	0.5868573396181971	0.8736532032935356	1.057726101190107	0.6446674388127224	0.6075629191152259	1.0879055685244239	12.52902166178177	1.2763086002387989	1.0322901420707347	1.2278516907040267	1.1569582171290411	1.3095629549987395	1.2067729906756945	4.693813314112077	3.006158192770633	0.6900647415887261	3.959724857594893	2.4924803465822514	3.947253606797026	3.5553145559089363	0.45958765889567055	0.19296260272426952	441.63590280506963	241.74143478624825	1497.8492938782301	587.8660704459676	2205.703142863538	126.37771124193459
ES104_625_Control-lipid_14	1.5015719945761905	0.6206178318121248	0.2838655663540935	0.3455787228199312	0.37855742067658926	0.965620613931871	0.722480514164935	0.5047326447783018	0.4154905582587591	0.6109190202525807	0.8640103078411735	1.099983851535244	0.6510029025503303	0.6104536855380055	1.1011326306495008	11.861358384447572	1.3147925582188933	1.084288600825347	1.1666034758664063	1.1336467263609884	1.269136972547076	1.213684006149632	4.965502199767908	3.080346612827803	0.6592727738019389	3.8982988962753913	2.6817571625865333	3.9800816239823917	4.023182326435739	0.4995101659755253	0.19787577460479977	395.3873729100199	233.6956614698187	1415.5519622064887	569.3095730180034	2068.4396822482813	123.78267516883491
ES105_625_Control-lipid_21	1.543612938172397	0.6163644270075627	0.2872090751328364	0.35182077656372995	0.3834080633177051	0.9489244196781327	0.7628452792252183	0.5200563832342244	0.43154087621241494	0.6157734739728998	0.9006952522548409	1.1133284637559675	0.6714533211710763	0.6385113755328992	1.1487457930424916	10.337405120702956	1.333424665581434	1.0571362463563756	1.2404457123008124	1.2230848185313705	1.3608199821636042	1.300452364190141	5.353702302437214	3.262458346616485	0.7064467987527493	4.083584583620471	2.718733154680406	4.218884723800676	3.8540827009582403	0.5233051168227936	0.19344995266412487	542.376584491475	272.869297648237	1322.1843243162161	542.8320274912139	1928.2570580782888	149.08833317978264
ES10_172_Control-protein_14	1.7717456770776157	0.5792751373055399	0.29847807925619346	0.31734015603317495	0.35032253070665176	0.9100850454673792	0.6486921605229061	0.49467763676181786	0.3968438806568308	0.610828507926946	0.8424061165895581	1.0196870084615035	0.5936973462040477	0.5803731416525653	1.0589268960697937	14.007562696416903	1.2572334942287036	1.0968004472284305	0.907212806973131	1.0210071213501273	1.0455360014256945	1.07121650405193	4.0551377767773955	2.6599331487808326	0.6858100486382893	2.8506239937448896	2.145128964051585	2.5993386047698617	3.2637007634202675	0.5534120813746656	0.1997234359513283	540.8119509109383	139.35929084646912	1312.0705955156454	562.8226592243071	1889.4725111916089	208.77872297044505
ES11_172_Control-protein_21	1.7726304648086346	0.5878666718786323	0.29619701426608824	0.3173267507974415	0.3498756805693949	0.867411168723975	0.6323917603014606	0.4785681511315602	0.39080617934481526	0.5944839326097928	0.8440769351612962	0.9785784791881369	0.5871437206742232	0.5810946646682926	1.0432320174275493	14.071883663773269	1.2205834924191672	1.079513242267793	0.9230102958070534	0.998827681752734	1.0539369936405347	1.0452329045182256	3.9951066718672834	2.6942268951413633	0.6385490990102081	2.9359389467246912	2.19442574626104	2.6625726485370835	3.315846442971729	0.5540166581884792	0.1973633157231543	488.10464541903434	144.59693794648638	1458.6633170691691	624.1492641383716	2080.4928179304784	193.2070818068089
ES12_209_MG-lipid_0	1.9565323361153222	0.579675859053245	0.28360805982332576	0.3132202944144245	0.311950015457687	0.7892562561650713	0.621394711899333	0.4627003550157409	0.40882851610420906	0.5428274184536674	0.7527494821547838	0.8986148650158592	0.5605040827192991	0.6336322237890244	0.9641500947880592	14.251859276669864	1.1230893742906363	0.912113707458498	1.240293383226516	0.9466122306361286	1.2131230371136268	0.9642054366137119	3.6478826451892847	2.620481378025146	0.5626860711366661	3.1130597997232616	2.021569065172705	2.981613161835187	3.1545931386246253	0.43240569674568996	0.18472375628226703	500.62247384565796	165.44055034209805	1117.2751593588196	446.062000250771	1629.7963924420092	108.79874458523052
ES13_209_MG-lipid_14	1.554037796795975	0.6154544264407855	0.30710251227207175	0.3699559648824859	0.34210508559699504	0.91894861536545	0.6887455259284104	0.5385034963325344	0.47323596778671395	0.5863832001162271	0.8315590650557223	0.9770257306920155	0.6812713790846261	0.7655940317934843	1.0261430211740925	11.548244047126586	1.2701456026197793	0.966576964980578	1.5505225201555102	1.088204384248344	1.4840164574270636	1.0858632983114966	3.9447089190701172	2.940871441651195	0.6340408233081228	3.99203102219721	2.1648877188762503	3.85966004326424	3.6474498450311628	0.4099766889588386	0.1843125806592029	707.0606393833781	197.66927601752624	1611.6383191863674	636.9953469142555	2354.849525098773	98.30125593610626
