Sample	NC_066313.1	NC_066314.1	NC_066315.1	NC_066316.1	NC_066317.1	NC_066318.1	NC_066319.1	NC_066320.1	NC_066321.1	NC_066322.1	NC_066323.1	NC_066324.1	NC_066325.1	NC_066326.1	NC_066327.1	NC_066328.1	NC_066329.1	NC_066330.1	NC_066331.1	NC_066332.1	NC_066333.1	NC_066334.1	NC_066335.1	NC_066336.1	NC_066337.1	NC_066338.1	NC_066339.1	NC_066340.1	NC_066341.1	NC_066342.1	NC_066343.1	NW_026108265.1	NW_026108322.1	NW_026108432.1	NW_026108550.1	NW_026108722.1	NC_037521.1
ES100_SEM19-140_Control-lipid_0	18449840	3635718	3764059	2939799	2165515	1545310	3666957	1448822	1004911	1585402	1798070	1845396	1041799	1034542	1584467	18744103	1469379	1007410	911990	1054820	1278823	705134	1566319	1391820	408773	4624949	1185004	1359526	1545440	918168	1311206	540610	180134	1530042	460681	1364018	194548
ES101_SEM19-140_Control-lipid_14	17334084	3422763	3737283	2867027	2142305	1495231	3457368	1403705	988555	1507191	1744914	1779923	1003587	997737	1554444	17657794	1395896	957646	865435	996873	1222198	692759	1571610	1304961	378372	4067861	1110019	1252500	1419175	949730	1343466	558785	176324	1277496	384491	1131975	166417
ES102_SEM19-140_Control-lipid_21	17610562	3865261	3978574	3094551	2302298	1627366	3941166	1517871	1058752	1679985	1921483	1953464	1128968	1098828	1712014	18545371	1588434	1062912	975146	1142726	1387633	812306	1906908	1567405	448487	4719218	1304377	1579580	1740070	1086236	1409724	669427	234053	1218165	382970	1088159	229809
ES103_625_Control-lipid_0	16844060	4205279	4128148	3781456	2582816	1749529	4467858	1755225	1295445	1775418	2159645	2138704	1321682	1255121	1951295	20129628	1757083	1140744	1389109	1271097	1904274	930996	2083268	1914805	507868	6125404	1599923	2104796	1928865	852030	1437735	562085	276760	1421915	446926	1267934	209227
ES104_625_Control-lipid_14	12991507	3370572	3226733	2934019	2038380	1413314	3396066	1337053	969153	1413476	1633424	1700985	1020730	964459	1510456	14574368	1384301	916364	1009370	952523	1411394	716085	1685463	1500545	371076	4611918	1316508	1623094	1669284	708219	1127548	384855	204616	1027704	331011	909346	156727
ES105_625_Control-lipid_21	17731555	4444388	4334545	3965815	2741004	1843991	4760817	1829080	1336436	1891563	2260752	2285770	1397780	1339352	2092124	16864050	1863961	1186176	1424951	1364424	2009257	1018705	2412711	2110034	527925	6414208	1772008	2284254	2123130	985084	1463545	700923	317204	1274469	419039	1125502	250624
ES10_172_Control-protein_14	16509660	3388345	3654148	2901779	2031631	1434622	3284067	1411344	996952	1522115	1715240	1698261	1002574	987556	1564436	18537077	1425649	998330	845395	923953	1252282	680706	1482467	1395544	415743	3632200	1134177	1141663	1458459	845075	1225730	566949	131416	1025942	352443	894644	284704
ES11_172_Control-protein_21	18397119	3829803	4038771	3231773	2259880	1522914	3565779	1520720	1093480	1649921	1914169	1815215	1104309	1101276	1716594	20740813	1541555	1094383	957970	1006715	1405959	739759	1626682	1574352	431132	4166503	1292240	1302481	1650339	942246	1349047	569909	151868	1270327	435312	1097162	293444
ES12_209_MG-lipid_0	20359168	3786380	3877292	3198346	2020217	1389344	3512992	1474167	1146917	1510519	1711552	1671273	1056979	1204004	1590643	21061362	1422156	927111	1290658	956598	1622573	684208	1489212	1535289	380911	4429488	1193582	1462388	1574213	737351	1265974	586063	174217	975578	311924	861746	165679
ES13_209_MG-lipid_14	15892918	3950972	4126315	3712741	2177417	1589835	3826815	1686182	1304781	1603670	1858240	1785866	1262632	1429744	1663815	16772583	1580722	965580	1585747	1080779	1950775	757291	1582704	1693379	421836	5582504	1256227	1860499	1788869	687086	1241441	813504	204577	1383052	437783	1223709	147120
ES14_209_MG-lipid_21	16773363	3082762	3386375	2793892	1745994	1252224	2931610	1275730	974344	1220546	1429196	1411728	878702	1002853	1325048	16800283	1209581	767454	1048254	808268	1281180	539285	1166501	1204103	309934	3721119	928643	1185928	1292497	597797	1082168	459927	152860	982654	300500	873002	143624
ES15_601_Control-protein_14	17206865	3412367	3479377	2817748	2025555	1498103	3423391	1413779	965810	1596438	1774758	1734449	1065849	1060852	1472956	17911783	1587693	1021662	860725	1145395	1230467	719308	1614316	1342206	419640	3897401	1173812	1448609	1641310	787318	1263128	449358	124867	969292	338707	844208	216602
ES16_601_Control-protein_21	19620347	3734756	4035085	3162158	2373685	1684654	3744697	1522090	1113276	1786778	2033975	1947034	1177967	1191784	1683823	19718108	1728560	1182526	944968	1182347	1318139	831497	1883168	1530103	437300	3780977	1343316	1459621	1855924	897767	1406447	340651	138516	838266	295064	728317	186701
ES17_615_Control-protein_0	18807443	3458486	3701035	3119538	1954470	1297842	3362098	1433760	1089191	1349752	1593955	1446947	926436	1188578	1408291	20805903	1362430	903086	1405362	916045	1596622	662056	1507264	1423093	411981	4151250	1200260	1580881	1557497	764264	1206547	553834	189507	1058636	347426	918518	242709
ES18_615_Control-protein_14	13327347	3613739	3576256	3252475	2234028	1539747	3781258	1620558	1300647	1562192	1833104	1668166	1150247	1423348	1576785	15040573	1556072	1067130	1635944	1109721	1864821	780214	1774339	1631232	461082	4624604	1430759	2052417	1868214	753398	1262954	524888	219875	662175	229044	578138	192891
ES19_615_Control-protein_21	15005865	3515733	3538881	2813912	2065372	1453132	3424057	1340942	946579	1514984	1780648	1679019	1027375	975268	1535955	16596753	1557998	993028	936799	1089547	1259438	773923	1815962	1533220	468804	4034615	1210012	1410365	1782596	902731	1299658	561934	184450	729137	243439	630273	214078
ES1_48_Control-lipid_0	18496328	3966001	4012484	3241724	2394714	1681319	4055055	1672719	1163908	1776155	2151348	1970672	1228691	1147212	1831958	18652584	1816868	1175714	1130796	1293995	1583348	888056	1966410	1851477	501724	5170429	1405382	1788064	2101725	774495	1453635	433368	173440	1280804	444718	1116512	142592
ES20_618_Control-lipid_0	20464619	3520626	3571340	2894000	2006474	1456033	3825886	1534712	1008976	1546954	1807972	1696479	1073748	1024443	1594251	20253329	1570085	997674	929743	1042668	1358383	664220	1557978	1470556	413855	4020339	1237376	1472085	1666546	820455	1294619	659930	145215	938689	321888	821089	279045
ES21_618_Control-lipid_14	13698286	2499270	2587760	2117972	1442426	1064031	2732512	1115314	738066	1118430	1297411	1247402	776518	744397	1149313	14981170	1114723	719413	662277	737205	993219	483645	1091846	1048429	291123	2587409	886106	965491	1139122	632310	936655	457174	89097	550445	194671	478148	184323
ES22_618_Control-lipid_21	17752968	3553980	3638009	2954865	2076593	1510238	3782197	1555594	1023667	1597658	1860999	1744207	1099314	1037738	1599456	19353210	1572698	1018641	942181	1036232	1386987	672602	1591376	1487951	404954	3979063	1261744	1434673	1679630	835731	1325370	564591	144873	990627	340643	854449	234926
ES23_Blue-010_Control-lipid_0	15925431	3782277	3818867	3174785	2131337	1606048	3826378	1643717	1109140	1601590	1947977	1741502	1105807	1200137	1641944	16878075	1599195	990023	1244137	1104433	1657032	754173	1794967	1636671	465184	4636032	1316430	1609408	1828984	761033	1266620	609590	192633	995195	328482	863396	193873
ES24_Blue-010_Control-lipid_21	17147144	4004748	3911890	3289015	2252930	1488618	3996733	1551148	1053929	1736577	2017007	1730400	1143112	1142567	1593792	20290122	1652389	1068539	1118315	1131541	1566765	882913	2307867	1789588	450510	4611962	1575534	1886331	2103645	1175487	1348466	611800	273195	1058719	359707	922086	220656
ES25_619_MG-lipid_0	19387617	3444274	3542843	2892884	1865715	1334839	3246747	1430692	1032601	1315246	1600300	1569319	970936	1092910	1439755	20904594	1286757	883134	1057434	892749	1381883	563276	1153648	1302440	340072	3104076	1125983	1132556	1283237	660263	1184798	509520	92547	735973	261384	633434	142427
ES26_619_MG-lipid_14	17068520	3615991	3662209	3037018	2023578	1484553	3475445	1541879	1127594	1432071	1738814	1720416	1051407	1183863	1568476	18361918	1408638	940602	1192004	969424	1568009	652588	1367050	1462852	364002	3629380	1210133	1329483	1463717	644386	1212986	516274	124064	929916	318057	811483	115610
ES27_619_MG-lipid_21	16757271	3820542	3728962	3109814	2103253	1563614	3656321	1624171	1137087	1502051	1851529	1790072	1104971	1184185	1653873	17892210	1506161	997381	1156890	1081777	1531844	681913	1433589	1514894	407744	4010749	1250581	1364269	1554227	684020	1259366	493483	125672	1055689	367897	913937	132575
ES28_Blue-098_Control-lipid_0	17087351	4680653	4520897	3527239	2690593	1996590	4786679	1777169	1229252	2100914	2591436	2269189	1429497	1288902	1940031	16501303	2088754	1374312	1231607	1566948	1719729	1010087	2455806	1990649	626133	5535547	1692333	2195669	2610600	1267963	1590767	466163	276433	1090204	379322	946582	174530
ES29_Blue-098_Control-lipid_14	17151439	4299575	4526095	3477708	2631330	1926413	4517909	1671203	1209106	2038308	2415527	2210167	1351587	1262485	1857267	16480987	1984708	1298616	1197683	1418730	1680522	989132	2296941	1909601	574422	5196718	1626369	1901301	2435090	1255149	1569975	561007	239846	1145099	394080	987924	193679
ES2_48_Control-lipid_14	18515562	3416446	3383909	2748180	1989713	1380721	3387585	1383988	978993	1508223	1842413	1655224	1037755	964030	1559961	18902959	1521818	1013973	951545	1048678	1353012	706630	1570709	1562892	398001	4573789	1220897	1430633	1741690	677257	1218119	360087	142798	1343139	458278	1182071	118371
ES30_Blue-098_Control-lipid_21	11420106	2957859	2986863	2348896	1750568	1267347	3003362	1104863	811501	1329080	1640536	1472582	898729	835287	1258014	11716018	1312551	883520	792480	950109	1101641	657787	1468888	1256746	383748	3252972	1058331	1228735	1605956	856816	1050655	325502	144280	632352	217191	546287	135742
ES31_Blue-055_NA_0	20537506	3923240	3755004	2908620	2123730	1575929	3686681	1523693	1009669	1595032	1946500	1733345	1221108	1008984	1633887	17735316	1600683	1042789	881603	1131269	1270997	655809	1645152	1435402	405744	4180443	1259318	1457852	1790768	984428	1379070	569523	156253	1167528	387736	1038987	257774
ES32_Blue-055_NA_14	17283784	3972001	3782856	3174536	2107677	1478682	3841427	1478834	1077731	1506335	2011505	1800974	1177896	1074869	1616126	16638213	1680040	1035692	980365	1219503	1484493	653068	1721239	1571923	416514	5438970	1380583	1836297	2097433	655757	1320512	692109	170264	1415620	478865	1230278	553597
ES33_101-LS_MG-lipid_0	20862031	3464828	3686197	2828116	2068973	1535867	3779244	1553440	969190	1556510	1937171	1777310	1110240	1022153	1573100	21956552	1621070	1073466	860930	1121201	1283039	683613	1630709	1480921	393933	3794854	1238477	1490662	1732848	810283	1375397	500694	132129	858590	297509	754232	131234
ES34_101-LS_MG-lipid_14	18050961	3582018	3821764	2931969	2160987	1661298	3757836	1591908	1040403	1609694	2031266	1874172	1134096	1028151	1592426	16187058	1597401	1075320	895843	1124568	1296960	680751	1654254	1534736	388985	3928250	1270270	1518529	1784995	692005	1364503	505846	161658	988519	328817	871407	147185
ES35_101-LS_MG-lipid_21	18041775	3363432	3719478	2918063	2156052	1701436	3937470	1660531	1019336	1498179	2100006	1920542	1142545	1019672	1568539	19178885	1580886	1152344	844417	1155467	1227648	633483	1425547	1425257	389281	3631752	1137098	1372023	1535981	832874	1429405	502532	114309	974293	335219	844539	149515
ES36_AR17-21_MG-lipid_0	17676827	3153053	3224180	2622851	1930116	1321359	3352968	1336764	866400	1377227	1673997	1539302	1014640	886920	1324282	16197247	1474095	949540	830167	978438	1167028	668806	1628950	1371216	367821	3868175	1060116	1403011	1605573	705417	1140884	466229	171140	1049956	325854	927930	189790
ES37_AR17-21_MG-lipid_14	17591591	3653465	3911079	3105299	2362172	1613468	3827051	1535129	1037580	1634123	1950402	1890485	1174349	1056542	1574371	17383620	1691982	1124097	963257	1142127	1374283	844544	2071551	1720416	440176	4138126	1261694	1613795	1942556	834768	1357618	486267	209243	863216	300138	748603	169442
ES38_AR17-21_MG-lipid_21	15538073	3417404	3512225	2888283	2141622	1451620	3655852	1476645	962512	1511134	1776873	1709217	1123816	984457	1442819	15451675	1687701	1011029	943673	1134559	1300073	793514	1854604	1570249	439800	4298142	1153911	1659234	1824549	731278	1268742	554134	185112	909201	301571	792295	243891
ES39_LD19-239_MG-lipid_14	13358740	3968976	4099769	3470224	2351769	1686221	3781569	1705959	1327828	1636341	1941382	1808762	1213160	1319938	1818602	14495496	1673738	1062959	1450878	1208599	1814066	801957	1759338	1697765	483085	4589745	1404500	1787498	1844730	728945	1291247	677133	204012	806160	278216	694948	181963
