Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ES100_SEM19-140_Control-lipid_0_1	ES100_SEM19-140_Control-lipid_0_1.gz	Conventional base calls	Sanger / Illumina 1.9	45410205.0	0.0	50.0	52.0	17.130444359551227	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
ES100_SEM19-140_Control-lipid_0_2	ES100_SEM19-140_Control-lipid_0_2.gz	Conventional base calls	Sanger / Illumina 1.9	45410205.0	0.0	50.0	56.0	19.937301045252003	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
ES101_SEM19-140_Control-lipid_14_1	ES101_SEM19-140_Control-lipid_14_1.gz	Conventional base calls	Sanger / Illumina 1.9	42988673.0	0.0	50.0	51.0	18.960208977394338	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
ES101_SEM19-140_Control-lipid_14_2	ES101_SEM19-140_Control-lipid_14_2.gz	Conventional base calls	Sanger / Illumina 1.9	42988673.0	0.0	50.0	55.0	21.31206612360595	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass
ES102_SEM19-140_Control-lipid_21_1	ES102_SEM19-140_Control-lipid_21_1.gz	Conventional base calls	Sanger / Illumina 1.9	48174120.0	0.0	50.0	52.0	18.91106367926288	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
ES102_SEM19-140_Control-lipid_21_2	ES102_SEM19-140_Control-lipid_21_2.gz	Conventional base calls	Sanger / Illumina 1.9	48174120.0	0.0	50.0	56.0	22.846488740725636	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
ES103_625_Control-lipid_0_1	ES103_625_Control-lipid_0_1.gz	Conventional base calls	Sanger / Illumina 1.9	50992615.0	0.0	50.0	52.0	20.65336959028518	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
ES103_625_Control-lipid_0_2	ES103_625_Control-lipid_0_2.gz	Conventional base calls	Sanger / Illumina 1.9	50992615.0	0.0	50.0	55.0	22.10145875430897	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
ES104_625_Control-lipid_14_1	ES104_625_Control-lipid_14_1.gz	Conventional base calls	Sanger / Illumina 1.9	41077281.0	0.0	50.0	52.0	22.10884796744131	50.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
ES104_625_Control-lipid_14_2	ES104_625_Control-lipid_14_2.gz	Conventional base calls	Sanger / Illumina 1.9	41077281.0	0.0	50.0	56.0	26.89713243218964	50.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
