Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ES100_SEM19-140_Control-lipid_0_1	ES100_SEM19-140_Control-lipid_0_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45135858.0	0.0	20-50	53.0	17.526301207155814	49.55746829937297	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES100_SEM19-140_Control-lipid_0_2	ES100_SEM19-140_Control-lipid_0_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45135858.0	0.0	20-50	57.0	19.591115606160216	49.389025860547505	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES101_SEM19-140_Control-lipid_14_1	ES101_SEM19-140_Control-lipid_14_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42805572.0	0.0	20-50	51.0	19.316175259360218	49.55048681512771	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES101_SEM19-140_Control-lipid_14_2	ES101_SEM19-140_Control-lipid_14_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42805572.0	0.0	20-50	55.0	21.122821758924214	49.40489235840605	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES102_SEM19-140_Control-lipid_21_1	ES102_SEM19-140_Control-lipid_21_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47774022.0	0.0	20-50	52.0	19.325688622453914	49.55619602218126	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES102_SEM19-140_Control-lipid_21_2	ES102_SEM19-140_Control-lipid_21_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47774022.0	0.0	20-50	56.0	22.312075163045023	49.319027755293455	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES103_625_Control-lipid_0_1	ES103_625_Control-lipid_0_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50802618.0	0.0	20-50	52.0	21.015327809033764	49.554750564232734	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES103_625_Control-lipid_0_2	ES103_625_Control-lipid_0_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50802618.0	0.0	20-50	56.0	22.04232797905957	49.42913827787379	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES104_625_Control-lipid_14_1	ES104_625_Control-lipid_14_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40534003.0	0.0	20-50	52.0	22.626567415578446	49.559091610073644	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES104_625_Control-lipid_14_2	ES104_625_Control-lipid_14_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40534003.0	0.0	20-50	56.0	26.02726400656158	49.274005801992956	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES105_625_Control-lipid_21_1	ES105_625_Control-lipid_21_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53223929.0	0.0	20-50	54.0	20.75319653532896	49.567619425465566	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES105_625_Control-lipid_21_2	ES105_625_Control-lipid_21_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53223929.0	0.0	20-50	57.0	21.975491371162203	49.4297419869172	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES10_172_Control-protein_14_1	ES10_172_Control-protein_14_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42521018.0	0.0	20-50	52.0	20.06790325882678	49.55167940711109	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES10_172_Control-protein_14_2	ES10_172_Control-protein_14_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42521018.0	0.0	20-50	56.0	23.084132807040145	49.34449161118391	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES11_172_Control-protein_21_1	ES11_172_Control-protein_21_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47754146.0	0.0	20-50	52.0	19.03296405330167	49.54969281620071	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES11_172_Control-protein_21_2	ES11_172_Control-protein_21_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47754146.0	0.0	20-50	56.0	22.599351847410237	49.26483991567978	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES12_209_MG-lipid_0_1	ES12_209_MG-lipid_0_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48012453.0	0.0	20-50	53.0	18.181670498615212	49.56768630421778	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES12_209_MG-lipid_0_2	ES12_209_MG-lipid_0_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	48012453.0	0.0	20-50	57.0	20.795599058653348	49.35685850085602	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ES13_209_MG-lipid_14_1	ES13_209_MG-lipid_14_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47451634.0	0.0	20-50	53.0	20.008102618756507	49.5618285347139	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
ES13_209_MG-lipid_14_2	ES13_209_MG-lipid_14_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47451634.0	0.0	20-50	56.0	23.025327786307138	49.33161448138962	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
