Sample	mRNA	lnc_RNA	transcript	snoRNA	tRNA	snRNA	ncRNA	C_gene_segment	V_gene_segment	rRNA
ES100_SEM19-140_Control-lipid_0	33900577.0	116181.0	27675.0	1258.0	134.0	139.0	453.0	2276.0	165.0	226442.0
ES101_SEM19-140_Control-lipid_14	31604647.0	114462.0	29592.0	1215.0	94.0	97.0	490.0	1761.0	97.0	181791.0
ES102_SEM19-140_Control-lipid_21	34841102.0	126760.0	30506.0	1495.0	165.0	134.0	477.0	2287.0	171.0	194795.0
ES103_625_Control-lipid_0	37555110.0	126576.0	33387.0	1688.0	189.0	162.0	931.0	2058.0	95.0	234478.0
ES104_625_Control-lipid_14	29199447.0	94169.0	26732.0	1155.0	140.0	103.0	896.0	931.0	35.0	182086.0
ES105_625_Control-lipid_21	40307500.0	133736.0	35456.0	1777.0	194.0	115.0	1174.0	2116.0	79.0	235757.0
ES10_172_Control-protein_14	31756150.0	114895.0	28318.0	1369.0	142.0	102.0	520.0	2886.0	171.0	110670.0
ES11_172_Control-protein_21	35233657.0	122389.0	31600.0	1460.0	164.0	83.0	588.0	2640.0	148.0	130488.0
ES12_209_MG-lipid_0	37079975.0	113463.0	28251.0	1376.0	103.0	81.0	408.0	2304.0	132.0	165494.0
ES13_209_MG-lipid_14	35401914.0	116508.0	30182.0	1178.0	129.0	83.0	389.0	8976.0	68.0	236812.0
ES14_209_MG-lipid_21	30158816.0	94929.0	25666.0	1009.0	108.0	80.0	272.0	11108.0	27.0	171823.0
ES15_601_Control-protein_14	32962093.0	122453.0	27462.0	1642.0	236.0	227.0	369.0	3072.0	204.0	95928.0
ES16_601_Control-protein_21	36993108.0	130249.0	32248.0	1609.0	179.0	223.0	375.0	2170.0	124.0	86515.0
ES17_615_Control-protein_0	34861261.0	106046.0	27867.0	1301.0	156.0	107.0	476.0	6991.0	152.0	198879.0
ES18_615_Control-protein_14	32018154.0	110868.0	32276.0	1544.0	206.0	114.0	525.0	5741.0	115.0	147367.0
ES19_615_Control-protein_21	31225626.0	113707.0	28217.0	1449.0	174.0	120.0	490.0	13599.0	276.0	135207.0
ES1_48_Control-lipid_0	37472087.0	125368.0	32311.0	1632.0	183.0	375.0	492.0	4208.0	149.0	88995.0
ES20_618_Control-lipid_0	36394607.0	112932.0	27267.0	1476.0	268.0	251.0	522.0	4081.0	307.0	122365.0
ES21_618_Control-lipid_14	25338750.0	80049.0	19571.0	979.0	198.0	172.0	398.0	2043.0	208.0	68217.0
ES22_618_Control-lipid_21	34121375.0	113817.0	28318.0	1343.0	260.0	196.0	539.0	2804.0	206.0	123563.0
ES23_Blue-010_Control-lipid_0	34087530.0	127047.0	29174.0	1602.0	271.0	160.0	432.0	5069.0	143.0	210245.0
ES24_Blue-010_Control-lipid_21	37137357.0	120179.0	30475.0	1183.0	159.0	121.0	594.0	2538.0	101.0	218359.0
ES25_619_MG-lipid_0	33903361.0	107669.0	27365.0	1455.0	166.0	185.0	497.0	2340.0	158.0	89330.0
ES26_619_MG-lipid_14	32954492.0	107016.0	29572.0	1407.0	119.0	144.0	561.0	1808.0	110.0	91156.0
ES27_619_MG-lipid_21	33555641.0	117543.0	30646.0	1820.0	212.0	215.0	554.0	2493.0	146.0	87178.0
ES28_Blue-098_Control-lipid_0	39602188.0	158335.0	37126.0	2207.0	272.0	388.0	503.0	816.0	31.0	96472.0
ES29_Blue-098_Control-lipid_14	38693632.0	141041.0	35302.0	1859.0	201.0	308.0	504.0	1194.0	35.0	111543.0
ES2_48_Control-lipid_14	34080727.0	103508.0	26651.0	1212.0	109.0	304.0	360.0	1787.0	84.0	112571.0
ES30_Blue-098_Control-lipid_21	25580730.0	95118.0	23876.0	1165.0	129.0	215.0	418.0	518.0	20.0	64961.0
ES31_Blue-055_NA_0	36429516.0	133140.0	28666.0	1444.0	233.0	173.0	530.0	2425.0	132.0	104024.0
ES32_Blue-055_NA_14	35887727.0	119054.0	24337.0	1322.0	207.0	269.0	475.0	27057.0	29.0	138215.0
ES33_101-LS_MG-lipid_0	36867413.0	137298.0	30200.0	1780.0	321.0	238.0	504.0	679.0	48.0	109265.0
ES34_101-LS_MG-lipid_14	34406431.0	129829.0	32073.0	1373.0	231.0	149.0	568.0	2147.0	100.0	97142.0
ES35_101-LS_MG-lipid_21	33871998.0	129839.0	31208.0	1436.0	279.0	158.0	510.0	1038.0	79.0	108039.0
ES36_AR17-21_MG-lipid_0	32036086.0	98096.0	24717.0	1082.0	121.0	98.0	352.0	9027.0	140.0	150257.0
ES37_AR17-21_MG-lipid_14	35322493.0	114774.0	30745.0	1218.0	98.0	119.0	443.0	3822.0	130.0	162881.0
ES38_AR17-21_MG-lipid_21	32202431.0	105465.0	27223.0	1217.0	136.0	136.0	352.0	15600.0	173.0	160433.0
ES39_LD19-239_MG-lipid_14	33087239.0	122758.0	34155.0	1693.0	131.0	103.0	511.0	3691.0	140.0	169761.0
ES3_48_Control-lipid_21	31803708.0	100132.0	26843.0	1125.0	130.0	283.0	372.0	1927.0	80.0	78800.0
ES40_LD19-239_MG-lipid_21	38968966.0	151101.0	35818.0	2112.0	223.0	210.0	573.0	3596.0	197.0	199701.0
ES41_Blue-013_Control-protein_0	36213416.0	139197.0	32312.0	1699.0	181.0	113.0	476.0	20929.0	169.0	76217.0
ES42_Blue-013_Control-protein_14	31570392.0	131871.0	34819.0	1660.0	111.0	110.0	498.0	10365.0	78.0	80113.0
ES43_Blue-013_Control-protein_21	34856819.0	132885.0	35320.0	1584.0	102.0	82.0	520.0	9645.0	32.0	79917.0
ES44_Blue-015_MG-lipid_0	36607585.0	137066.0	33981.0	1445.0	195.0	200.0	522.0	4023.0	118.0	221568.0
ES45_Blue-015_MG-lipid_14	41251259.0	140450.0	38357.0	1390.0	179.0	144.0	605.0	9953.0	86.0	262332.0
ES46_Blue-015_MG-lipid_21	33260594.0	148854.0	35875.0	1775.0	246.0	252.0	481.0	3247.0	116.0	185659.0
ES47_Blue-45_MG-protein_0	31841970.0	128475.0	32225.0	1660.0	264.0	163.0	533.0	2851.0	257.0	157143.0
ES48_Blue-45_MG-protein_14	33910364.0	129942.0	31038.0	1509.0	235.0	164.0	513.0	1786.0	123.0	165911.0
ES49_Blue-024_Control-protein_0	32946861.0	108843.0	27513.0	1373.0	209.0	194.0	491.0	989.0	98.0	141630.0
ES4_164_Control-protein_0	33157370.0	106221.0	27232.0	1199.0	105.0	125.0	418.0	2433.0	146.0	185532.0
ES50_Blue-024_Control-protein_14	29104828.0	96242.0	24447.0	1165.0	156.0	145.0	501.0	506.0	44.0	94427.0
ES51_Blue-024_Control-protein_21	28520322.0	98084.0	24344.0	1191.0	158.0	206.0	528.0	438.0	38.0	72784.0
ES52_SEM19-1481_MG-lipid_14	33170629.0	117697.0	30667.0	1307.0	186.0	106.0	390.0	3384.0	54.0	200871.0
ES53_SEM19-74_MG-protein_0	31488980.0	101398.0	26308.0	1145.0	177.0	172.0	356.0	4563.0	268.0	78993.0
ES54_SEM19-74_MG-protein_14	32439712.0	107130.0	29945.0	1304.0	201.0	206.0	458.0	3072.0	148.0	86628.0
ES55_SEM19-74_MG-protein_21	27675654.0	100943.0	26736.0	1311.0	143.0	209.0	346.0	2770.0	167.0	84946.0
ES56_Blue-050_Control-lipid_21	35748207.0	87982.0	20010.0	1354.0	197.0	136.0	394.0	512.0	38.0	226045.0
ES57_Blue-031_MG-lipid_0	40620931.0	132124.0	31427.0	2067.0	271.0	245.0	504.0	1385.0	76.0	111336.0
ES58_Blue-032_MG-protein_0	36202830.0	123635.0	30509.0	1707.0	274.0	278.0	447.0	3884.0	189.0	130700.0
ES59_Blue-032_MG-protein_14	35173496.0	128981.0	31474.0	1623.0	261.0	201.0	443.0	2552.0	142.0	112862.0
ES5_164_Control-protein_14	30883971.0	108206.0	27798.0	1284.0	168.0	124.0	446.0	2889.0	229.0	169267.0
ES60_Blue-032_MG-protein_21	31357314.0	112129.0	28523.0	1459.0	177.0	146.0	394.0	2393.0	152.0	82939.0
ES61_Blue-035_MG-protein_0	28735335.0	108598.0	27514.0	1380.0	171.0	157.0	762.0	4190.0	211.0	146533.0
ES62_Blue-035_MG-protein_14	32554022.0	113310.0	29831.0	1191.0	100.0	108.0	741.0	9025.0	92.0	147651.0
ES63_Blue-035_MG-protein_21	29830835.0	112771.0	26665.0	1315.0	141.0	126.0	629.0	4429.0	140.0	135998.0
ES64_SEM19-1481_MG-lipid_21	34440338.0	122218.0	28676.0	1164.0	238.0	91.0	370.0	3174.0	81.0	284991.0
ES65_106_NA_0	33612700.0	115734.0	25427.0	1163.0	192.0	135.0	474.0	4426.0	190.0	146577.0
ES66_617_Control-protein_14	32036117.0	110795.0	26449.0	1502.0	184.0	199.0	323.0	2121.0	153.0	102757.0
ES67_Blue-037_MG-protein_0	29941403.0	109227.0	30465.0	1369.0	153.0	127.0	667.0	6217.0	68.0	196851.0
ES68_Blue-037_MG-protein_14	27475148.0	97309.0	30962.0	1068.0	96.0	76.0	732.0	4259.0	26.0	159031.0
ES69_Blue-037_MG-protein_21	29056591.0	109932.0	29683.0	1535.0	150.0	148.0	579.0	12456.0	67.0	176493.0
ES6_164_Control-protein_21	29841854.0	104771.0	28743.0	1266.0	124.0	113.0	489.0	2555.0	162.0	159677.0
ES70_Blue-039_Control-lipid_0	40583562.0	144162.0	35753.0	1953.0	289.0	186.0	438.0	4735.0	346.0	118049.0
ES71_Blue-039_Control-lipid_14	28790772.0	99797.0	26365.0	1243.0	146.0	114.0	391.0	2896.0	215.0	76774.0
ES72_Blue-039_Control-lipid_21	31520732.0	113593.0	28788.0	1393.0	159.0	161.0	382.0	1901.0	102.0	74810.0
ES73_Blue-042_MG-protein_0	39880612.0	146887.0	34469.0	1670.0	238.0	240.0	594.0	2732.0	223.0	103721.0
ES74_Blue-042_MG-protein_14	36708721.0	146362.0	35201.0	1886.0	323.0	291.0	612.0	1768.0	133.0	87005.0
ES75_Blue-042_MG-protein_21	36696717.0	122027.0	28972.0	1297.0	159.0	194.0	471.0	1057.0	79.0	96316.0
ES76_Blue-043_MG-lipid_0	30084523.0	122114.0	29492.0	1593.0	247.0	139.0	664.0	2844.0	188.0	126755.0
ES77_Blue-043_MG-lipid_14	33596593.0	137661.0	34827.0	1697.0	216.0	140.0	761.0	10864.0	90.0	190889.0
ES78_Blue-043_MG-lipid_21	36558093.0	149674.0	36821.0	2145.0	280.0	195.0	693.0	3796.0	178.0	206514.0
ES79_Blue-050_Control-lipid_0	28335536.0	76391.0	19091.0	1277.0	210.0	135.0	340.0	546.0	39.0	184062.0
ES7_SEM19-1354_Control-protein_14	32495795.0	140646.0	29027.0	1653.0	266.0	172.0	513.0	2982.0	186.0	125459.0
ES80_Blue-050_Control-lipid_14	31127151.0	82305.0	20043.0	1218.0	192.0	120.0	287.0	430.0	42.0	239535.0
ES81_Blue-047_Control-lipid_0	33927657.0	120684.0	27228.0	1444.0	261.0	288.0	472.0	1529.0	137.0	99727.0
ES82_Blue-047_Control-lipid_14	22663604.0	67535.0	13221.0	717.0	165.0	166.0	239.0	671.0	71.0	64858.0
ES83_SEM19-1481_MG-lipid_0	35301095.0	116048.0	30052.0	1209.0	209.0	118.0	457.0	3363.0	105.0	201317.0
ES84_LD19-239_MG-lipid_0	34189717.0	123335.0	30771.0	1538.0	199.0	133.0	454.0	3074.0	164.0	157873.0
ES85_orange-24_Control-protein_0	33155031.0	121979.0	28463.0	1251.0	343.0	247.0	685.0	7727.0	194.0	239277.0
ES86_orange-24_Control-protein_14	25940915.0	88505.0	22298.0	1095.0	174.0	149.0	484.0	1707.0	31.0	230262.0
ES87_orange-24_Control-protein_21	32159667.0	116685.0	28400.0	1338.0	254.0	224.0	666.0	637.0	12.0	264292.0
