Sample	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Biotype Counts_mqc-generalstats-biotype_counts-percent_rRNA	DupRadar_mqc-generalstats-dupradar-dupRadar_intercept	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	Rsem_mqc-generalstats-rsem-alignable_percent	RSeQC_mqc-generalstats-rseqc-proper_pairs_percent	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences
ES100_SEM19-140_Control-lipid_0	100805572	91843034	0.6606565077475616	2.90070146547707e-12	1.35	40627251.0	88.18415348401626	76.2355279329202	83.33586790351919	37614359	0.001857369	10533856.0	81309178.0	90.07159894911048	90.0110306975886	0.5980588648608386	90271716.0											
ES100_SEM19-140_Control-lipid_0_1																		82.86955564044877	52.0	50.0	36.36363636363637	45410205.0	0.9060012831917408	82.47369879284419	53.0	49.55746829937297	36.36363636363637	45135858.0
ES100_SEM19-140_Control-lipid_0_2																		80.062698954748	56.0	50.0	18.181818181818183	45410205.0	1.6708087091877255	80.40888439383978	57.0	49.389025860547505	27.27272727272727	45135858.0
ES101_SEM19-140_Control-lipid_14	96222658	86839006	0.5692666111484205	2.90070146547673e-12	1.39	38098572.0	86.73007911668925	75.04155206354828	81.51988951344933	34895055	0.001797751	10611514.0	76227492.0	89.03921667020359	89.00376801412676	0.7699815341797092	85611144.0											
ES101_SEM19-140_Control-lipid_14_1																		81.03979102260567	51.0	50.0	36.36363636363637	42988673.0	0.9149509685958438	80.68382474063978	51.0	49.55048681512771	36.36363636363637	42805572.0
ES101_SEM19-140_Control-lipid_14_2																		78.68793387639406	55.0	50.0	27.27272727272727	42988673.0	1.507534182318212	78.87717824107578	55.0	49.40489235840605	36.36363636363637	42805572.0
ES102_SEM19-140_Control-lipid_21	105805540	94274548	0.5534280291558369	2.90070146547671e-12	1.38	41964756.0	85.57191402516705	75.33002903250625	81.19755753451112	38791339	0.001876352	10257496.0	84017052.0	87.931734112736	87.84011528273672	0.6005041819589735	95548044.0											
ES102_SEM19-140_Control-lipid_21_1																		81.08893632073712	52.0	50.0	36.36363636363637	48174120.0	0.9260080723840933	80.67431137754609	52.0	49.55619602218126	36.36363636363637	47774022.0
ES102_SEM19-140_Control-lipid_21_2																		77.15351125927437	56.0	50.0	18.181818181818183	48174120.0	1.976012971280015	77.68792483695498	56.0	49.319027755293455	27.27272727272727	47774022.0
ES103_625_Control-lipid_0	113890487	103477030	0.6177842549773975	2.90070146547675e-12	1.35	45581039.0	87.67957699519843	75.64405445030717	82.09782810799238	41707846	0.002386701	12285251.0	91191779.0	89.75106263224465	89.7218308709996	0.6978518311792514	101605236.0											
