Sample	Unalignable	Alignable	Filtered	Total	alignable_percent	Unique	Multi	Uncertain
ES100_SEM19-140_Control-lipid_0	4453931	33240626	0	37694557	88.18415348401626	33076587	164039	10298239
ES101_SEM19-140_Control-lipid_14	4676652	30565849	0	35242501	86.73007911668925	30421170	144679	9856727
ES102_SEM19-140_Control-lipid_21	5721726	33935135	0	39656861	85.57191402516705	33755585	179550	11121231
ES103_625_Control-lipid_0	5191878	36948542	0	42140420	87.67957699519843	36727558	220984	13329327
ES104_625_Control-lipid_14	5125414	28865126	0	33990540	84.9210574471603	28699544	165582	10296365
ES105_625_Control-lipid_21	4635038	40081979	0	44717017	89.6347334617602	39855096	226883	14340104
ES10_172_Control-protein_14	4436057	31073877	0	35509934	87.50756056037727	30901198	172679	9780870
ES11_172_Control-protein_21	5615595	34639046	0	40254641	86.04981969656616	34449350	189696	10837847
ES12_209_MG-lipid_0	4757390	36179941	0	40937331	88.3788466815289	36007766	172175	10568824
ES13_209_MG-lipid_14	5154200	34970494	0	40124694	87.15454378293825	34760748	209746	11903065
ES14_209_MG-lipid_21	4225181	29345223	0	33570404	87.4139703531718	29209142	136081	8749218
ES15_601_Control-protein_14	5189763	32238396	0	37428159	86.13406820249962	32074682	163714	9674074
ES16_601_Control-protein_21	5027527	36328960	0	41356487	87.84343795932183	36139465	189495	11195692
ES17_615_Control-protein_0	4744346	34097891	0	38842237	87.78560050493486	33930277	167614	9984429
ES18_615_Control-protein_14	5313305	30979047	0	36292352	85.35971159984341	30778619	200428	11511599
ES19_615_Control-protein_21	5654061	30500473	0	36154534	84.361405404921	30332976	167497	10028407
ES1_48_Control-lipid_0	5859868	36574763	0	42434631	86.1908354994297	36365699	209064	11859318
ES20_618_Control-lipid_0	4699118	35615830	0	40314948	88.3439809968253	35447050	168780	9994107
ES21_618_Control-lipid_14	3252717	24949703	0	28202420	88.46653230467456	24819599	130104	7290416
ES22_618_Control-lipid_21	5354027	33030859	0	38384886	86.05173140282349	32866781	164078	10073622
ES23_Blue-010_Control-lipid_0	4758139	33575641	0	38333780	87.58760810960985	33389688	185953	11097892
ES24_Blue-010_Control-lipid_21	5238724	36673881	0	41912605	87.50083894809211	36484897	188984	11829021
ES25_619_MG-lipid_0	4031146	33035690	0	37066836	89.12465579743575	32882804	152886	9094367
ES26_619_MG-lipid_14	4737885	31814783	0	36552668	87.03819650045791	31650259	164524	9991464
ES27_619_MG-lipid_21	4536303	32743547	0	37279850	87.8317562973027	32572807	170740	10328531
ES28_Blue-098_Control-lipid_0	6576841	38325001	0	44901842	85.35284810810211	38117430	207571	13176431
ES29_Blue-098_Control-lipid_14	5595143	38055155	0	43650298	87.1818904878954	37850681	204474	12948624
ES2_48_Control-lipid_14	4938567	33108732	0	38047299	87.01992748552269	32937651	171081	9980818
ES30_Blue-098_Control-lipid_21	4667484	24547863	0	29215347	84.02386252677402	24424251	123612	8376771
ES31_Blue-055_NA_0	3410224	35524428	0	38934652	91.24115967442062	35355136	169292	10169599
ES32_Blue-055_NA_14	5440281	34860608	0	40300889	86.50084120973112	34681725	178883	10332616
ES33_101-LS_MG-lipid_0	4325008	35723574	0	40048582	89.2005964156234	35557866	165708	9894108
ES34_101-LS_MG-lipid_14	4110456	33591497	0	37701953	89.09749847706829	33420899	170598	10358453
ES35_101-LS_MG-lipid_21	4510325	32874884	0	37385209	87.93553621701031	32706685	168199	10130373
ES36_AR17-21_MG-lipid_0	4596204	31050143	0	35646347	87.10610094212458	30906278	143865	9244544
ES37_AR17-21_MG-lipid_14	5567546	34652070	0	40219616	86.15713785034646	34468393	183677	11260066
ES38_AR17-21_MG-lipid_21	5265691	31310743	0	36576434	85.60359656712298	31146419	164324	10288801
ES39_LD19-239_MG-lipid_14	5269041	32502167	0	37771208	86.05011256192813	32298755	203412	11990344
ES3_48_Control-lipid_21	4676800	30728217	0	35405017	86.79057264680878	30567381	160836	9667857
