Sample	total_records	qc_failed	optical_pcr_duplicate	non_primary_hits	unmapped_reads	mapq_lt_mapq_cut_non-unique	mapq_gte_mapq_cut_unique	read_1	read_2	reads_map_to_sense	reads_map_to_antisense	non-splice_reads	splice_reads	reads_mapped_in_proper_pairs	proper-paired_reads_map_to_different_chrom	unique_percent	proper_pairs_percent
ES100_SEM19-140_Control-lipid_0	100805572	0	0	10533856	8962538	4407300	76901878	38476003	38425875	38458751	38443127	65911344	10990534	76849660	0	76.28732864092076	76.2355279329202
ES101_SEM19-140_Control-lipid_14	96222658	0	0	10611514	9383652	3991641	72235851	36131274	36104577	36120826	36115025	62130950	10104901	72206976	0	75.0715605881517	75.04155206354828
ES102_SEM19-140_Control-lipid_21	105805540	0	0	10257496	11530992	4229787	79787265	39934549	39852716	39905428	39881837	68401346	11385919	79703344	0	75.40934529515184	75.33002903250625
ES103_625_Control-lipid_0	113890487	0	0	12285251	10413457	5012256	86179523	43102667	43076856	43092581	43086942	73718483	12461040	86151382	0	75.66876327431983	75.64405445030717
ES104_625_Control-lipid_14	89481290	0	0	8413284	10344092	3661025	67062889	33575126	33487763	33542829	33520060	57320804	9742085	66973996	0	74.94626977326769	74.84692721796925
ES105_625_Control-lipid_21	114369248	0	0	7921390	9299979	4530117	92617762	46322896	46294866	46312036	46305726	79289843	13327919	92589180	0	80.98135086102866	80.95635987743837
ES10_172_Control-protein_14	94176199	0	0	9134163	8943931	3827235	72270870	36168728	36102142	36145694	36125176	61769134	10501736	72202238	0	76.74005828160468	76.66718211891308
ES11_172_Control-protein_21	106281550	0	0	10773258	11352550	4323240	79832502	39973319	39859183	39934620	39897882	68360848	11471654	79716138	0	75.1141679811783	75.00468143341907
ES12_209_MG-lipid_0	104767489	0	0	8742583	9588674	4030361	82405871	41237602	41168269	41214288	41191583	70352997	12052874	82335114	0	78.6559569066316	78.58841973391192
ES13_209_MG-lipid_14	103940610	0	0	9037342	10398026	4347028	80158214	40121186	40037028	40089744	40068470	68385965	11772249	80072700	0	77.11924530748857	77.03697332544036
ES14_209_MG-lipid_21	87322400	0	0	7716392	8517181	3438163	67650664	33856590	33794074	33834914	33815750	57910597	9740067	67586762	0	77.47229118759907	77.3991117972021
ES15_601_Control-protein_14	97039727	0	0	8301587	10477455	3785638	74475047	37283796	37191251	37252587	37222460	63309270	11165777	74380902	0	76.74696673456222	76.64994976748028
ES16_601_Control-protein_21	105570590	0	0	8376278	10126701	3964848	83102763	41585114	41517649	41561613	41541150	70491208	12611555	83033838	0	78.71772147905965	78.6524334097214
ES17_615_Control-protein_0	101091893	0	0	8907375	9553646	4048215	78582657	39321622	39261035	39300501	39282156	67283075	11299582	78520618	0	77.73388613862438	77.67251722153428
ES18_615_Control-protein_14	96316989	0	0	7625345	10738718	3412683	74540243	37323388	37216855	37282148	37258095	64019399	10520844	74432248	0	77.39054529621976	77.2784207363459
ES19_615_Control-protein_21	94937744	0	0	8534128	11415679	3462184	71525753	35813685	35712068	35776873	35748880	61201799	10323954	71422108	0	75.33963836343109	75.23046682044604
ES1_48_Control-lipid_0	110544922	0	0	9384356	11794162	4447522	84918882	42494308	42424574	42468591	42450291	72239282	12679600	84847690	0	76.81843766645382	76.75403669831165
ES20_618_Control-lipid_0	103070175	0	0	8013577	9464217	3904453	81687928	40875007	40812921	40854763	40833165	69677636	12010292	81624442	0	79.25467090746669	79.193075979545
ES21_618_Control-lipid_14	72511283	0	0	6037145	6536979	2761371	57175788	28602336	28573452	28592886	28582902	48452626	8723162	57145522	0	78.85088448924562	78.80914477819955
