Sample	total_splicing_events	known_splicing_events	partial_novel_splicing_events	novel_splicing_events	total_splicing_junctions	known_splicing_junctions	partial_novel_splicing_junctions	novel_splicing_junctions	known_splicing_events_pct	partial_novel_splicing_events_pct	novel_splicing_events_pct	known_splicing_junctions_pct	partial_novel_splicing_junctions_pct	novel_splicing_junctions_pct
ES100_SEM19-140_Control-lipid_0	11027336	10924874	73140	27662	121239	98383	16611	6245	99.07083632891933	0.6632608274564228	0.2508493438487773	81.14798043533847	13.701036795090687	5.150982769570848
ES101_SEM19-140_Control-lipid_14	10139707	10040743	70496	26872	123687	99054	17759	6874	99.02399546653568	0.6952469139394265	0.26501751973701015	80.08440660699992	14.358016606433981	5.5575767865660906
ES102_SEM19-140_Control-lipid_21	11425242	11313169	79233	30837	130790	103649	19402	7739	99.01907548216484	0.6934907812018336	0.26990237931065264	79.24841348726966	14.834467466931722	5.917119045798609
ES103_625_Control-lipid_0	12514868	12388721	87325	36628	132115	103603	20968	7544	98.99202292824822	0.6977700443983907	0.2926758796017665	78.41880180146084	15.871021458577756	5.710176739961397
ES104_625_Control-lipid_14	9783060	9687319	65698	28141	119964	96115	17655	6194	99.02135937017661	0.6715485747813057	0.2876502852890609	80.11986929412157	14.716915074522358	5.163215631356073
ES105_625_Control-lipid_21	13385606	13251653	92318	38936	135435	105790	21685	7960	98.9992757892321	0.6896811395763479	0.2908796209898902	78.1112710894525	16.01137076826522	5.877358142282276
ES10_172_Control-protein_14	10539690	10445716	65204	27049	126908	103292	16950	6666	99.10837984798414	0.6186519717373092	0.25663942677630935	81.39124405080847	13.356132001134679	5.25262394805686
ES11_172_Control-protein_21	11512947	11411321	70406	29309	128810	104007	17805	6998	99.11728943076	0.6115376019710679	0.2545742632186181	80.74450741402065	13.822684574179023	5.432808011800326
ES12_209_MG-lipid_0	12099322	11999695	67024	30744	124988	102247	16840	5901	99.17659022546883	0.553948394794353	0.2540968824534135	81.80545332351906	13.473293436169872	4.72125324031107
ES13_209_MG-lipid_14	11824945	11709252	77005	36639	123321	98964	17963	6394	99.02161912803822	0.6512081028706688	0.3098449929365422	80.24910599168025	14.566051199714567	5.184842808605185
ES14_209_MG-lipid_21	9776825	9689379	59691	26237	116202	94521	15875	5806	99.1055787538388	0.6105356288979296	0.2683591043104484	81.3419734600093	13.661554878573517	4.996471661417187
ES15_601_Control-protein_14	11204010	11096759	76026	29417	131267	104958	18933	7376	99.04274451736477	0.6785606224914116	0.2625577806517488	79.95764358140279	14.423274699657949	5.619081718939261
ES16_601_Control-protein_21	12654692	12533551	86087	33054	131839	103240	20615	7984	99.0427187007001	0.6802773232252511	0.26119956139588385	78.30763279454486	15.636496029247796	6.055871176207344
ES17_615_Control-protein_0	11339682	11245588	65038	27326	126412	103393	16640	6379	99.17022364471948	0.5735434203534103	0.24097677518646465	81.7904945733	13.163307280954339	5.046198145745657
ES18_615_Control-protein_14	10563846	10454612	74818	32336	131316	104996	18723	7597	98.96596372192477	0.7082458415240056	0.3061006379684066	79.95674556032776	14.257973133510008	5.785281306162235
ES19_615_Control-protein_21	10361895	10265070	66795	28144	132804	107927	17738	7139	99.06556667482155	0.6446214712656324	0.2716105500007479	81.26788349748502	13.35652540586127	5.375591096653715
ES1_48_Control-lipid_0	12727931	12598213	90729	36853	137260	107848	21341	8071	98.98083985527578	0.7128338455008909	0.2895443100689342	78.57205303803002	15.54786536500073	5.880081596969255
ES20_618_Control-lipid_0	12052247	11940696	77315	32308	133434	106473	19416	7545	99.07443815248726	0.641498635067801	0.2680661954571625	79.7945051486128	14.551013984441747	5.654480866945456
ES21_618_Control-lipid_14	8752462	8672705	55228	23188	116321	96446	14189	5686	99.0887478288966	0.6309995975989384	0.2649311702238753	82.91366133372306	12.198141350229108	4.888197316047833
ES22_618_Control-lipid_21	11316722	11203636	78609	32668	132361	104829	19728	7804	99.00071769899445	0.6946269423248181	0.28867016438152315	79.19931097528729	14.90469246983628	5.895996554876437
