Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
ES100_SEM19-140_Control-lipid_0	1.9.0	none	vb	[]	1	['ISR']	1001	281.15571441013407	89.2067996925455	False	False	4096	mapping	False	41223	685	66834	False	['range_factorized', 'gzipped']	[1487, 2500, 3730, 5529, 27516]	d300f3a597b0a437c7838c6b5526b996a2eccd7849a6c412d45957df875d527a	46df2b70153b8caa85a61ec0202088393bf59445d85b0adb3bf7a2a774248c23	8290e58c4a5a9308d5427004628f52516ac9a65b1cb3ad462754a72b91e9c56357c003b0af6886845fc38440d55b8b5f943074b53612ef313b52a399f3ef9f5a	a9ca8e6b92c5fb93f923da29b92c033513fcd1619aacc5001c9a2b12f9da568de2ed1aec39cf42f8d091e1868070976b80fa256ed8059b13af19d96053928cb9	3053fec90259fba2f931a9f3f4141de6ea20979cc0e9ab711a66eac01664911a	4e79523d7bfa09163b99e3a2dab61f1e7e634d5751d1ceef921b5ab256f2cfdc	0	45135858	37614359	623107	71668	1118676	5496842	83.33586790351919	quant	Tue Feb 07 16:35:47 2023	Tue Feb 07 16:37:33 2023
ES101_SEM19-140_Control-lipid_14	1.9.0	none	vb	[]	1	['ISR']	1001	310.5142904882554	89.47186709457787	False	False	4096	mapping	False	41223	685	93079	False	['range_factorized', 'gzipped']	[1487, 2500, 3730, 5529, 27516]	d300f3a597b0a437c7838c6b5526b996a2eccd7849a6c412d45957df875d527a	46df2b70153b8caa85a61ec0202088393bf59445d85b0adb3bf7a2a774248c23	8290e58c4a5a9308d5427004628f52516ac9a65b1cb3ad462754a72b91e9c56357c003b0af6886845fc38440d55b8b5f943074b53612ef313b52a399f3ef9f5a	a9ca8e6b92c5fb93f923da29b92c033513fcd1619aacc5001c9a2b12f9da568de2ed1aec39cf42f8d091e1868070976b80fa256ed8059b13af19d96053928cb9	3053fec90259fba2f931a9f3f4141de6ea20979cc0e9ab711a66eac01664911a	4e79523d7bfa09163b99e3a2dab61f1e7e634d5751d1ceef921b5ab256f2cfdc	0	42805572	34895055	669430	67394	1232289	7192850	81.51988951344933	quant	Tue Feb 07 15:14:55 2023	Tue Feb 07 15:16:47 2023
ES102_SEM19-140_Control-lipid_21	1.9.0	none	vb	[]	1	['ISR']	1001	281.0749430498895	93.08724028772349	False	False	4096	mapping	False	41223	685	81292	False	['range_factorized', 'gzipped']	[1487, 2500, 3730, 5529, 27516]	d300f3a597b0a437c7838c6b5526b996a2eccd7849a6c412d45957df875d527a	46df2b70153b8caa85a61ec0202088393bf59445d85b0adb3bf7a2a774248c23	8290e58c4a5a9308d5427004628f52516ac9a65b1cb3ad462754a72b91e9c56357c003b0af6886845fc38440d55b8b5f943074b53612ef313b52a399f3ef9f5a	a9ca8e6b92c5fb93f923da29b92c033513fcd1619aacc5001c9a2b12f9da568de2ed1aec39cf42f8d091e1868070976b80fa256ed8059b13af19d96053928cb9	3053fec90259fba2f931a9f3f4141de6ea20979cc0e9ab711a66eac01664911a	4e79523d7bfa09163b99e3a2dab61f1e7e634d5751d1ceef921b5ab256f2cfdc	0	47774022	38791339	707190	79254	1258512	7111137	81.19755753451112	quant	Tue Feb 07 13:17:45 2023	Tue Feb 07 13:19:58 2023
ES103_625_Control-lipid_0	1.9.0	none	vb	[]	1	['ISR']	1001	269.9257195561033	91.52977046304449	False	False	4096	mapping	False	41223	685	82967	False	['range_factorized', 'gzipped']	[1487, 2500, 3730, 5529, 27516]	d300f3a597b0a437c7838c6b5526b996a2eccd7849a6c412d45957df875d527a	46df2b70153b8caa85a61ec0202088393bf59445d85b0adb3bf7a2a774248c23	8290e58c4a5a9308d5427004628f52516ac9a65b1cb3ad462754a72b91e9c56357c003b0af6886845fc38440d55b8b5f943074b53612ef313b52a399f3ef9f5a	a9ca8e6b92c5fb93f923da29b92c033513fcd1619aacc5001c9a2b12f9da568de2ed1aec39cf42f8d091e1868070976b80fa256ed8059b13af19d96053928cb9	3053fec90259fba2f931a9f3f4141de6ea20979cc0e9ab711a66eac01664911a	4e79523d7bfa09163b99e3a2dab61f1e7e634d5751d1ceef921b5ab256f2cfdc	0	50802618	41707846	735049	98486	1339416	7627003	82.09782810799238	quant	Tue Feb 07 13:22:12 2023	Tue Feb 07 13:24:27 2023
ES104_625_Control-lipid_14	1.9.0	none	vb	[]	1	['ISR']	1001	268.5018656927535	95.28851426834508	False	False	4096	mapping	False	41223	685	74975	False	['range_factorized', 'gzipped']	[1487, 2500, 3730, 5529, 27516]	d300f3a597b0a437c7838c6b5526b996a2eccd7849a6c412d45957df875d527a	46df2b70153b8caa85a61ec0202088393bf59445d85b0adb3bf7a2a774248c23	8290e58c4a5a9308d5427004628f52516ac9a65b1cb3ad462754a72b91e9c56357c003b0af6886845fc38440d55b8b5f943074b53612ef313b52a399f3ef9f5a	a9ca8e6b92c5fb93f923da29b92c033513fcd1619aacc5001c9a2b12f9da568de2ed1aec39cf42f8d091e1868070976b80fa256ed8059b13af19d96053928cb9	3053fec90259fba2f931a9f3f4141de6ea20979cc0e9ab711a66eac01664911a	4e79523d7bfa09163b99e3a2dab61f1e7e634d5751d1ceef921b5ab256f2cfdc	0	40534003	33160293	571316	68981	919853	6369340	81.8085817973616	quant	Tue Feb 07 13:34:24 2023	Tue Feb 07 13:36:21 2023
ES105_625_Control-lipid_21	1.9.0	none	vb	[]	1	['ISR']	1001	273.60054684931345	92.69411560940792	False	False	4096	mapping	False	41223	685	80731	False	['range_factorized', 'gzipped']	[1487, 2500, 3730, 5529, 27516]	d300f3a597b0a437c7838c6b5526b996a2eccd7849a6c412d45957df875d527a	46df2b70153b8caa85a61ec0202088393bf59445d85b0adb3bf7a2a774248c23	8290e58c4a5a9308d5427004628f52516ac9a65b1cb3ad462754a72b91e9c56357c003b0af6886845fc38440d55b8b5f943074b53612ef313b52a399f3ef9f5a	a9ca8e6b92c5fb93f923da29b92c033513fcd1619aacc5001c9a2b12f9da568de2ed1aec39cf42f8d091e1868070976b80fa256ed8059b13af19d96053928cb9	3053fec90259fba2f931a9f3f4141de6ea20979cc0e9ab711a66eac01664911a	4e79523d7bfa09163b99e3a2dab61f1e7e634d5751d1ceef921b5ab256f2cfdc	0	53223929	44023273	688306	106736	1072174	5551854	82.71330927109872	quant	Tue Feb 07 13:26:36 2023	Tue Feb 07 13:28:42 2023
ES10_172_Control-protein_14	1.9.0	none	vb	[]	1	['ISR']	1001	264.65945615318185	92.54884723825019	False	False	4096	mapping	False	41223	685	70809	False	['range_factorized', 'gzipped']	[1487, 2500, 3730, 5529, 27516]	d300f3a597b0a437c7838c6b5526b996a2eccd7849a6c412d45957df875d527a	46df2b70153b8caa85a61ec0202088393bf59445d85b0adb3bf7a2a774248c23	8290e58c4a5a9308d5427004628f52516ac9a65b1cb3ad462754a72b91e9c56357c003b0af6886845fc38440d55b8b5f943074b53612ef313b52a399f3ef9f5a	a9ca8e6b92c5fb93f923da29b92c033513fcd1619aacc5001c9a2b12f9da568de2ed1aec39cf42f8d091e1868070976b80fa256ed8059b13af19d96053928cb9	3053fec90259fba2f931a9f3f4141de6ea20979cc0e9ab711a66eac01664911a	4e79523d7bfa09163b99e3a2dab61f1e7e634d5751d1ceef921b5ab256f2cfdc	0	42521018	35409434	608746	62115	1037764	6424162	83.27513231221322	quant	Tue Feb 07 13:04:47 2023	Tue Feb 07 13:06:54 2023
ES11_172_Control-protein_21	1.9.0	none	vb	[]	1	['ISR']	1001	284.85994551662316	94.7207765266885	False	False	4096	mapping	False	41223	685	74559	False	['range_factorized', 'gzipped']	[1487, 2500, 3730, 5529, 27516]	d300f3a597b0a437c7838c6b5526b996a2eccd7849a6c412d45957df875d527a	46df2b70153b8caa85a61ec0202088393bf59445d85b0adb3bf7a2a774248c23	8290e58c4a5a9308d5427004628f52516ac9a65b1cb3ad462754a72b91e9c56357c003b0af6886845fc38440d55b8b5f943074b53612ef313b52a399f3ef9f5a	a9ca8e6b92c5fb93f923da29b92c033513fcd1619aacc5001c9a2b12f9da568de2ed1aec39cf42f8d091e1868070976b80fa256ed8059b13af19d96053928cb9	3053fec90259fba2f931a9f3f4141de6ea20979cc0e9ab711a66eac01664911a	4e79523d7bfa09163b99e3a2dab61f1e7e634d5751d1ceef921b5ab256f2cfdc	0	47754146	39863733	658990	66253	1074455	7577430	83.47700951452467	quant	Tue Feb 07 14:16:29 2023	Tue Feb 07 14:18:34 2023
ES12_209_MG-lipid_0	1.9.0	none	vb	[]	1	['ISR']	1001	279.72245173011834	88.89901866261796	False	False	4096	mapping	False	41223	685	72183	False	['range_factorized', 'gzipped']	[1487, 2500, 3730, 5529, 27516]	d300f3a597b0a437c7838c6b5526b996a2eccd7849a6c412d45957df875d527a	46df2b70153b8caa85a61ec0202088393bf59445d85b0adb3bf7a2a774248c23	8290e58c4a5a9308d5427004628f52516ac9a65b1cb3ad462754a72b91e9c56357c003b0af6886845fc38440d55b8b5f943074b53612ef313b52a399f3ef9f5a	a9ca8e6b92c5fb93f923da29b92c033513fcd1619aacc5001c9a2b12f9da568de2ed1aec39cf42f8d091e1868070976b80fa256ed8059b13af19d96053928cb9	3053fec90259fba2f931a9f3f4141de6ea20979cc0e9ab711a66eac01664911a	4e79523d7bfa09163b99e3a2dab61f1e7e634d5751d1ceef921b5ab256f2cfdc	0	48012453	41113379	607571	73106	1120205	6515117	85.63065711306189	quant	Tue Feb 07 13:30:27 2023	Tue Feb 07 13:32:27 2023
ES13_209_MG-lipid_14	1.9.0	none	vb	[]	1	['ISR']	1001	272.8011793488837	91.91630249403185	False	False	4096	mapping	False	41223	685	71257	False	['range_factorized', 'gzipped']	[1487, 2500, 3730, 5529, 27516]	d300f3a597b0a437c7838c6b5526b996a2eccd7849a6c412d45957df875d527a	46df2b70153b8caa85a61ec0202088393bf59445d85b0adb3bf7a2a774248c23	8290e58c4a5a9308d5427004628f52516ac9a65b1cb3ad462754a72b91e9c56357c003b0af6886845fc38440d55b8b5f943074b53612ef313b52a399f3ef9f5a	a9ca8e6b92c5fb93f923da29b92c033513fcd1619aacc5001c9a2b12f9da568de2ed1aec39cf42f8d091e1868070976b80fa256ed8059b13af19d96053928cb9	3053fec90259fba2f931a9f3f4141de6ea20979cc0e9ab711a66eac01664911a	4e79523d7bfa09163b99e3a2dab61f1e7e634d5751d1ceef921b5ab256f2cfdc	0	47451634	39866787	589482	88742	1073589	5960001	84.01562525749904	quant	Tue Feb 07 14:14:36 2023	Tue Feb 07 14:16:27 2023
