Sample	x	y
ES100_SEM19.140_Control.lipid_0	2.0182873146469	2.97326581993397
ES101_SEM19.140_Control.lipid_14	2.15919681361064	3.9275896637949
ES102_SEM19.140_Control.lipid_21	1.6447053155914	3.54137168921286
ES103_625_Control.lipid_0	-3.52313245703714	-14.445131651441
ES104_625_Control.lipid_14	-1.79438351962992	-9.54629400194711
ES105_625_Control.lipid_21	-3.3729436252027	-13.0314998391481
ES10_172_Control.protein_14	-1.53810318355753	2.01321863211782
ES11_172_Control.protein_21	-1.28138756239285	1.21692322544012
ES12_209_MG.lipid_0	-9.39922121387809	-14.3740932644722
ES13_209_MG.lipid_14	-6.1741464068617	-19.0310732069134
ES14_209_MG.lipid_21	-4.41596064063998	-13.4245135358962
ES15_601_Control.protein_14	-1.24352609086415	14.6761446037495
ES16_601_Control.protein_21	2.8593937862542	15.7352312237365
ES17_615_Control.protein_0	-8.53856151595329	-18.550615467035
ES18_615_Control.protein_14	-10.0808266488839	-21.7476974937449
ES19_615_Control.protein_21	-4.19833499540652	8.42143134312288
ES1_48_Control.lipid_0	-2.16195398133305	4.177811186599
ES20_618_Control.lipid_0	-3.88545693503674	8.87724223102834
ES21_618_Control.lipid_14	-2.54392438419498	8.17039145280276
ES22_618_Control.lipid_21	-1.3897107713559	8.89739720490887
ES23_Blue.010_Control.lipid_0	-5.60106302103259	-9.77067136189485
ES24_Blue.010_Control.lipid_21	-1.7562302333547	0.919533924288946
ES25_619_MG.lipid_0	-5.60909772243218	-9.57500469985282
ES26_619_MG.lipid_14	-5.29054022506154	-11.1054837740978
ES27_619_MG.lipid_21	-4.99438263535804	-8.08391491095586
ES28_Blue.098_Control.lipid_0	2.59661022789757	20.2132311710092
ES29_Blue.098_Control.lipid_14	-0.0780071059591783	18.5873236745985
ES2_48_Control.lipid_14	-0.478925786055092	4.58854472168747
ES30_Blue.098_Control.lipid_21	1.45499519966881	20.813353807765
ES31_Blue.055_NA_0	2.29175929309399	12.9570909874584
ES32_Blue.055_NA_14	-3.54143489683325	8.4684545136237
ES33_101.LS_MG.lipid_0	3.50204272088292	19.0462551282886
ES34_101.LS_MG.lipid_14	3.38308248151063	15.5266901092069
ES35_101.LS_MG.lipid_21	6.18128720384452	19.2788898106475
ES36_AR17.21_MG.lipid_0	2.0575832498818	14.3555376599958
ES37_AR17.21_MG.lipid_14	3.56692419572791	15.8157428979606
