Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
ES100_SEM19-140_Control-lipid_0	100805572	0	10533856	0	0	0	0	0	91843034	0	91.11	nan	90271716	0	45135858	0	45135858	0	81254502	0	90.01	nan	81254502	0	54676	0	0.06	nan	0	0	0	0	100805572
ES101_SEM19-140_Control-lipid_14	96222658	0	10611514	0	0	0	0	0	86839006	0	90.25	nan	85611144	0	42805572	0	42805572	0	76197144	0	89.0	nan	76197144	0	30348	0	0.04	nan	0	0	0	0	96222658
ES102_SEM19-140_Control-lipid_21	105805540	0	10257496	0	0	0	0	0	94274548	0	89.1	nan	95548044	0	47774022	0	47774022	0	83929512	0	87.84	nan	83929512	0	87540	0	0.09	nan	0	0	0	0	105805540
ES103_625_Control-lipid_0	113890487	0	12285251	0	0	0	0	0	103477030	0	90.86	nan	101605236	0	50802618	0	50802618	0	91162078	0	89.72	nan	91162078	0	29701	0	0.03	nan	0	0	0	0	113890487
ES104_625_Control-lipid_14	89481290	0	8413284	0	0	0	0	0	79137198	0	88.44	nan	81068006	0	40534003	0	40534003	0	70630650	0	87.13	nan	70630650	0	93264	0	0.12	nan	0	0	0	0	89481290
ES105_625_Control-lipid_21	114369248	0	7921390	0	0	0	0	0	105069269	0	91.87	nan	106447858	0	53223929	0	53223929	0	97117976	0	91.24	nan	97117976	0	29903	0	0.03	nan	0	0	0	0	114369248
ES10_172_Control-protein_14	94176199	0	9134163	0	0	0	0	0	85232268	0	90.5	nan	85042036	0	42521018	0	42521018	0	76026288	0	89.4	nan	76026288	0	71817	0	0.08	nan	0	0	0	0	94176199
ES11_172_Control-protein_21	106281550	0	10773258	0	0	0	0	0	94929000	0	89.32	nan	95508292	0	47754146	0	47754146	0	84034382	0	87.99	nan	84034382	0	121360	0	0.13	nan	0	0	0	0	106281550
ES12_209_MG-lipid_0	104767489	0	8742583	0	0	0	0	0	95178815	0	90.85	nan	96024906	0	48012453	0	48012453	0	86362338	0	89.94	nan	86362338	0	73894	0	0.08	nan	0	0	0	0	104767489
ES13_209_MG-lipid_14	103940610	0	9037342	0	0	0	0	0	93542584	0	90.0	nan	94903268	0	47451634	0	47451634	0	84415616	0	88.95	nan	84415616	0	89626	0	0.09	nan	0	0	0	0	103940610
ES14_209_MG-lipid_21	87322400	0	7716392	0	0	0	0	0	78805219	0	90.25	nan	79606008	0	39803004	0	39803004	0	71022008	0	89.22	nan	71022008	0	66819	0	0.08	nan	0	0	0	0	87322400
ES15_601_Control-protein_14	97039727	0	8301587	0	0	0	0	0	86562272	0	89.2	nan	88738140	0	44369070	0	44369070	0	78162756	0	88.08	nan	78162756	0	97929	0	0.11	nan	0	0	0	0	97039727
ES16_601_Control-protein_21	105570590	0	8376278	0	0	0	0	0	95443889	0	90.41	nan	97194312	0	48597156	0	48597156	0	86995964	0	89.51	nan	86995964	0	71647	0	0.07	nan	0	0	0	0	105570590
ES17_615_Control-protein_0	101091893	0	8907375	0	0	0	0	0	91538247	0	90.55	nan	92184518	0	46092259	0	46092259	0	82565918	0	89.57	nan	82565918	0	64954	0	0.07	nan	0	0	0	0	101091893
ES18_615_Control-protein_14	96316989	0	7625345	0	0	0	0	0	85578271	0	88.85	nan	88691644	0	44345822	0	44345822	0	77840818	0	87.77	nan	77840818	0	112108	0	0.13	nan	0	0	0	0	96316989
