Module	Section	Sample Name	Source
QualiMap	rna_genome_results	ES6_164_Control-protein_21	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES6_164_Control-protein_21/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES98_SEM19-107_MG-protein_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES98_SEM19-107_MG-protein_14/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES7_SEM19-1354_Control-protein_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES7_SEM19-1354_Control-protein_14/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES30_Blue-098_Control-lipid_21	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES30_Blue-098_Control-lipid_21/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES68_Blue-037_MG-protein_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES68_Blue-037_MG-protein_14/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES86_orange-24_Control-protein_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES86_orange-24_Control-protein_14/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES67_Blue-037_MG-protein_0	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES67_Blue-037_MG-protein_0/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES97_SEM19-107_MG-protein_0	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES97_SEM19-107_MG-protein_0/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES74_Blue-042_MG-protein_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES74_Blue-042_MG-protein_14/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES92_SEM19-76_MG-lipid_0	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES92_SEM19-76_MG-lipid_0/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES66_617_Control-protein_14	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES66_617_Control-protein_14/rnaseq_qc_results.txt
QualiMap	rna_genome_results	ES28_Blue-098_Control-lipid_0	/scrfs/storage/clstacy/rnaseq/canary/nf/work_serCan/40/6fb893f12f356939165ae3fc1cf663/qualimap/ES28_Blue-098_Control-lipid_0/rnaseq_qc_results.txt
