gene	Estimate	Std. Error	z value	Pr(>|z|)	entrezgene_id	entrezgene_description	external_gene_name	gene_gff	description	gene_name	gene.y	FDR_tol	gene.z	logFC	logCPM	F	PValue	FDR_inf
ABITRAM	0.32617236388883464	1.4081574308435159	0.23163060943651062	0.8168249310948326	103815633	NA	NA	ABITRAM	actin binding transcription modulator	ABITRAM	ABITRAM	0.8532587741017986	ABITRAM	0.2829166183288424	-0.47806499466399155	3.3905223965515363	0.06850374749725106	0.2211327714241343
ABTB3	-2.1491570790815238	7.038947492032441	-0.305323641285037	0.7601196719060203	103813200	NA	NA	ABTB3	ankyrin repeat and BTB domain containing 3	ABTB3	ABTB3	0.8057651355124384	ABTB3	0.3349191339334583	1.7551663331366962	5.414474581026928	0.021956449445949194	0.11303074566631068
ADSS1	-3.6008182702617546	2.751398053778663	-1.3087231290712484	0.19062815410541598	103826864	NA	NA	ADSS1	adenylosuccinate synthase 1	ADSS1	ADSS1	0.24740967904119732	ADSS1	-0.1440940851611941	2.0251404094351395	2.0105994114081724	0.15926215272575583	0.36242430779542173
ADSS2	0.23454727127798197	0.9787577626837544	0.2396377124354582	0.8106111261676925	103821862	NA	NA	ADSS2	adenylosuccinate synthase 2	ADSS2	ADSS2	0.8483164800844515	ADSS2	0.1485230800645969	3.5495894757362114	3.8385748079705673	0.052821222722207545	0.18919948302926587
AFG1L	2.6106737941166136	2.1638668419550577	1.2064854192958865	0.22763037775818867	103822226	NA	NA	AFG1L	AFG1 like ATPase	AFG1L	AFG1L	0.28821594259264105	AFG1L	-0.24784489754352373	3.7153907738764547	7.425380347860927	0.007571375241808943	0.06438872112312682
AHSA2P	0.6978750047183259	0.769219367820228	0.9072509532565802	0.3642741043844108	103819316	activator of HSP90 ATPase homolog 2, pseudogene	NA	AHSA2P	activator of HSP90 ATPase homolog 2	AHSA2P	AHSA2P	0.4349616678797638	AHSA2P	-0.07578234727089139	4.482267014930971	1.278411162339583	0.26085111991784576	0.48125285908022447
ATOSB	1.7358784012502269	1.164264627959378	1.490965506950704	0.13597055112711237	103822900	NA	NA	ATOSB	atos homolog B	ATOSB	ATOSB	0.18849301565157728	ATOSB	-0.12293710605558231	5.842494720060836	3.424023393368192	0.06715358279643903	0.2184121647773964
ATP5F1A	0.45844505681102915	0.8861585490108977	0.5173397664816652	0.6049189988607797	103820647	ATP synthase F1 subunit alpha	NA	ATP5F1A	ATP synthase F1 subunit alpha	ATP5F1A	ATP5F1A	0.6687511922085806	ATP5F1A	0.0994604232591544	4.898782836189932	4.091934243043737	0.045709789820411996	0.17400831970731664
ATP5F1D	1.1785349168701842	1.1506559184685823	1.0242287880800252	0.305727224305499	108963054	NA	NA	ATP5F1D	ATP synthase F1 subunit delta	ATP5F1D	ATP5F1D	0.3733078349887227	ATP5F1D	-0.1407961950419691	6.013043634120444	7.719237797219286	0.0065064353333712166	0.05987456595987644
ATP5F1E	0.16958630762700666	0.6377506783897461	0.26591317480867976	0.7903060782576379	103818739	ATP synthase F1 subunit epsilon	NA	ATP5F1E	ATP synthase F1 subunit epsilon	ATP5F1E	ATP5F1E	0.8314325372438632	ATP5F1E	-0.09155520467163679	5.86561968380386	1.0889523100764789	0.29917469122850443	0.5216125724629189
ATP5IF1	1.439212439107457	1.0173724681395395	1.4146367079692383	0.15717504026033197	103822626	ATP synthase inhibitory factor subunit 1	NA	ATP5IF1	ATP synthase inhibitory factor subunit 1	ATP5IF1	ATP5IF1	0.21076925758250928	ATP5IF1	-0.0888523951656886	8.698537094178151	1.990643350279679	0.1613216673106777	0.3649045962753858
ATP5MC3	0.28357827656221934	0.9712973680159105	0.2919582466711411	0.7703185480931072	103814696	NA	NA	ATP5MC3	ATP synthase membrane subunit c locus 3	ATP5MC3	ATP5MC3	0.8147614344003183	ATP5MC3	0.005900843654281094	4.652506483948253	0.015053586170615463	0.9025920245645811	0.9513296172512582
ATP5MF	2.1784211016938326	0.8117223571000755	2.6837022322218234	0.007281192399797229	103817612	ATP synthase membrane subunit f	NA	ATP5MF	ATP synthase membrane subunit f	ATP5MF	ATP5MF	0.025748052908448272	ATP5MF	-0.288603890862863	6.339855161334671	11.869843785320137	8.299815313849243e-4	0.022093703496426986
ATP5MJ	1.278591890352873	0.7865362825139564	1.6255981049802182	0.10403517861228595	103826398	NA	NA	ATP5MJ	ATP synthase membrane subunit j	ATP5MJ	ATP5MJ	0.16048361165416794	ATP5MJ	-0.29316549662360036	5.3791696471451935	11.117630945201588	0.00119356601501924	0.026748623178480466
ATP5MK	1.2373499880433476	0.8826720989363092	1.4018229300942602	0.16096812934866378	103813847	ATP synthase membrane subunit DAPIT	NA	ATP5MK	ATP synthase membrane subunit k	ATP5MK	ATP5MK	0.2149165402990414	ATP5MK	-0.1020925282661792	5.758183678833799	2.025716471027484	0.15771287356521368	0.36037526054787955
ATP5PB	2.0717904513513905	1.0427630912194696	1.9868275630359284	0.04694150905221975	103823270	NA	NA	ATP5PB	ATP synthase peripheral stalk-membrane subunit b	ATP5PB	ATP5PB	0.11478086894701992	ATP5PB	-0.1713830654692995	5.961114693893283	5.941254669785002	0.01652409204360658	0.09651171739251717
ATPSCKMT	-1.2703094760200686	3.1346738581309834	-0.4052445432959579	0.6852977659793557	103822264	NA	NA	ATPSCKMT	ATP synthase c subunit lysine N-methyltransferase	ATPSCKMT	ATPSCKMT	0.7416548616686828	ATPSCKMT	0.10821067188596414	-0.2422986835304841	0.8603185576524983	0.3558985293863628	0.5769870097627396
BCLAF3	7.722583988350099	5.989391351047208	1.289377089543473	0.19726702231396645	103815843	NA	NA	BCLAF3	BCLAF1 and THRAP3 family member 3	BCLAF3	BCLAF3	0.2548320183600257	BCLAF3	0.08043192137561177	1.3530391511040865	0.5672374069696134	0.4531052463697429	0.6552525054828905
BLTP1	-0.3582468149597421	0.750557227695955	-0.4773077944495728	0.6331429614507682	103821414	NA	NA	BLTP1	bridge-like lipid transfer protein family member 1	BLTP1	BLTP1	0.6952714380024925	BLTP1	-0.09602669661991854	9.554677054121912	1.4367919613749343	0.23344150769404612	0.4518044417225851
BLTP3A	-0.027327948689335736	1.002252752092765	-0.02726652397039899	0.9782471569375044	103823348	NA	NA	BLTP3A	bridge-like lipid transfer protein family member 3A	BLTP3A	BLTP3A	0.9837299669500481	BLTP3A	-0.08281834408207452	8.125066160679552	2.4444596088185437	0.12104326763206077	0.3087324662155436
