gene	Estimate	Std. Error	z value	Pr(>|z|)	entrezgene_id	ensembl_gene_id	wikigene_name	entrezgene_description	external_gene_name	gene_gff	description	gene_name	gene.y	FDR_tol	gene.z	logFC	logCPM	F	PValue	FDR_inf
ABITRAM	0.32617236388883464	1.4081574308435159	0.23163060943651062	0.8168249310948326	103815633	NA	NA	NA	NA	ABITRAM	actin binding transcription modulator	ABITRAM	ABITRAM	0.8532563934705921	ABITRAM	0.29969857983213866	-0.4778297426023218	3.068297580721255	0.08284736591752902	0.25741074734509395
ABTB3	-2.1491570790815238	7.038947492032441	-0.305323641285037	0.7601196719060203	103813200	NA	NA	NA	NA	ABTB3	ankyrin repeat and BTB domain containing 3	ABTB3	ABTB3	0.8058064561308963	ABTB3	0.3526095370250685	1.757004755540282	5.293895627408724	0.0234410164587094	0.12432554534513182
ADSS1	-3.6008182702617546	2.751398053778663	-1.3087231290712484	0.19062815410541598	103826864	NA	NA	NA	NA	ADSS1	adenylosuccinate synthase 1	ADSS1	ADSS1	0.24706866759599683	ADSS1	-0.1393219140150356	2.0237923390492982	1.825706381522552	0.17963353568066895	0.39574782545310605
ADSS2	0.23454727127798197	0.9787577626837544	0.2396377124354582	0.8106111261676925	103821862	NA	NA	NA	NA	ADSS2	adenylosuccinate synthase 2	ADSS2	ADSS2	0.8482526953171404	ADSS2	0.15761927188538258	3.5503176100885225	4.135913937923392	0.04458629532921204	0.18067232829413982
AFG1L	2.6106737941166136	2.1638668419550577	1.2064854192958865	0.22763037775818867	103822226	NA	NA	NA	NA	AFG1L	AFG1 like ATPase	AFG1L	AFG1L	0.2878085236023075	AFG1L	-0.238230320449059	3.715185678759926	6.670142682895489	0.011227009215471644	0.08516196017575317
AHSA2P	0.6978750047183259	0.769219367820228	0.9072509532565802	0.3642741043844108	103819316	ENSSCAG00000013998	AHSA2P	activator of HSP90 ATPase homolog 2, pseudogene	NA	AHSA2P	activator of HSP90 ATPase homolog 2	AHSA2P	AHSA2P	0.43442757560932227	AHSA2P	-0.06899703325772774	4.482919015928339	1.0225410278027924	0.31431664401778053	0.5445712843275454
ATOSB	1.7358784012502269	1.164264627959378	1.490965506950704	0.13597055112711237	103822900	NA	NA	NA	NA	ATOSB	atos homolog B	ATOSB	ATOSB	0.18818269531935533	ATOSB	-0.11805063548291296	5.840615484512589	3.2570350569500497	0.07407680455813898	0.24022548647981387
ATP5F1A	0.45844505681102915	0.8861585490108977	0.5173397664816652	0.6049189988607797	103820647	ENSSCAG00000016307	ATP5F1A	ATP synthase F1 subunit alpha	NA	ATP5F1A	ATP synthase F1 subunit alpha	ATP5F1A	ATP5F1A	0.6684411653631707	ATP5F1A	0.1061165831053144	4.899339660244115	4.469032245445787	0.03695982726245002	0.16120463913043226
ATP5F1D	1.1785349168701842	1.1506559184685823	1.0242287880800252	0.305727224305499	108963054	NA	NA	NA	NA	ATP5F1D	ATP synthase F1 subunit delta	ATP5F1D	ATP5F1D	0.37281052405888204	ATP5F1D	-0.13613690785156204	6.012420019581014	7.323307935328948	0.007983421385573569	0.07151273228119646
ATP5F1E	0.16958630762700666	0.6377506783897461	0.26591317480867976	0.7903060782576379	103818739	ENSSCAG00000015289	ATP5F1E	ATP synthase F1 subunit epsilon	NA	ATP5F1E	ATP synthase F1 subunit epsilon	ATP5F1E	ATP5F1E	0.8314269574247205	ATP5F1E	-0.08691331850734009	5.865561576397117	0.9700718271082867	0.32699949003911455	0.5579330526493346
ATP5IF1	1.439212439107457	1.0173724681395395	1.4146367079692383	0.15717504026033197	103822626	ENSSCAG00000014822	ATP5IF1	ATP synthase inhibitory factor subunit 1	NA	ATP5IF1	ATP synthase inhibitory factor subunit 1	ATP5IF1	ATP5IF1	0.21045103986817149	ATP5IF1	-0.08463854875631673	8.69741782282204	1.8401509762764756	0.17793674607683022	0.39355543123540737
ATP5MC3	0.28357827656221934	0.9712973680159105	0.2919582466711411	0.7703185480931072	103814696	NA	NA	NA	NA	ATP5MC3	ATP synthase membrane subunit c locus 3	ATP5MC3	ATP5MC3	0.8147861177304574	ATP5MC3	0.012955126019277738	4.6532426120056565	0.06980385681592192	0.7921571940133814	0.891156589706197
ATP5MF	2.1784211016938326	0.8117223571000755	2.6837022322218234	0.007281192399797229	103817612	ENSSCAG00000008947	ATP5MF	ATP synthase membrane subunit f	NA	ATP5MF	ATP synthase membrane subunit f	ATP5MF	ATP5MF	0.025676357041387963	ATP5MF	-0.2844529912913433	6.338851973946082	11.562700361084309	9.626063398857754e-4	0.026209578561246363
ATP5MJ	1.278591890352873	0.7865362825139564	1.6255981049802182	0.10403517861228595	103826398	NA	NA	NA	NA	ATP5MJ	ATP synthase membrane subunit j	ATP5MJ	ATP5MJ	0.16024100475855857	ATP5MJ	-0.28857360723763553	5.378559603445646	10.690142550911435	0.0014703437070383131	0.03274044691785717
ATP5MK	1.2373499880433476	0.8826720989363092	1.4018229300942602	0.16096812934866378	103813847	ENSSCAG00000016437	ATP5MD	ATP synthase membrane subunit DAPIT	NA	ATP5MK	ATP synthase membrane subunit k	ATP5MK	ATP5MK	0.214615501131506	ATP5MK	-0.09699559149907287	5.758889529667419	1.7875425471602582	0.1842086002600557	0.4014054284589169
ATP5PB	2.0717904513513905	1.0427630912194696	1.9868275630359284	0.04694150905221975	103823270	NA	NA	NA	NA	ATP5PB	ATP synthase peripheral stalk-membrane subunit b	ATP5PB	ATP5PB	0.114711922298819	ATP5PB	-0.16658471514984774	5.960638816844564	5.592193550708698	0.019938256952715085	0.11374437103134392
ATPSCKMT	-1.2703094760200686	3.1346738581309834	-0.4052445432959579	0.6852977659793557	103822264	NA	NA	NA	NA	ATPSCKMT	ATP synthase c subunit lysine N-methyltransferase	ATPSCKMT	ATPSCKMT	0.7414210962336482	ATPSCKMT	0.13378142088519698	-0.2414283338012673	1.1122478836609646	0.2940926956090309	0.5260194555608683
BCLAF3	7.722583988350099	5.989391351047208	1.289377089543473	0.19726702231396645	103815843	NA	NA	NA	NA	BCLAF3	BCLAF1 and THRAP3 family member 3	BCLAF3	BCLAF3	0.25446844407633856	BCLAF3	0.10087301358422872	1.3550304382286993	0.8113485167981176	0.3698497852052949	0.5968196650558062
BLTP1	-0.3582468149597421	0.750557227695955	-0.4773077944495728	0.6331429614507682	103821414	NA	NA	NA	NA	BLTP1	bridge-like lipid transfer protein family member 1	BLTP1	BLTP1	0.6949515292823998	BLTP1	-0.09239610465297327	9.553235054251754	1.3314053525151772	0.2512595667197315	0.47983597811059836
