"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","richFactor","comparison"
"BP","GO:0006412","translation","11/54","58/2159",7.819811321876353e-8,1.014053306030469e-5,9.58199696763185e-6,"103812360/103812407/103814742/103815368/103816764/103817571/103818729/103819845/103820545/103821868/103824076",11,0.1896551724137931,"eye_score_pos"
"BP","GO:0043043","peptide biosynthetic process","11/54","59/2159",9.433054009585758e-8,1.014053306030469e-5,9.58199696763185e-6,"103812360/103812407/103814742/103815368/103816764/103817571/103818729/103819845/103820545/103821868/103824076",11,0.1864406779661017,"eye_score_pos"
"BP","GO:0006518","peptide metabolic process","11/54","65/2159",2.695089797479703e-7,1.931481021527121e-5,1.8250958979423953e-5,"103812360/103812407/103814742/103815368/103816764/103817571/103818729/103819845/103820545/103821868/103824076",11,0.16923076923076924,"eye_score_pos"
"BP","GO:0043604","amide biosynthetic process","11/54","68/2159",4.362709290987808e-7,2.3449562439059467e-5,2.2157970872648604e-5,"103812360/103812407/103814742/103815368/103816764/103817571/103818729/103819845/103820545/103821868/103824076",11,0.16176470588235295,"eye_score_pos"
"BP","GO:0043603","amide metabolic process","11/54","85/2159",4.405251078618567e-6,1.8942579638059836e-4,1.7899230698387018e-4,"103812360/103812407/103814742/103815368/103816764/103817571/103818729/103819845/103820545/103821868/103824076",11,0.12941176470588237,"eye_score_pos"
"BP","GO:1901566","organonitrogen compound biosynthetic process","13/54","170/2159",1.7937527632105326e-4,0.0064276140681710755,0.006073583917537418,"103812360/103812407/103814742/103815368/103816764/103817571/103818729/103819845/103820545/103821868/103822821/103824076/103826812",13,0.07647058823529412,"eye_score_pos"
"CC","GO:0005840","ribosome","11/68","40/2702",1.4565649943526387e-9,1.165251995482111e-7,9.506003121038276e-8,"103812360/103814742/103815368/103816764/103817571/103818729/103819845/103820545/103821868/103824076/103824148",11,0.275,"eye_score_pos"
"CC","GO:1990904","ribonucleoprotein complex","13/68","84/2702",7.789708814446244e-8,3.1158835257784973e-6,2.5419049815561427e-6,"103812360/103813752/103814742/103815368/103816764/103817571/103818036/103818729/103819845/103820545/103821868/103824076/103824148",13,0.15476190476190477,"eye_score_pos"
"CC","GO:0043228","non-membrane-bounded organelle","23/68","317/2702",1.017926367176784e-6,2.035852734353568e-5,1.6608272306568584e-5,"103812360/103812791/103813752/103814742/103815368/103816365/103816717/103816764/103817571/103818036/103818729/103818740/103819845/103820497/103820545/103820599/103821868/103823656/103824076/103824148/103824346/103824483/103827125",23,0.07255520504731862,"eye_score_pos"
"CC","GO:0043232","intracellular non-membrane-bounded organelle","23/68","317/2702",1.017926367176784e-6,2.035852734353568e-5,1.6608272306568584e-5,"103812360/103812791/103813752/103814742/103815368/103816365/103816717/103816764/103817571/103818036/103818729/103818740/103819845/103820497/103820545/103820599/103821868/103823656/103824076/103824148/103824346/103824483/103827125",23,0.07255520504731862,"eye_score_pos"
