"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","comparison"
"scan03010","Ribosome - Serinus canaria (common canary)",109,-0.6934071662586162,-3.1624259579673706,1e-10,1.63e-8,1.4421052631578949e-8,1998,"tags=69%, list=18%, signal=57%","103820088/103817750/103815291/103826752/103826008/103817860/103823064/103822260/103818922/103823818/103813272/103821578/103820760/103819445/103824817/103817308/115484503/103817571/103821953/103826235/103812360/103820795/108962664/103820636/103820308/103812930/103824076/103827329/103822778/103824232/103812957/103812989/103821795/103814742/115485322/103821868/103816531/103812879/103824808/103819178/103818398/103820931/103820396/103826794/103814342/103814016/103818138/103815368/103823504/103815140/103816984/103827028/103819825/103816211/103818972/103824401/103821019/103816764/103820545/103821652/103823298/103816243/103817700/103824835/103824093/103819251/103815165/103813425/103824530/103815776/103824141/103815935/103816293/103820125/103818043","infection_all"
"scan04672","Intestinal immune network for IgA production - Serinus canaria (common canary)",18,0.7245988123947028,2.102671412681694,6.405923680159907e-5,0.005220827799330324,0.004619008127273196,944,"tags=56%, list=9%, signal=51%","103821712/103813616/103817606/103823355/103818815/103822525/103827138/103812309/103814710/103818417","infection_all"
"scan04060","Cytokine-cytokine receptor interaction - Serinus canaria (common canary)",103,0.4292646690407957,1.8299212150782491,1.544565565473668e-4,0.00839213957240693,0.007424753770873423,1774,"tags=41%, list=16%, signal=35%","103823970/103821712/103813616/108963451/103821001/103821099/103817183/103822640/103820948/103817606/103812980/103812320/103818815/103822011/103822284/103822525/103812628/103818753/103814184/103812440/103824053/103812309/103815299/103817300/103813169/103813225/103821034/103815624/103812987/103825260/103819165/103816543/103812364/103812985/103819385/103819311/103812321/103812363/103812366/103819164/103812645/103823016","infection_all"
"scan00670","One carbon pool by folate - Serinus canaria (common canary)",25,0.6173158229555287,1.9799698870489264,2.748124291907431e-4,0.008958885191618225,0.007926169010343539,2173,"tags=52%, list=20%, signal=42%","103813189/103823837/103815752/103817124/103821480/103824404/103814023/103815236/103816061/103818585/103823058/103821310/103818571","infection_all"
"scan04620","Toll-like receptor signaling pathway - Serinus canaria (common canary)",65,0.4633912231527114,1.8144220850289632,2.6471800448493656e-4,0.008958885191618225,0.007926169010343539,2477,"tags=37%, list=23%, signal=29%","103823970/103826207/103812752/103813055/103815911/103815912/103824755/103818815/103819051/103822497/103827138/115483831/103818417/103814539/103826229/103826549/103822391/103824089/103826521/103814507/103826388/103813947/103820781/103826414","infection_all"
"scan04622","RIG-I-like receptor signaling pathway - Serinus canaria (common canary)",39,0.5276645599998695,1.861841762699317,4.7515696337374836e-4,0.012908430838320164,0.011420439295123427,2506,"tags=44%, list=23%, signal=34%","103821730/103819976/103821258/103818641/103814509/103816650/103826549/103823962/103822391/103824089/103821035/103814507/103812941/103814384/103813947/103826414/103814392","infection_all"
"scan04148","Efferocytosis - Serinus canaria (common canary)",111,0.39628100459709087,1.7096241753723849,6.037258491291434e-4,0.01405818762972148,0.012437660350480098,3167,"tags=45%, list=29%, signal=32%","103813937/103813932/103814582/103816073/103826835/103822392/103813931/103819334/103826599/103822317/103812660/103818852/103824164/103826657/103818895/103820424/103814308/103812509/103815253/103820700/108962468/103813832/103818170/103826360/103813818/103818395/103815319/103827163/103818426/103816813/103814094/103821200/103826860/103821112/103820058/103825669/103817017/103820519/103821681/103814492/103813604/103814761/103820104/103823400/103812923/103818074/103822044/103818137/103819669/103822082","infection_all"
"scan03050","Proteasome - Serinus canaria (common canary)",34,-0.516186697022006,-1.906996191635731,0.0012429382854178546,0.025324867565388785,0.02240559803976922,2663,"tags=47%, list=24%, signal=36%","103818683/103827055/103821715/103816914/103815366/103822431/103817076/103821623/103827339/103818924/103825262/103826700/103819256/103823167/103818732/103824736","infection_all"
"scan04142","Lysosome - Serinus canaria (common canary)",110,0.38328067448172587,1.6569612667040008,0.0016558558041944145,0.029989388453743285,0.0265324263362146,2380,"tags=35%, list=22%, signal=28%","103824300/103819936/103813937/103826466/103817725/103817489/103813931/103820271/103818651/103826204/103827207/103812503/103820152/103819543/103823430/103819935/103814925/103818696/103824795/103826212/103813171/103823562/103821268/103827066/103821276/103816190/103816275/103826899/103816813/103820629/103823730/103819481/103813476/103815824/103826250/103814662/103819201/103821694/103815599","infection_all"
"scan04512","ECM-receptor interaction - Serinus canaria (common canary)",38,-0.48061836599130126,-1.8252588833441843,0.002371090088060117,0.03864876843537991,0.03419361495413012,1350,"tags=37%, list=12%, signal=32%","103826299/103820000/103824527/103818867/103823330/103813510/103824015/103823465/103821089/115483849/103813718/103818618/103824037/103818870","infection_all"
"scan00190","Oxidative phosphorylation - Serinus canaria (common canary)",82,-0.3748378835707585,-1.6509412920434037,0.004704135322927719,0.06970673251247439,0.06167143916182751,4413,"tags=60%, list=40%, signal=36%","103826594/103815311/103823755/103820977/103821968/103818329/103824915/103822534/103817783/103819557/103814964/103813689/103819838/103814510/103813894/103824421/108963315/103824104/103812255/103817677/103815557/103819907/103813310/103825440/115485390/103814992/103818939/103819167/103821880/103817799/103826261/103819613/103817572/103827120/103816343/103813968/103822053/103821723/103822174/103823494/103822294/103817388/103816871/103816398/103817222/103814773/103826690/103819753/103823717","infection_all"
"scan05164","Influenza A - Serinus canaria (common canary)",92,0.36446783130356863,1.5201242111922268,0.00543608105490307,0.0738401009957667,0.06532834250190532,1556,"tags=22%, list=14%, signal=19%","103820351/103815742/103819976/103826207/103813055/103817583/103823354/103815911/103821258/103815912/103819051/103814184/103812440/103816650/103814539/103826549/103823962/103822391/103824089/103817801","infection_all"
"scan01230","Biosynthesis of amino acids - Serinus canaria (common canary)",46,0.45175071275784273,1.6614726990199093,0.0070920825660970065,0.08892380448260093,0.07867330457937571,1896,"tags=39%, list=17%, signal=33%","103819001/103820272/103815752/103820089/103826599/103819925/103815943/103815490/103820786/103820500/103816991/103814023/103815236/103821209/103827158/103812734/103819913/103820123","infection_all"
"scan03272","Virion - Hepatitis viruses - Serinus canaria (common canary)",22,0.5513987826385216,1.692676754129358,0.007883657931696155,0.09178830306189094,0.08120760425882506,2187,"tags=36%, list=20%, signal=29%","103814683/115483987/103819552/103825978/103819296/103826757/103820959/103818193","infection_all"
"scan04514","Cell adhesion molecules - Serinus canaria (common canary)",55,0.4119869756556387,1.57540585453629,0.009920898034214537,0.10780709197179797,0.09537986180262398,2162,"tags=38%, list=20%, signal=31%","103821713/103825000/103823054/103814957/103823841/103823044/103823843/115483987/103818815/103825978/103827138/103814710/103820720/103818417/103814562/103820764/103814481/103813103/103824644/103822837/103824329","infection_all"
"scan00220","Arginine biosynthesis - Serinus canaria (common canary)",13,0.6033646520509345,1.6088656412810267,0.012535903353845818,0.12770951541730427,0.1129880762813735,892,"tags=31%, list=8%, signal=28%","103819001/103820272/103826599/103824593","infection_all"
