Sample.Name	Sample.ID	Bird.ID	MG.Status	MG.active	Diet	Day	ES	logLoad	tolerance.day	tolerance.bird	tolerance.category
ES100_SEM19-140_Control-lipid_0	ES100	SEM19-140	Control	NO	lipid	0	0	0	NA	NA	intermediate
ES101_SEM19-140_Control-lipid_14	ES101	SEM19-140	Control	NO	lipid	14	0	0	NA	NA	intermediate
ES102_SEM19-140_Control-lipid_21	ES102	SEM19-140	Control	NO	lipid	21	0	0	NA	NA	intermediate
ES103_625_Control-lipid_0	ES103	625	Control	NO	lipid	0	0	0	NA	NA	intermediate
ES104_625_Control-lipid_14	ES104	625	Control	NO	lipid	14	0	0	NA	NA	intermediate
ES105_625_Control-lipid_21	ES105	625	Control	NO	lipid	21	0	0	NA	NA	intermediate
ES10_172_Control-protein_14	ES10	172	Control	NO	protein	14	0	0	NA	NA	intermediate
ES11_172_Control-protein_21	ES11	172	Control	NO	protein	21	0	0	NA	NA	intermediate
ES12_209_MG-lipid_0	ES12	209	MG	NO	lipid	0	0.4166666666666667	0	NA	-Inf	susceptible
ES13_209_MG-lipid_14	ES13	209	MG	YES	lipid	14	0.3333333333333333	0	-Inf	-Inf	susceptible
ES14_209_MG-lipid_21	ES14	209	MG	YES	lipid	21	0.16666666666666666	0	-Inf	-Inf	susceptible
ES15_601_Control-protein_14	ES15	601	Control	NO	protein	14	0	0	NA	NA	intermediate
ES16_601_Control-protein_21	ES16	601	Control	NO	protein	21	0	0	NA	NA	intermediate
ES17_615_Control-protein_0	ES17	615	Control	NO	protein	0	0	0	NA	NA	intermediate
ES18_615_Control-protein_14	ES18	615	Control	NO	protein	14	0	0	NA	NA	intermediate
ES19_615_Control-protein_21	ES19	615	Control	NO	protein	21	0	0	NA	NA	intermediate
ES1_48_Control-lipid_0	ES1	48	Control	NO	lipid	0	0	0	NA	NA	intermediate
ES20_618_Control-lipid_0	ES20	618	Control	NO	lipid	0	0	0	NA	NA	intermediate
ES21_618_Control-lipid_14	ES21	618	Control	NO	lipid	14	0	0	NA	NA	intermediate
ES22_618_Control-lipid_21	ES22	618	Control	NO	lipid	21	0	0	NA	NA	intermediate
ES23_Blue-010_Control-lipid_0	ES23	Blue-010	Control	NO	lipid	0	0	0	NA	NA	intermediate
ES24_Blue-010_Control-lipid_21	ES24	Blue-010	Control	NO	lipid	21	0	0	NA	NA	intermediate
ES25_619_MG-lipid_0	ES25	619	MG	NO	lipid	0	0.16666666666666666	0	NA	NA	intermediate
ES26_619_MG-lipid_14	ES26	619	MG	YES	lipid	14	0	0	NA	NA	intermediate
ES27_619_MG-lipid_21	ES27	619	MG	YES	lipid	21	0	0	NA	NA	intermediate
ES28_Blue-098_Control-lipid_0	ES28	Blue-098	Control	NO	lipid	0	0	4.945284666	NA	NA	intermediate
ES29_Blue-098_Control-lipid_14	ES29	Blue-098	Control	NO	lipid	14	0	0.29804157506328754	NA	NA	intermediate
ES2_48_Control-lipid_14	ES2	48	Control	NO	lipid	14	0	0	NA	NA	intermediate
ES30_Blue-098_Control-lipid_21	ES30	Blue-098	Control	NO	lipid	21	0	0.2998133088826634	NA	NA	intermediate
ES33_101-LS_MG-lipid_0	ES33	101-LS	MG	NO	lipid	0	0.6666666666666666	8.02373275	NA	-Inf	susceptible
ES34_101-LS_MG-lipid_14	ES34	101-LS	MG	YES	lipid	14	0.5833333333333334	4.446117422508861	-Inf	-Inf	susceptible
ES35_101-LS_MG-lipid_21	ES35	101-LS	MG	YES	lipid	21	0.3333333333333333	2.606107561445596	-Inf	-Inf	susceptible
ES36_AR17-21_MG-lipid_0	ES36	AR17-21	MG	NO	lipid	0	0.5	0	NA	-Inf	susceptible
ES37_AR17-21_MG-lipid_14	ES37	AR17-21	MG	YES	lipid	14	0.16666666666666666	0	-Inf	-Inf	susceptible
ES38_AR17-21_MG-lipid_21	ES38	AR17-21	MG	YES	lipid	21	0	0	NA	-Inf	susceptible
ES39_LD19-239_MG-lipid_14	ES39	LD19-239	MG	YES	lipid	14	0	0	NA	NA	intermediate
ES3_48_Control-lipid_21	ES3	48	Control	NO	lipid	21	0	0	NA	NA	intermediate
ES40_LD19-239_MG-lipid_21	ES40	LD19-239	MG	YES	lipid	21	0	0	NA	NA	intermediate
ES41_Blue-013_Control-protein_0	ES41	Blue-013	Control	NO	protein	0	0	0	NA	NA	intermediate
ES42_Blue-013_Control-protein_14	ES42	Blue-013	Control	NO	protein	14	0	0	NA	NA	intermediate
ES43_Blue-013_Control-protein_21	ES43	Blue-013	Control	NO	protein	21	0	0	NA	NA	intermediate
ES44_Blue-015_MG-lipid_0	ES44	Blue-015	MG	NO	lipid	0	0.25	7.184154682	NA	-Inf	susceptible
ES45_Blue-015_MG-lipid_14	ES45	Blue-015	MG	YES	lipid	14	0.75	3.956720522377233	-Inf	-Inf	susceptible
ES46_Blue-015_MG-lipid_21	ES46	Blue-015	MG	YES	lipid	21	0.6666666666666666	2.3204840088072114	-Inf	-Inf	susceptible
ES47_Blue-45_MG-protein_0	ES47	Blue-45	MG	NO	protein	0	0.4166666666666667	8.02373275	NA	1	tolerant
ES48_Blue-45_MG-protein_14	ES48	Blue-45	MG	YES	protein	14	0	5.477011958972099	1	1	tolerant
ES49_Blue-024_Control-protein_0	ES49	Blue-024	Control	NO	protein	0	0	0	NA	NA	intermediate
ES4_164_Control-protein_0	ES4	164	Control	NO	protein	0	0	0	NA	NA	intermediate
ES50_Blue-024_Control-protein_14	ES50	Blue-024	Control	NO	protein	14	0	0	NA	NA	intermediate
ES51_Blue-024_Control-protein_21	ES51	Blue-024	Control	NO	protein	21	0	0	NA	NA	intermediate
ES52_SEM19-1481_MG-protein_14	ES52	SEM19-1481	MG	YES	protein	14	0	5.6110048739983585	1	1	tolerant
ES53_SEM19-74_MG-protein_0	ES53	SEM19-74	MG	NO	protein	0	0.4166666666666667	0	NA	-Inf	susceptible
ES54_SEM19-74_MG-protein_14	ES54	SEM19-74	MG	YES	protein	14	0.08333333333333333	0	-Inf	-Inf	susceptible
ES55_SEM19-74_MG-protein_21	ES55	SEM19-74	MG	YES	protein	21	0	0	NA	-Inf	susceptible
ES56_Blue-050_Control-lipid_21	ES56	Blue-050	Control	NO	lipid	21	0	0	NA	NA	intermediate
ES57_Blue-031_MG-lipid_0	ES57	Blue-031	MG	NO	lipid	0	0.6666666666666666	7.743873389	NA	NA	intermediate
ES58_Blue-032_MG-protein_0	ES58	Blue-032	MG	NO	protein	0	0.75	0	NA	NA	intermediate
ES59_Blue-032_MG-protein_14	ES59	Blue-032	MG	YES	protein	14	0	0	NA	NA	intermediate
ES5_164_Control-protein_14	ES5	164	Control	NO	protein	14	0	0	NA	NA	intermediate
ES60_Blue-032_MG-protein_21	ES60	Blue-032	MG	YES	protein	21	0	0	NA	NA	intermediate
ES61_Blue-035_MG-protein_0	ES61	Blue-035	MG	NO	protein	0	0.8333333333333334	8.02373275	NA	-Inf	susceptible
ES62_Blue-035_MG-protein_14	ES62	Blue-035	MG	YES	protein	14	0.16666666666666666	4.446117422508861	-Inf	-Inf	susceptible
ES63_Blue-035_MG-protein_21	ES63	Blue-035	MG	YES	protein	21	0.08333333333333333	2.606107561445596	-Inf	-Inf	susceptible
ES64_SEM19-1481_MG-protein_21	ES64	SEM19-1481	MG	YES	protein	21	0	5.01833549079587	NA	1	tolerant
ES66_617_Control-protein_14	ES66	617	Control	NO	protein	14	0	0	NA	NA	intermediate
ES67_Blue-037_MG-protein_0	ES67	Blue-037	MG	NO	protein	0	0.25	7.743873389	NA	0.8289849482436114	tolerant
ES68_Blue-037_MG-protein_14	ES68	Blue-037	MG	YES	protein	14	0.08333333333333333	5.026141861785306	0.8859899654957409	0.8289849482436114	tolerant
ES69_Blue-037_MG-protein_21	ES69	Blue-037	MG	YES	protein	21	0.16666666666666666	4.699756935189741	0.7719799309914819	0.8289849482436114	tolerant
ES6_164_Control-protein_21	ES6	164	Control	NO	protein	21	0	0	NA	NA	intermediate
ES70_Blue-039_Control-lipid_0	ES70	Blue-039	Control	NO	lipid	0	0	0	NA	NA	intermediate
ES71_Blue-039_Control-lipid_14	ES71	Blue-039	Control	NO	lipid	14	0	0	NA	NA	intermediate
ES72_Blue-039_Control-lipid_21	ES72	Blue-039	Control	NO	lipid	21	0	0	NA	NA	intermediate
ES73_Blue-042_MG-protein_0	ES73	Blue-042	MG	NO	protein	0	0.5	8.02373275	NA	-Inf	susceptible
ES74_Blue-042_MG-protein_14	ES74	Blue-042	MG	YES	protein	14	0.08333333333333333	4.299851632082743	-Inf	-Inf	susceptible
ES75_Blue-042_MG-protein_21	ES75	Blue-042	MG	YES	protein	21	0	2.527866512501484	NA	-Inf	susceptible
ES76_Blue-043_MG-lipid_0	ES76	Blue-043	MG	NO	lipid	0	0.3333333333333333	7.743873389	NA	0.5237698446351751	tolerant
ES77_Blue-043_MG-lipid_14	ES77	Blue-043	MG	YES	lipid	14	0.4166666666666667	5.172407843785828	0.4299498274787047	0.5237698446351751	tolerant
ES78_Blue-043_MG-lipid_21	ES78	Blue-043	MG	YES	lipid	21	0.25	4.71782212304351	0.6175898617916453	0.5237698446351751	tolerant
ES79_Blue-050_Control-lipid_0	ES79	Blue-050	Control	NO	lipid	0	0	0	NA	NA	intermediate
ES7_SEM19-1354_Control-protein_14	ES7	SEM19-1354	Control	NO	protein	14	0	0	NA	NA	intermediate
ES80_Blue-050_Control-lipid_14	ES80	Blue-050	Control	NO	lipid	14	0	0	NA	NA	intermediate
