"","logFC","logCPM","F","PValue","FDR"
"LOC108962424",3.82940832623049,1.74078916161019,11.1646849774816,0.0012039871559539,0.999905518857808
"LOC103817610",0.481163197373668,5.11673191383359,10.1754649533827,0.00194364294666719,0.999905518857808
"LOC103815379",-0.545858167239526,3.99876576874701,9.46703294277951,0.00275203006430521,0.999905518857808
"LOC127060940",-1.09374107090623,4.20424141820049,9.31410983690935,0.0029682302921916,0.999905518857808
"LOC103823628",-0.530283679518535,7.63565604414922,9.13227248628358,0.00324838655427116,0.999905518857808
"LOC127060247",-0.88574301779875,4.46500756760976,8.75947162541135,0.00391179860191947,0.999905518857808
"LOC127061296",-0.73814056663481,3.46286181763026,7.96871189361456,0.00582716710387093,0.999905518857808
"LOC103826261",0.511644382599382,4.37160712220628,7.85228448577164,0.00618257263082517,0.999905518857808
"LOC103814484",0.313333258525349,5.15625540364521,7.61838325131132,0.00696642319086263,0.999905518857808
"LOC103817202",0.290463794454727,6.13465997891652,6.77141091293543,0.0107877459067501,0.999905518857808
"LOC103818740",0.366740899052083,6.14280113202136,6.7511223431601,0.0109024696423674,0.999905518857808
"LOC115485391",1.83376739051706,1.55784972955806,6.70910185969467,0.0111441530492427,0.999905518857808
"LOC103817251",0.395283639683876,4.25665587782492,7.46483520937786,0.0112293789826962,0.999905518857808
"LOC103822176",-0.389166791557914,5.21895706014966,6.49832233857198,0.0124438851193811,0.999905518857808
"LOC103819327",0.207419728961065,6.39165968847795,6.4900655642147,0.0124979185684563,0.999905518857808
"LOC103824468",-1.16422332474479,3.24420399123278,6.4710233273007,0.0126234719538635,0.999905518857808
"LOC103819887",0.279870610987304,6.92387658622447,6.46805039908577,0.0126431925487814,0.999905518857808
"LOC103825501",-0.297717104016038,5.20461314954481,6.46365557306508,0.0126724042439398,0.999905518857808
"LOC103812421",0.450902071684082,5.97751316809111,6.42677878227041,0.0129203199195792,0.999905518857808
"LOC103814002",0.567545600208652,3.61098384761922,6.37398041269437,0.0144014252094682,0.999905518857808
"LOC103820807",0.662862922400879,3.28518331102968,10.192910530698,0.0154937020953852,0.999905518857808
"LOC108963167",-0.45938669848723,5.25123337234608,5.90200179525536,0.0170557540887926,0.999905518857808
"LOC103819879",-0.594895716802894,3.34228498943387,5.8320170094456,0.017704358276863,0.999905518857808
"LOC103817526",-2.13073945898753,3.45052575498846,5.79414608966419,0.0180661012427901,0.999905518857808
"LOC103813327",0.970371466896661,4.12315961746574,5.78587318357361,0.0181461533668449,0.999905518857808
"LOC103812541",0.567712589788993,3.59417109738149,5.74643240375105,0.0185329604414571,0.999905518857808
"LOC103823713",-0.964090439984737,6.68346473683357,5.68781148098261,0.0191239779824851,0.999905518857808
"LOC103826109",0.479371150318827,4.25557654521578,5.678075684238,0.0192240395504267,0.999905518857808
"LOC103820477",1.04155598359048,2.68034899664433,5.6747149067894,0.0192587084100804,0.999905518857808
"LOC103823572",0.292591787594961,6.22405570405123,5.6156094784647,0.0198793012569508,0.999905518857808
"LOC103813813",0.476577344909458,4.15293765785082,5.50194053120335,0.0211327512447138,0.999905518857808
"LOC103815419",0.320888486699299,5.2875109451651,5.47472686919385,0.0214450254886508,0.999905518857808
"LOC103821524",0.447595778490828,4.40665340394373,5.40022876247519,0.0223250323398413,0.999905518857808
"LOC103821199",0.400888134674126,6.37045946529766,5.35806679890345,0.0228398766233974,0.999905518857808
"LOC103820869",-1.34546266455287,2.47042132642992,5.3438836175706,0.0230158730092911,0.999905518857808
"LOC103812665",-0.793296238872296,2.26405943437111,7.42859917506378,0.0235708995915876,0.999905518857808
"LOC103826946",1.33625399392043,2.96955466807708,5.29535300380299,0.0236289895290023,0.999905518857808
"LOC103816873",-1.32530933369953,2.46078629332749,5.28119903756053,0.0238110355816847,0.999905518857808
"LOC103825375",-0.241063104668211,5.77001919408726,5.22673216705493,0.0245255178669138,0.999905518857808
"LOC103823845",-1.15213759728766,2.78790307347174,5.16953908674895,0.0253001996473982,0.999905518857808
"LOC103822637",-0.247588913372956,6.5658561597839,5.08865205771384,0.0264402812885434,0.999905518857808
"C25H1orf43",-0.416434573505655,6.72042624812113,5.0466636547354,0.0270534120994356,0.999905518857808
"LOC103825067",-0.340135355808602,5.51162043693958,4.94884632269526,0.0285409165089972,0.999905518857808
"LOC103821138",0.321139707825896,4.72084526012272,4.87146065265223,0.0297790583501448,0.999905518857808
"LOC103822120",-0.233656738033332,6.27109736961362,4.85733468071352,0.030011151395995,0.999905518857808
"LOC103826375",-0.474298606716702,7.2448946443387,4.85470762837455,0.0300545256773107,0.999905518857808
"LOC103826041",1.58217829199811,3.84413293914387,4.76707153828199,0.031540253928928,0.999905518857808
"LOC103824521",-0.278899340812901,5.27920936128675,4.74127744298827,0.0319922573390041,0.999905518857808
"CAVIN1",1.24207484497711,2.47308669372523,4.73794094291835,0.0320512252012691,0.999905518857808
"LOC103820069",1.65824047679524,1.66426385602724,4.72816505812695,0.0322246656597855,0.999905518857808
"LOC127060270",2.12133208277792,1.37686585205654,4.70779629250596,0.0325892527426595,0.999905518857808
"C8H1orf52",-0.39569159132725,3.75603939837858,8.5579780335606,0.0330979828358874,0.999905518857808
"LOC103817267",1.14484958120769,1.9375293599932,4.66134351352995,0.0334372256984358,0.999905518857808
