"","logFC","logCPM","F","PValue","FDR"
"LOC127059163",1.53297448868801,1.56209189499255,18.4378030765458,0.000124641409142353,0.636410458458817
"LOC103814484",0.320464488763901,5.15625540364521,14.8991157225343,0.000239719205715873,0.636410458458817
"LOC103826319",-0.263978974722262,5.55832624725593,14.0298239888104,0.000312705878474569,0.636410458458817
"LOC103824521",-0.346162123992214,5.27920936128675,13.9479996440857,0.000324740634498695,0.636410458458817
"LOC127060247",-0.809781160316526,4.46500756760976,12.829319383509,0.000546489153295692,0.84007982280502
"LOC103817251",0.39099759848023,4.25665587782492,13.6972473678699,0.000719432623526168,0.84007982280502
"LOC103817267",1.16082655311148,1.9375293599932,11.6778915499834,0.000941816306540096,0.84007982280502
"LOC103826261",0.448845847167236,4.37160712220628,11.6462658415647,0.000956125616476064,0.84007982280502
"LOC103823845",-1.33108338445585,2.78790307347174,11.6279820256478,0.00096450037061426,0.84007982280502
"LOC103814002",0.532284553760403,3.61098384761922,10.9529159737679,0.00133314102983299,0.987089603276486
"LOC103815870",0.295916663711423,4.86076762277553,12.7326082060218,0.00138512382141107,0.987089603276486
"LOC103823628",-0.410618649645224,7.63565604414922,10.6168719465133,0.00156820040414386,0.999989254770532
"LOC103815419",0.320573514878913,5.2875109451651,10.4854769959132,0.00167139737935624,0.999989254770532
"LOC103826938",0.352067645903967,4.31123746381602,10.0054869097472,0.00211198858238737,0.999989254770532
"LOC103821138",0.339518272546314,4.72084526012272,9.98566566055438,0.00213257804604922,0.999989254770532
"LOC103822176",-0.339160917872568,5.21895706014966,9.33900796184548,0.00293186542364131,0.999989254770532
"LOC103821835",-0.288732175116822,4.84700269343686,9.3949292589967,0.00328944903996999,0.999989254770532
"LOC103819327",0.176863521397942,6.39165968847795,9.01804138849887,0.00343826855744585,0.999989254770532
"LOC115485391",1.5577595612439,1.55784972955806,8.94976726936923,0.00355721626587384,0.999989254770532
"LOC103813783",0.365466012693362,4.0982806745335,8.86637377314465,0.00370831524552769,0.999989254770532
"LOC115485102",0.279395523742416,5.21707270791248,8.74782696760195,0.0039346524452014,0.999989254770532
"LOC103820477",0.916024467751454,2.68034899664433,8.68469189197946,0.0040609953649273,0.999989254770532
"LOC103818632",0.323271787668243,6.0785191341278,8.50592640821719,0.00444207618441894,0.999989254770532
"LOC103812907",0.218357246078856,5.74750150673561,8.49663408989586,0.00446287199338163,0.999989254770532
"LOC103817704",1.60607613001704,1.36829128951809,12.8495723725939,0.0046434508605546,0.999989254770532
"LOC103820632",0.498523060343748,3.94999514127902,8.35064819232193,0.00480318377538741,0.999989254770532
"LOC103825067",-0.316003552055554,5.51162043693958,8.18187470499525,0.00523044033901858,0.999989254770532
"HAPSTR1",0.201677557039438,6.95693654504705,8.1680382193001,0.00526717535506622,0.999989254770532
"LOC103826041",1.47313589192428,3.84413293914387,8.12448339565935,0.005384570734224,0.999989254770532
