"","logFC","logCPM","F","PValue","FDR"
"LOC127060940",-1.96118908662518,4.20424141820049,12.6723414717348,0.000588274665749503,0.999977509840191
"LOC103826946",3.21500496456987,2.96955466807708,12.5328631032866,0.000628161000588377,0.999977509840191
"LOC103816761",-1.67009091797896,3.52966866609137,11.0062319620146,0.00129933389795511,0.999977509840191
"LOC103822992",1.24345047093423,3.68689906022927,10.9734597052322,0.00132000819324473,0.999977509840191
"LOC103826340",1.16053711365108,3.54715085906345,10.585680354788,0.00159208687742113,0.999977509840191
"LOC103820477",2.04632554826967,2.68034899664433,10.5058314120075,0.00165496294636865,0.999977509840191
"LOC103819792",2.64433724756495,1.7186529531717,12.314915946955,0.0019741185829897,0.999977509840191
"LOC103820869",-2.63486023054617,2.47042132642992,9.85990591777386,0.00226814098194935,0.999977509840191
"LOC103815742",3.5789088844715,4.93774457422696,9.5651616629388,0.0026219440585722,0.999977509840191
"LOC103820011",2.82984425866262,3.60019959201647,9.03715831397085,0.00340570716202478,0.999977509840191
"LOC127060989",-3.53148141428565,3.24328557910419,8.93336420516856,0.00358642419290101,0.999977509840191
"LOC127060617",1.8913023017933,4.91656276345653,8.53953948188032,0.004367687623813,0.999977509840191
"LOC127060703",-3.34172504422559,1.74496577429035,8.35700586691484,0.00478781598504571,0.999977509840191
"LOC103827052",1.59213725240169,3.44760111902616,8.34561623072953,0.00481538335625486,0.999977509840191
"LOC103825557",-0.956904867030038,9.63837303890528,8.12586056722516,0.00538081745936555,0.999977509840191
"LOC103816873",-2.4477254152635,2.46078629332749,7.97473980620834,0.00580935506170667,0.999977509840191
"LOC103822412",-1.38813225074075,2.44329277472016,13.150466512769,0.00611294374489629,0.999977509840191
"LOC103821174",3.48771617198065,3.69735818363557,7.79968944383151,0.00635044702081668,0.999977509840191
"LOC127060960",-1.2091712469191,2.66701535519193,8.77957573656521,0.00687146757976418,0.999977509840191
"LOC103820174",-1.07310178715785,2.98686062608965,7.64179359500001,0.00688351008598509,0.999977509840191
"LOC127060513",-2.06239433330915,6.03167781044685,7.53056588633518,0.00728683066490338,0.999977509840191
"LOC103823467",-0.482639627869908,5.23016132030745,7.34572696004473,0.00801240244579158,0.999977509840191
"LOC108962968",-0.934469502950868,3.19528050099845,7.31784573887373,0.00812821726786368,0.999977509840191
"LOC103815552",-2.20452244514254,2.32976041843942,7.3018805090457,0.00819531904329513,0.999977509840191
"LOC103819969",-0.578638906505601,5.35721173790748,7.28215345942542,0.00827903013802309,0.999977509840191
