"","logFC","logCPM","F","PValue","FDR"
"LOC103818267",0.657837403639367,5.40697928825002,16.5755192397202,9.84814218025864e-05,0.505098448485074
"LOC103813336",-2.18307489951575,1.88849202702813,15.7033919300233,0.000145702188604888,0.505098448485074
"LOC103823958",-1.21235095441757,2.95297744497958,14.5816405421778,0.000242655452676178,0.505098448485074
"RTRAF",1.67374755248607,7.11183194971209,13.9457853997196,0.000325072848738667,0.505098448485074
"LOC103819798",1.81232296527684,2.68950162229441,13.8852832072558,0.000334286883340575,0.505098448485074
"LOC103826311",1.93063902544463,2.45583106756669,13.5713252906974,0.000386604246831285,0.505098448485074
"LOC103818060",3.24344638485227,5.8210654533903,12.6409203065924,0.00059702643061781,0.519797088712737
"LOC127060513",-1.878122433782,6.03167781044685,12.6281838168173,0.000600612030911122,0.519797088712737
"LOC103818732",-0.676608103425132,5.87769641044252,12.0479895208677,0.00078987225603743,0.519797088712737
"LOC103818075",0.555408309429206,5.17859795218329,11.9970460260002,0.000809188854371144,0.519797088712737
"LOC103826002",0.788314615167463,5.00573420459395,11.9166859575773,0.000840655102965672,0.519797088712737
"LOC103815552",-1.95627185007805,2.32976041843942,11.7513713348231,0.00090941600516137,0.519797088712737
"LOC103818618",-1.26662980522288,2.126318383613,11.7676414879145,0.000932496173247411,0.519797088712737
"LOC103814970",0.372490702089647,5.09867109254358,13.2138696101424,0.00112161139008676,0.519797088712737
"LOC108962424",4.9466315424517,1.74078916161019,11.29784330064,0.00112945497660843,0.519797088712737
"LOC127060986",-0.867596629462007,6.42385397995142,11.2918966443995,0.00113267972187408,0.519797088712737
"LOC103815742",3.14818718110546,4.93774457422696,11.2629234962003,0.00114852768371831,0.519797088712737
"LOC103821174",3.46835580747975,3.69735818363557,11.145688329872,0.00121502652946621,0.519797088712737
"LOC103816082",-0.54419923507312,4.33851608138041,10.9459542155959,0.00133762195713245,0.519797088712737
"LOC127060612",-0.681349031067113,3.69980676787331,10.8959181705131,0.0014500637830228,0.519797088712737
"LOC103821938",-0.761524941374944,4.71312514690461,10.6179359317434,0.00156739216518864,0.519797088712737
"LOC127060703",-2.35020063796297,1.74496577429035,10.6086816353353,0.00157443646878709,0.519797088712737
"LOC127060424",-0.749099324434949,7.30604573273677,10.5406856334178,0.00162720776046678,0.519797088712737
"LOC127060906",0.978026777829618,3.569165814105,10.5109568972118,0.00165085093198328,0.519797088712737
"LOC103820525",3.20899867748194,4.45179109415477,10.5023926677068,0.00165772767161863,0.519797088712737
"LOC103820901",-1.83060424936841,2.63266768908385,10.3561564011602,0.00177982809631302,0.536618171038374
"LOC103813055",1.77939080944184,3.04553534380398,9.96864125639949,0.00215042794043226,0.575997159512746
"LOC103817526",-2.66758462859367,3.45052575498846,9.82909663134508,0.00230269139407733,0.575997159512746
"LOC103826417",-0.57498831775039,4.0569887470318,9.75743124143668,0.00238518140928797,0.575997159512746
"LOC103815780",-0.948546138701332,4.45402317450224,9.75296326633875,0.00239042441512712,0.575997159512746
"LOC103815935",-0.676382325897938,8.98356287798069,9.59719739178275,0.0025808670785786,0.575997159512746
"LOC103824282",3.16924834366019,8.04555356655833,9.55687216941345,0.00263268284456931,0.575997159512746
"LOC103823467",-0.389700211899909,5.23016132030745,9.40342285664644,0.00283990946661221,0.575997159512746
"RMC1",0.402088313638082,5.50539236519485,9.3899105184804,0.00285894845010412,0.575997159512746
"LOC103814742",-0.768255035212842,11.4381733135671,9.38933407116114,0.00285976360186232,0.575997159512746
"LOC103813361",-1.73609540350482,2.20108665900167,9.34628046183125,0.00292133089348004,0.575997159512746
"LOC103813851",0.796552140838938,3.75614717119265,9.27269734686663,0.00302975326088241,0.575997159512746
"LOC103822338",-0.517476907122676,4.77748342746415,9.26998943412732,0.00303382189508228,0.575997159512746
"LOC103825454",-0.954718326157397,3.71710022034924,9.23460798001467,0.00308750554283918,0.575997159512746
"LOC103824466",-0.469961622604789,18.4548876802654,9.18585553510982,0.00316309362840813,0.575997159512746
"LOC108963055",-0.385459967753484,5.51853416831283,9.16116140573494,0.00320210949744682,0.575997159512746
"LOC103813613",-0.490024594394403,4.65656436594879,8.97140308203462,0.00351906734174641,0.575997159512746
"LOC103824281",2.42295659721734,3.18055850247391,8.89917938763642,0.00364809671971046,0.575997159512746
"LOC103823677",2.26469600310422,2.00404235729884,8.8768806273222,0.00368891731482502,0.575997159512746
"LOC103819858",1.2957272349041,2.23440929672767,10.0991271066682,0.00380691549064196,0.575997159512746
"LOC103821358",0.790422654971358,4.29267822582425,8.80687115520667,0.0038201834387472,0.575997159512746
"LOC103818184",-0.295998003468347,6.20736819076046,8.75531072975586,0.00391994894039755,0.575997159512746
"LOC103824664",-0.550259770236161,4.12172269591125,8.72572651135293,0.00397840848284793,0.575997159512746
"LOC103812486",3.69753815477537,5.9533366213633,8.69470351206266,0.0040406831975294,0.575997159512746
"LOC103812708",-1.02567040113416,3.07061566983649,8.69136960864769,0.00404743548841488,0.575997159512746
"LOC103812360",-0.661334772860734,6.33513228376064,8.66211573399631,0.00410718888754767,0.575997159512746
"LOC103823426",4.11648047991399,3.65462366954024,8.57727849031454,0.00428570644723192,0.575997159512746
"LOC103819969",-0.446438396287933,5.35721173790748,8.55869363798342,0.00432587724204235,0.575997159512746
"LOC115484004",0.929881735697154,3.81700134874284,8.45567181844779,0.00455575544711841,0.575997159512746
"LOC103821578",-0.619584392380017,9.74933285936594,8.44674524575104,0.00457626173030701,0.575997159512746
"LOC127060463",-1.16941152548101,2.18957447810696,20.525402690377,0.004581649111448,0.575997159512746
"LOC103818631",0.291149741417296,5.85385296860381,8.41765430933473,0.00464375743701673,0.575997159512746
"LOC103819361",-0.688891600669505,3.82840295337386,8.40963261105391,0.0046625502658923,0.575997159512746
"LOC103816365",-1.68568833243131,2.6963656224642,8.40115307711765,0.0046825015531186,0.575997159512746
"LOC103820504",2.00196172157249,4.58492261707639,8.3874317508656,0.00471497408893702,0.575997159512746
"LOC103814253",2.16221970713807,3.77643300750632,8.35934580981762,0.00478217272898516,0.575997159512746
"LOC103815776",-0.865794376663844,10.3627635403128,8.3485369230997,0.00480829846309151,0.575997159512746
"LOC115485326",0.359726850369871,5.89991116599064,8.33274410114848,0.00484673743359994,0.575997159512746
"LOC103826831",0.714533274990012,3.27802642530914,8.7679476105511,0.00487779222679661,0.575997159512746
"LOC103824093",-1.00659464060383,10.2391919431878,8.31891944647059,0.00488064789108454,0.575997159512746
"LOC115485390",-0.48449202230562,6.64656901249821,8.2313815399444,0.00510116801783137,0.575997159512746
"LOC103819792",1.91567348491855,1.7186529531717,10.0810149417163,0.00512003188608948,0.575997159512746
"LOC115484579",-1.44212266391738,5.32054774880149,8.12261176428427,0.00538967594667124,0.575997159512746
"LOC103815688",1.02381088250967,2.88522137659596,8.10567363673156,0.00543610711925214,0.575997159512746
"LOC127059128",-1.03608719909581,4.4775155488828,8.10444385197374,0.0054394943769481,0.575997159512746
"LOC103824300",1.60410441923648,2.36721279227106,8.05414744956948,0.00557992457690943,0.575997159512746
"LOC103813359",-1.11539994605614,3.97452735672877,8.04692889156615,0.00560038625119103,0.575997159512746
"LOC103817308",-0.68967975554791,7.69353129259499,8.035431497639,0.0056331378675854,0.575997159512746
"LOC103816760",-0.507414976656006,4.5984127827558,8.01424878192617,0.00569400155429005,0.575997159512746
"LOC103824530",-0.851964505193328,10.7303685403325,7.94126228290834,0.00590899963183992,0.575997159512746
"LOC103824984",-0.907630651920693,4.1669904601838,7.92806152980313,0.00594877821358222,0.575997159512746
"LOC103817026",0.290424539129219,6.19607111861323,7.92733491018969,0.00595097584678229,0.575997159512746
"LOC115484503",-0.780764658951243,8.89860821580346,7.88810740276468,0.00607087990547383,0.575997159512746
"LOC108961868",1.88905359943013,2.64550789996482,7.8784211290252,0.00610087227706154,0.575997159512746
"LOC103812931",0.44671451235174,4.27662822074391,8.64452810579958,0.00617721977375783,0.575997159512746
"LOC103815251",1.04894561787649,2.70115788759534,7.8414933106013,0.0062166358457532,0.575997159512746
"LOC103823167",-0.638359355057908,6.11064420955376,7.8202473979296,0.00628427202284467,0.575997159512746
"LOC103821570",-0.646619061897899,3.42227302288329,7.78998292406536,0.00638194335529418,0.575997159512746
