"","logFC","logCPM","F","PValue","FDR"
"LOC103824466",-0.638495514670601,18.4548876802654,8.92166369821551,0.00360741039530643,0.999999605773421
"LOC103817749",-0.501551957733362,17.2313298288935,8.21300798817495,0.00514875333020036,0.999999605773421
"LOC127059975",-5.39819047724335,1.45757764383071,6.85861878471068,0.0104545757857393,0.999999605773421
"LOC103817748",-0.518825449895233,17.9601812030908,6.10470931049738,0.0153141453804433,0.999999605773421
"LOC127060612",-0.693170730876557,3.69980676787331,6.07734868043367,0.0176391395727809,0.999999605773421
"LOC103817783",-0.539929370882277,7.13522941572048,5.71239165024882,0.0188737813779624,0.999999605773421
"LOC115485390",-0.544465118123341,6.64656901249821,5.49574751152982,0.0212033918170062,0.999999605773421
"LOC103821573",-0.240847451970259,6.83164844633707,4.94259939853127,0.0286388107634024,0.999999605773421
"LOC103820039",-0.322084148633693,7.05758239120086,4.93480855666627,0.0287613983083843,0.999999605773421
"LOC103818267",0.499419484052933,5.40697928825002,4.91892352545172,0.0290130728037661,0.999999605773421
"LOC115485503",-1.82579360273371,1.69309531158929,4.7606025892237,0.031652971853639,0.999999605773421
"LOC103812360",-0.66948542083547,6.33513228376064,4.73466328439865,0.0321092655519236,0.999999605773421
"LOC127060137",3.16799394509805,1.42185360919337,4.70721095026758,0.0325997945371326,0.999999605773421
"LOC127060986",-0.761446207201623,6.42385397995142,4.62881993673398,0.0340448717047526,0.999999605773421
"LOC108963801",-7.59065974723589,1.60890927846594,4.71601210426554,0.0349112669487148,0.999999605773421
"LOC103812462",-0.601641364940367,3.95329314135718,4.43294140517226,0.0379621369666607,0.999999605773421
"LOC103813288",-0.439130078768759,4.65293871412466,5.39452445537137,0.0384357660150126,0.999999605773421
"LOC103821558",-0.436896883875535,4.70514511799598,4.38273025061269,0.039041807998327,0.999999605773421
"LOC127060703",-3.03273956279277,1.74496577429035,4.32445230376787,0.0403361783691827,0.999999605773421
"LOC115484004",0.931084099853783,3.81700134874284,4.30424484649026,0.0407956293726581,0.999999605773421
"LOC103826835",1.03104999835913,2.47002821498516,5.74595285277635,0.0415515513580526,0.999999605773421
"LOC103824064",-0.323884200698324,6.17062290583917,4.22002491976825,0.0427716285605447,0.999999605773421
"LOC103818060",2.46584887828132,5.8210654533903,4.09573291941793,0.0458771965847925,0.999999605773421
"LOC103821840",-0.496150141280692,8.12532234438324,4.08587635145126,0.0461336085829967,0.999999605773421
"LOC103823857",-0.77248594854872,7.88824581162218,4.07716746847891,0.0463614431013727,0.999999605773421
"LOC103818729",-0.536514136892917,6.82825532312699,4.02822923802001,0.047664373919939,0.999999605773421
"LOC103822892",0.805425311527277,3.97118063316658,4.01511411964324,0.0480201880729832,0.999999605773421
"LOC103822821",-0.235977604801766,5.95106900425342,3.89409836202037,0.0514412748769422,0.999999605773421
"LOC103816488",-0.550254820925427,5.26820305478903,3.8585519944135,0.0524952831945332,0.999999605773421
"LOC103815359",0.543001349932237,4.25553284642266,3.8532033753962,0.0526558802950234,0.999999605773421
"ATP5PD",-0.375009281410502,6.35852581140136,3.84057961759195,0.0530370214974818,0.999999605773421
"LOC103826295",-0.409395264895558,4.81450079658147,3.83171236599939,0.0533065207684649,0.999999605773421
"LOC103823304",-0.480020582810547,6.52491443691825,3.79568871115153,0.0544166431531754,0.999999605773421
"LOC127059466",-0.670962160335019,3.77872276551134,3.78460987270725,0.0547630438818141,0.999999605773421
"LOC103814825",0.359519259636317,4.87283368009108,3.87332810863416,0.0550421504086276,0.999999605773421
"LOC115484898",-1.17830317302763,1.96547673570163,3.97088531734133,0.0551666552544315,0.999999605773421
"LOC103824121",-0.311421687989999,7.96334073610058,3.73288449668114,0.0564121048410512,0.999999605773421
"LOC115485566",4.44904531571251,1.19193788630579,3.8418900621531,0.0565682256529177,0.999999605773421
"LOC103814970",0.313902374073671,5.09867109254358,4.89880048644508,0.0568888259562296,0.999999605773421
"LOC115484211",-2.63141493208462,1.13450438391866,3.74143274274075,0.0570377527217795,0.999999605773421
"LOC127060339",-0.664953562734214,6.12788357994532,3.70002864779162,0.0574873626621711,0.999999605773421
"LOC103822338",-0.450705286276813,4.77748342746415,3.67924652073477,0.0581789031541591,0.999999605773421
"LOC103823377",-0.766536852563648,2.86337263425556,6.96681541466864,0.0585372102682127,0.999999605773421
"LOC103826417",-0.486101747762728,4.0569887470318,3.66453639015406,0.0586738237344138,0.999999605773421
"LOC103826057",0.377484481981111,7.40755127010045,3.6590415595268,0.0588598623023624,0.999999605773421
"LOC103814002",-0.53782456457858,3.61098384761922,3.65441065725058,0.0590171459757613,0.999999605773421
"LOC103821442",-0.781883862461266,2.79511083241738,8.55864086704132,0.0621575810531045,0.999999605773421
"LOC127059643",-0.289948275747187,7.33802493116472,3.47373068221824,0.0655234249014399,0.999999605773421
"LOC103824398",-0.383217589956893,6.28789535632417,3.42110528936798,0.0675617698352449,0.999999605773421
"LOC115485017",2.25604306321909,2.92424592377238,3.36172581453283,0.0699448329393414,0.999999605773421
"LOC115485026",2.25604306321909,2.92424592377238,3.36172581453283,0.0699448329393414,0.999999605773421
"LOC115485031",2.25604306321909,2.92424592377238,3.36172581453283,0.0699448329393414,0.999999605773421
"LOC103817042",-0.423202372653786,4.40997687072956,3.3101151877144,0.0720905259058135,0.999999605773421
"LOC103815235",0.261878458335653,5.73255268720977,3.29820095251887,0.0725959795257599,0.999999605773421
"LOC103824247",0.351608219598139,7.56001322027042,3.28907319881683,0.0729858325200211,0.999999605773421
"LOC103817026",0.257561455515594,6.19607111861323,3.27668346328192,0.0735186647333294,0.999999605773421
"LOC103817355",-0.372187683857645,7.09481097318608,3.27153048849702,0.0737415214409306,0.999999605773421
"LOC103814742",-0.621527163290424,11.4381733135671,3.24471116790931,0.074913374903599,0.999999605773421
"LOC103817640",0.213020427709368,6.50741304362279,3.23540904336194,0.0753245616715353,0.999999605773421
"LOC103817308",-0.601087826661031,7.69353129259499,3.22579264357238,0.0757522333653554,0.999999605773421
"LOC127060270",2.20965916798663,1.37686585205654,3.2181916843902,0.0760921491887968,0.999999605773421
"LOC127060041",-1.4923427723679,1.55910195758864,3.56694709464784,0.0771510378825782,0.999999605773421
"LOC103813265",0.471894671714013,5.61803879992474,3.19052983562082,0.0773433349464359,0.999999605773421
"LOC103822174",-0.397100182502242,6.3521463712048,3.14550760914166,0.0794281448908978,0.999999605773421
"LOC103824906",-0.568429716997679,6.3069870728985,3.13960285047049,0.0797061045262226,0.999999605773421
"LOC108963993",-0.614212396357027,4.95269042330506,3.13513023762889,0.079917356648813,0.999999605773421
"LOC103818389",-0.592884771228605,6.64433837643191,3.12893512693199,0.0802109801863948,0.999999605773421
"LOC103815432",-0.298109300074771,5.15069085464302,4.09588968395043,0.0806465589209456,0.999999605773421
"LOC103813613",-0.399218852567905,4.65656436594879,3.112075179908,0.0810160773920789,0.999999605773421
"LOC103818075",0.390939407965255,5.17859795218329,3.09593825370991,0.0817949515248364,0.999999605773421
"LOC103826500",-0.430813999906738,4.83869178601024,3.07563357733608,0.0827866786094325,0.999999605773421
"LOC103816986",-0.357309720838916,10.3847007978462,3.06216495793343,0.0834517923645078,0.999999605773421
"LOC103824835",-0.582109915545731,8.22879195051873,3.02789542155966,0.0851707170349169,0.999999605773421
"LOC103824655",-0.676891792248905,3.06357694834435,3.01771333030685,0.0856889087525457,0.999999605773421
"LOC103818040",-0.332329674099992,7.66165041343376,2.98793865041584,0.0872242124242001,0.999999605773421
"LOC103819361",-0.573404884376608,3.82840295337386,2.97053122000483,0.0881358144704946,0.999999605773421
"RTRAF",1.03706684313141,7.11183194971209,2.96232325051493,0.0885692888709259,0.999999605773421
"LOC103827112",-0.299658116237561,6.42268598335988,2.95741006667679,0.0888298840838397,0.999999605773421
"LOC103821839",-0.379921608059052,4.41232535926068,5.03629684403057,0.0906635321952041,0.999999605773421
"LOC103813968",-0.516426414618797,4.95615156676125,2.91913714206416,0.0908890490038905,0.999999605773421
"ATP5PF",-0.342598280682903,7.70457418509157,2.91237375970233,0.0912583769568355,0.999999605773421
"C2H6orf62",0.29645345570171,6.27283449469684,2.90415750513887,0.0917092711373078,0.999999605773421
"LOC103814342",-0.551097752690708,8.39398173775637,2.89265092538209,0.0923448710027435,0.999999605773421
"LOC103821578",-0.49710735151873,9.74933285936594,2.86745761587681,0.0937535505746305,0.999999605773421
"LOC103813620",-0.291043648513781,6.8444970966882,2.86532936681282,0.0938736343218907,0.999999605773421
"LOC103812791",-0.298901161213579,7.56369695384398,2.86089476946306,0.0941243973234354,0.999999605773421
"LOC103822168",-0.347842601727775,5.1932346261182,2.83799975113059,0.0954308788704111,0.999999605773421
"LOC115485016",2.11497772427667,2.91498515287453,2.82364232879749,0.0962603981594037,0.999999605773421
"LOC115485033",2.11497772427667,2.91498515287453,2.82364232879749,0.0962603981594037,0.999999605773421
"LOC103823502",0.411391443773119,4.51840601911538,2.82005471746468,0.0964689211710403,0.999999605773421
"LOC115484579",-1.1340314692188,5.32054774880149,2.80618054012846,0.0972800505845987,0.999999605773421
"LOC103821896",-0.250841814359191,7.08962078744069,2.80211417341204,0.0975192126195337,0.999999605773421
"LOC108962647",-0.313117260824808,5.03111283206939,2.80038709746775,0.0976209870200204,0.999999605773421
"LOC103827170",0.481749290201462,4.36315628334058,2.77309806974312,0.0992448177575191,0.999999605773421
"LOC103819498",-0.727181005686089,7.81292873531726,2.76112097329046,0.0999669514335085,0.999999605773421
"LOC103819196",-0.258794982584533,8.50717362917202,2.75248301548665,0.100491376827273,0.999999605773421
"ATP5MF",-0.46346506819224,7.23487811297245,2.74627544422662,0.100870134668535,0.999999605773421
"LOC103813651",0.237906424537653,6.68507392866982,2.74584035790408,0.100896741027473,0.999999605773421
"LOC103822053",-0.318844728392119,6.99260141191308,2.74128295708436,0.101175903501943,0.999999605773421
"LOC103817602",-1.51290522139429,1.85126321490849,2.73129967798264,0.101790428931727,0.999999605773421
"LOC127059106",-0.427415085501928,5.80438710861183,2.72685886520295,0.102065116507938,0.999999605773421
"LOC103822045",0.614740788233369,3.40875596389322,2.72454030129597,0.102208858991232,0.999999605773421
"LOC127060727",0.443032677449285,4.83029172762612,2.71383229951041,0.102875640913073,0.999999605773421
"LOC103815780",-0.681299634558888,4.45402317450224,2.71293885722251,0.102931493259662,0.999999605773421
"LOC103813478",-0.36271830722832,5.73157297109068,2.70816279758144,0.103230634533404,0.999999605773421
"LOC127060866",0.523542451574682,4.33631288662887,2.70205300724192,0.103614722088566,0.999999605773421
"LOC108961180",-0.442698639892273,3.80934489768942,3.44040275644251,0.104106766831929,0.999999605773421
