"","logFC","logCPM","F","PValue","FDR"
"LOC103816082",-0.613836309355657,4.33851608138041,27.1945445600376,1.11765763870081e-06,0.00749171607711186
"LOC103819798",1.77085852246663,2.68950162229441,25.8597592723935,1.91139586098019e-06,0.00749171607711186
"RTRAF",1.54424783919566,7.11183194971209,23.9311102512935,4.20212765227691e-06,0.00814633812785035
"LOC103818075",0.553613614182727,5.17859795218329,23.8844102509006,4.2838541895171e-06,0.00814633812785035
"LOC103821938",-0.80150725395625,4.71312514690461,23.4175988600985,5.19603146310138e-06,0.00814633812785035
"LOC103818060",2.91160581263566,5.8210654533903,21.7115039150843,1.06047474848736e-05,0.0117659746379028
"LOC127060513",-1.72089172778984,6.03167781044685,21.5238034107905,1.14795001267183e-05,0.0117659746379028
"LOC103818267",0.527191238318553,5.40697928825002,21.0224796352116,1.41969886731965e-05,0.0117659746379028
"LOC103826311",1.75569559931468,2.45583106756669,20.6356145371146,1.67393775802582e-05,0.0117659746379028
"LOC103815552",-1.83213323721694,2.32976041843942,20.4487759472653,1.81299997464277e-05,0.0117659746379028
"LOC103812708",-1.08495429320298,3.07061566983649,20.2918453585796,1.93893097717224e-05,0.0117659746379028
"LOC103823958",-0.998523912546157,2.95297744497958,20.2198788697804,1.99964740909017e-05,0.0117659746379028
"LOC103815780",-0.959607062974393,4.45402317450224,20.0085759405288,2.18943391034178e-05,0.0117659746379028
"LOC103819581",0.517211566163338,4.1678966265504,20.9513861371126,2.35226613190586e-05,0.0117659746379028
"LOC103821358",0.843037137689128,4.29267822582425,19.8085876771085,2.38608130876753e-05,0.0117659746379028
"LOC103826417",-0.5843201471869,4.0569887470318,19.7936035865992,2.40152563090247e-05,0.0117659746379028
"LOC103823467",-0.399201445471587,5.23016132030745,19.6317949880291,2.57498304448254e-05,0.0118737012268815
"LOC103820596",0.480713923048632,7.09915667342496,19.1509809543242,3.17023938159254e-05,0.0131936526962506
"LOC103818618",-1.18413987890455,2.126318383613,18.9821907212279,3.41124297726657e-05,0.0131936526962506
"LOC103815742",2.85085869105301,4.93774457422696,18.9678951756586,3.43249907098224e-05,0.0131936526962506
"LOC103821174",3.10493768976662,3.69735818363557,18.9005582246687,3.53446493967678e-05,0.0131936526962506
"LOC103815688",1.08659146588892,2.88522137659596,18.6637847371811,3.91834768783802e-05,0.0139617852386192
"LOC103819969",-0.463299649622173,5.35721173790748,18.2215388832335,4.75404406414496e-05,0.0162030223560141
"LOC103826002",0.68939628110582,5.00573420459395,17.9764160085054,5.29397889877711e-05,0.0172914585781307
"LOC103824771",0.668127135310599,4.5650162327574,17.3214607210596,7.06745332865707e-05,0.021667979062828
"LOC103823426",3.86804194807582,3.65462366954024,17.2836767480251,7.18672605732272e-05,0.021667979062828
"LOC103818732",-0.566682561184508,5.87769641044252,16.9328489847902,8.39790538102178e-05,0.0243819186228999
"LOC103812931",0.465773378220524,4.27662822074391,18.5222280871971,9.4273936634836e-05,0.0257604881918663
"LOC103816761",-1.00644189263884,3.52966866609137,16.6490619846381,9.52996756683407e-05,0.0257604881918663
"LOC127060974",-0.469395670843726,5.71246996003944,16.441892664942,0.000104544718876325,0.0265459592449554
"LOC127060349",0.794896071391356,2.98489776046072,17.2405178483049,0.000104978279958364,0.0265459592449554
"LOC103819642",-1.23353263598918,3.7078531959487,16.2933789441745,0.00011173513311775,0.0273716158909387
"LOC103813336",-1.60219401795235,1.88849202702813,15.9558046534535,0.000130030675846985,0.0305675216615284
"LOC127060906",0.860287230780308,3.569165814105,15.8652763332828,0.000135441842838618,0.0305675216615284
"LOC103820525",2.75126278758626,4.45179109415477,15.8483406171557,0.000136479558381617,0.0305675216615284
