"","logFC","logCPM","F","PValue","FDR"
"LOC103819802",-4.81345639819263,1.54284190333011,16.2354714800609,0.000114674668848702,0.898934729104978
"LOC103819803",-2.02827202803269,1.59207903134857,10.7331010533787,0.00148240312284314,1
"LOC103818919",0.59858423154677,6.48750005893304,10.2741901111057,0.00185229438216584,1
"LOC103818811",-0.641336334287645,5.16897840518214,10.2504734033181,0.00187382608690635,1
"LOC103818123",-2.8743962988143,1.21029143467872,9.80251141479844,0.0023329422899844,1
"LOC103821514",-1.39474097484013,5.54519220362302,9.59816300257103,0.00257963934029289,1
"LOC103823741",-1.98531617272875,2.14358744229969,9.4483535284412,0.00277754037421344,1
"LOC103816513",-0.851988641241899,4.57900915888763,9.37968585500891,0.0028734428842895,1
"LOC103819605",-0.403363998877161,4.81417188946052,10.9486450754249,0.00320837013404458,1
"LOC115484692",-2.59164453666407,3.15558660862091,8.76845295706684,0.00389426587447088,1
"LOC103816398",-0.467291015859789,7.02133314061189,8.6975257431359,0.00403497635029213,1
"LOC103817232",-0.347904954165165,5.1688482870064,9.55513329130064,0.00442025665858371,1
"LOC103821951",0.524384948339006,5.23883826656167,8.36727917417234,0.00476309112879069,1
"LOC103824163",1.07776724021928,3.36307894751345,8.16256889371377,0.00528176990494206,1
"LOC127059543",0.971795842540797,2.6230225897077,9.40908194031778,0.00530943988828251,1
"LOC127060352",1.05291134849875,3.44350499125715,8.12391658107579,0.00538611629264657,1
"LOC103825291",-2.2499379231947,1.96025147370447,8.08547895878944,0.00549200896115528,1
"LOC127059643",-0.332247213584303,7.33802493116472,7.94140046730299,0.00590858469879192,1
"LOC103812742",-0.26292113556741,6.42298798808902,7.81962419938286,0.00628626748712395,1
"LOC103815266",0.641279425139321,6.17616185042018,7.70387251578995,0.0066685791865604,1
"LOC103815431",-0.319322224842965,5.28121242413692,7.76170738208902,0.00750007581571722,1
"LOC103819476",-0.409522100388766,5.09331194280512,7.41465637886199,0.00773340014507919,1
"LOC103822561",0.946064836192016,3.91871257051848,7.36217445658737,0.00794488953651606,1
"LOC103814579",1.59408179226208,3.2354086381277,7.25048984078564,0.00841526234366413,1
"LOC103813240",1.12379391009527,2.70877772311135,7.10006808446692,0.00909512810160383,1
"LOC103818696",0.479923585228563,4.52929587117656,7.0896441255312,0.00914431582643513,1
"LOC103820550",-0.374285657717396,5.81822245769832,7.06767329709125,0.00924890122610957,1
"LOC103822606",-0.439224057128741,5.35339044766979,7.03687155488569,0.00939762966981935,1
"LOC103816882",0.733375824395762,3.69476447578849,6.96400862558393,0.0097594768172098,1
"LOC103815959",0.82893390080924,3.42485715807887,6.96049031974696,0.00977731311644883,1
"LOC103821838",-0.773454946396107,2.85470261890493,9.29390630255314,0.00991379090666801,1
"LOC103816081",1.1738452626437,4.43919133329299,6.87978519552368,0.0101959370749692,1
"LOC103823628",0.473191894099388,7.63565604414922,6.81075958272093,0.0105688263597834,1
"LOC103812828",-0.562939023805313,3.61131647893553,6.66556430802403,0.0114004774377155,1
"PLPBP",-0.274049964166345,5.48958599205285,6.73705589222758,0.0114948365922728,1
"LOC103826757",0.452536117774352,4.98950404071589,6.64833259696157,0.0115036239666583,1
"LOC103821410",0.853222033167499,2.65853893639413,6.50862579077049,0.0123768006517886,1
"LOC127060486",1.27930396844258,2.42408094017029,6.29431352626865,0.0138535743260685,1
"LOC103822424",-0.397730432952254,9.84752362410878,6.19251606885673,0.0146186412331971,1
"LOC127060487",-0.836667376232085,2.60069875547671,8.2874264495898,0.0146836403330091,1
"LOC103826697",0.775512051008668,3.45541873812549,6.08867355421698,0.0154448670238645,1
"LOC103819056",-1.66604086747345,3.4951346553616,6.0494163566437,0.0157698537833116,1
"LOC103816146",0.655913006100296,3.85587895214585,6.04288557401827,0.015824610775772,1
"LOC103824164",0.89392707447701,4.52897896308906,6.0152866793763,0.0160582254823583,1
"LOC103822348",-0.324282855608313,8.7667741487915,5.92513296936579,0.0168469092584723,1
"LOC103814814",-0.522898997921301,5.03030632262443,5.8554974477224,0.0174839041501914,1
"LOC127060940",1.0311394511787,4.20424141820049,5.82890047307393,0.0177338378596726,1
"LOC103826036",-1.24901921620406,4.14937423864356,5.8271333878012,0.0177505757896806,1
"LOC103821767",0.803593547249663,3.26416064480936,5.81620955117661,0.0178544163365242,1
"LOC103825173",-0.328024148068013,6.86489927020664,5.76025030683499,0.0183964666373542,1
"LOC103822821",-0.222931090282092,5.95106900425342,6.14903946867357,0.0186064813333419,1
"LOC103813245",-0.260917415194079,13.5129846906164,5.72014008400776,0.0187956275056558,1
"LOC103824616",0.489303246187422,3.95694573937876,5.70396115530457,0.0189592033391893,1
"LOC103822711",1.10805010085539,1.87995000189746,6.68226795418796,0.0192895736016616,1
"LOC103826109",-0.482032950917899,4.25557654521578,5.66592500062711,0.0193496941663332,1
"LOC103816800",-0.438526340607406,4.34504633129635,5.64218819724393,0.019597665725767,1
"LOC103822351",1.64405452016125,5.195729167935,5.55873408406298,0.0204963854313972,1
"LOC103823604",-0.296352934436508,5.7777572565442,5.54461161761458,0.0206527164375502,1
"LOC103816656",-0.335578222594042,7.12014765047501,5.53914711025801,0.0207135433711135,1
"LOC103813535",-1.09716482796598,2.0908980671724,5.50036115142621,0.0211507428166423,1
"LOC103823202",-0.258144589497859,6.16729093290317,5.4685524955457,0.0215165505919366,1
"LOC103820786",0.620535603826337,3.37725113196955,5.45602937642625,0.0216623942810378,1
"LOC103814724",-0.397174009373488,4.71450789059463,5.43280895937429,0.0219355834679779,1
