"","logFC","logCPM","F","PValue","FDR"
"LOC127060940",1.26343960023991,4.20424141820049,19.8912907204781,2.30265163386048e-05,0.0964891982798655
"LOC103816513",-0.832828201972842,4.57900915888763,18.9560689684009,3.45018615976273e-05,0.0964891982798655
"LOC103822821",-0.267645006606685,5.95106900425342,18.7999349570258,3.69265971220304e-05,0.0964891982798655
"LOC103819802",-3.79923352689676,1.54284190333011,17.7482614228233,5.8530944624714e-05,0.104565616899152
"LOC103823307",-0.737631878651338,7.32534588891335,17.008606265966,8.11972253600834e-05,0.104565616899152
"LOC103818740",-0.410658593614044,6.14280113202136,16.839678507773,8.75349578906646e-05,0.104565616899152
"LOC103820807",-0.704581458291833,3.28518331102968,25.7908271063503,0.000104382796152952,0.104565616899152
"LOC103826109",-0.562725271221528,4.25557654521578,15.8773702631055,0.000134705765370088,0.104565616899152
"LOC103822992",-0.730366573180379,3.68689906022927,15.8403093312993,0.000136974517263393,0.104565616899152
"LOC103814814",-0.589531047964465,5.03030632262443,15.6864366719548,0.000146822049612024,0.104565616899152
"LOC103821870",-0.48494503724121,4.13014077805202,15.7797929422908,0.000157300289187083,0.104565616899152
"LOC103821514",-1.21317137022965,5.54519220362302,15.4953774460677,0.000160069830691393,0.104565616899152
"LOC103823572",-0.342096846472654,6.22405570405123,15.0772404164784,0.000193522628965062,0.116694145265932
"LOC103813557",-0.504123078696306,4.13435242687569,14.8204348095489,0.000217554838533431,0.121815169947398
"LOC103819803",-1.58868902085013,1.59207903134857,13.6014161139268,0.000381243849618758,0.19413955482004
"LOC127059643",-0.295378320501303,7.33802493116472,13.3261199516258,0.000433282739301202,0.19413955482004
"LOC103812708",-0.896547427183101,3.07061566983649,13.3001531480072,0.000438554440417216,0.19413955482004
"LOC103818123",-2.31318246034686,1.21029143467872,13.1950491151558,0.000460575904107778,0.19413955482004
"LOC103821951",0.450174893837191,5.23883826656167,13.1491296322026,0.000470551287355627,0.19413955482004
"LOC103818919",0.461964929130975,6.48750005893304,13.0152240351311,0.000500929986744839,0.196339508304639
"LOC103823604",-0.309324151735293,5.7777572565442,12.7405921023721,0.000569717011360983,0.212667221526607
"LOC103816381",-0.311876490570041,5.70800244739882,12.1062864650301,0.000768349388675505,0.246086208202426
"LOC103815419",-0.341488520178881,5.2875109451651,12.0984037144148,0.000771223948471274,0.246086208202426
"LOC103815819",-0.893961132827134,2.66270746480802,11.9881960274811,0.0008125938973996,0.246086208202426
"LOC103813535",-1.11270180621931,2.0908980671724,11.9692146729965,0.000819946887133324,0.246086208202426
"LOC103824689",-1.95042638946131,1.26773238627797,15.6101963624724,0.000833438819442508,0.246086208202426
"LOC103813620",-0.306592621842232,6.8444970966882,11.8741966047421,0.000857799599437642,0.246086208202426
"LOC103826528",-1.89984273242003,1.50168012678454,11.7612985450915,0.000905127658448217,0.246086208202426
"LOC103821543",-0.711140520628343,2.82987772078041,16.2189778372538,0.000912800442317838,0.246086208202426
"LOC103812828",-0.511589584942914,3.61131647893553,11.6779801432172,0.0009417765334957,0.246086208202426
"LOC103815266",0.536451760862485,6.17616185042018,11.4451643556225,0.00105251828076573,0.262232269623435
"LOC103819476",-0.349324601402423,5.09331194280512,11.4098140122234,0.00107047233421992,0.262232269623435
"LOC103816687",0.453943735188218,3.6694135967012,12.8432365267547,0.00124624908949958,0.296040806442037
