"","logFC","logCPM","F","PValue","FDR"
"LOC103812708",-0.99075086019304,3.07061566983649,33.1917750207157,1.08682422269878e-07,0.000851961508173576
"LOC103822821",-0.243610667291972,5.95106900425342,31.3506870011881,2.19310491020302e-07,0.000859587469554073
"RTRAF",1.18214247466348,7.11183194971209,29.5093787649662,4.47776768965193e-07,0.00113098937620181
"LOC103821870",-0.459501757241813,4.13014077805202,28.8622310246001,5.77109006864044e-07,0.00113098937620181
"LOC127059643",-0.292905764864953,7.33802493116472,26.5539571448233,1.44469914669945e-06,0.0022649993221954
"LOC103826311",1.31958846562701,2.45583106756669,26.0728751737698,1.75364420700667e-06,0.00229113615645422
"LOC103818267",0.399204337667044,5.40697928825002,24.7596633687444,2.9901707014702e-06,0.00278554109711192
"LOC103823572",-0.306927185286052,6.22405570405123,24.631749092127,3.15086835239688e-06,0.00278554109711192
"LOC103821938",-0.585314207140343,4.71312514690461,24.5954249682644,3.19809540426167e-06,0.00278554109711192
"LOC103818075",0.377774041706568,5.17859795218329,22.7237667191718,6.93452239479533e-06,0.00543597210528006
"LOC103818919",0.427063549498159,6.48750005893304,22.1543961179827,8.80126730174923e-06,0.0062721031253102
"LOC103820550",-0.314153186995897,5.81822245769832,21.183488504527,1.32589048819399e-05,0.008648972518173
"LOC103813557",-0.423569317897472,4.13435242687569,20.9625917729649,1.45630383061404e-05,0.008648972518173
"LOC103819798",1.04021525374838,2.68950162229441,20.7349982273772,1.60447142864173e-05,0.008648972518173
"LOC108961208",1.45800116645434,2.16800156163705,20.662298529966,1.65498900079851e-05,0.008648972518173
"LOC103818740",-0.313701193265831,6.14280113202136,19.9534110776989,2.24195698965505e-05,0.0106573307105702
"LOC103826834",1.31138110294675,3.32325753689374,19.8244655876984,2.36982682294275e-05,0.0106573307105702
"PHB1",-0.383858244098934,5.16617144519567,19.7499108570039,2.44714826878764e-05,0.0106573307105702
"LOC103826003",0.679659905302743,3.4099785865587,19.3313721465646,2.93190867937496e-05,0.0120359111336484
"LOC103815780",-0.668836008229755,4.45402317450224,19.1141896363716,3.22123871573932e-05,0.0120359111336484
"LOC103826002",0.492405973211477,5.00573420459395,19.1119887855817,3.22431603274162e-05,0.0120359111336484
"LOC103822338",-0.374265081349281,4.77748342746415,18.6406075524072,3.95815430260842e-05,0.01366077483332
"LOC103816082",-0.362689171596293,4.33851608138041,18.6118419897436,4.00813651188111e-05,0.01366077483332
"LOC103826417",-0.39449757288296,4.0569887470318,18.4954800201903,4.21702292826931e-05,0.0137738511394596
"LOC103813472",0.332059622847462,4.59449813237719,18.3694158503929,4.45596630964924e-05,0.0139721279605362
"LOC103818618",-0.905147373297053,2.126318383613,18.1765486557606,4.84873294363671e-05,0.0146189298250647
"LOC103816513",-0.567669729508845,4.57900915888763,18.0881021066015,5.04056496469845e-05,0.0146344402808412
"LOC103815402",-1.34753546383303,1.76902902186068,17.8793167103256,5.52490910489296e-05,0.0154677723118771
"LOC103816882",0.589879473045262,3.69476447578849,17.7435045845886,5.86537589060106e-05,0.0157734918752255
"LOC103818060",1.69144250292569,5.8210654533903,17.6176800354329,6.20002042739815e-05,0.0157734918752255
"LOC103818696",0.374910431735068,4.52929587117656,17.5630970813191,6.3512252107922e-05,0.0157734918752255
"LOC103817684",-0.640012014329505,6.26138627267074,17.5320266461356,6.43898124770017e-05,0.0157734918752255
"LOC103813613",-0.347070231749709,4.65656436594879,17.4575385254129,6.65447161591293e-05,0.0158073948476186
"LOC103814116",-0.312166007817617,5.308247987111,17.251440124819,7.29012018607386e-05,0.0168080153348921
"LOC103823730",0.247562550680185,6.65086855717416,17.1769498174406,7.53491830289575e-05,0.0168760641646856
"LOC127060986",-0.535110248820425,6.42385397995142,16.9705731333496,8.25817871233184e-05,0.0179821841461026
"LOC103819361",-0.513814058774333,3.82840295337386,16.8126153655967,8.8596542387132e-05,0.0186894209804998
