"gene","gene_name","logFC","logCPM","F","PValue","FDR","description","entrezgene_id"
"103826733","CPT1A",-0.7820967510000709,4.102567245061836,67.42908691311311,7.227456300407466e-13,7.888045806264708e-9,"carnitine palmitoyltransferase 1A","103826733"
"103819802","PCTP",4.013414336065518,1.931023585119928,59.891416415403135,7.599550160683329e-12,3.088507988263742e-8,"phosphatidylcholine transfer protein","103819802"
"103822244","LOC103822244",-4.06043371597221,2.5031858270794287,59.54532361129137,8.489576658229088e-12,3.088507988263742e-8,"mas-related G-protein coupled receptor member H-like","103822244"
"103818123","FAM222A",3.0822375501588084,1.1039536919150528,47.073903416138734,5.473038752698224e-10,1.4933186236737106e-6,"family with sequence similarity 222 member A","103818123"
"103818339","RIMBP2",2.620075843607222,5.095329265350842,38.149993393041605,1.3628409690074494e-8,2.9748092671494607e-5,"RIMS binding protein 2","103818339"
"108963785","LOC108963785",2.83014697381001,-1.7990901638214543,36.06460079598242,2.982437861055209e-8,5.4250544692594255e-5,"uncharacterized LOC108963785","108963785"
"103826266","SLC39A8",2.1169631496657684,-0.06108947378350896,34.79980858006526,4.826220737608773e-8,6.516710825072117e-5,"solute carrier family 39 member 8","103826266"
"103820852","FBXO44",1.3473295162750967,3.056949331580618,34.643025259755326,5.124683493938237e-8,6.516710825072117e-5,"F-box only protein 44-like","103820852"
"103822461","GOLGB1",-0.5005856525875435,5.41509245641414,34.39549087277507,5.634797169150386e-8,6.516710825072117e-5,"golgin B1","103822461"
"127061188","LRRC61",1.7499640044138571,-0.5329528037545403,34.244573661913144,5.970964655554441e-8,6.516710825072117e-5,"leucine rich repeat containing 61","127061188"
"103818632","OSER1",-0.3899081485990003,7.107183870556876,33.53661460101035,7.843546956251641e-8,7.782224680048219e-5,"oxidative stress-responsive serine-rich protein 1","103818632"
"103820084","RFFL",0.5683065814460492,2.0133769713984906,27.82934653916337,7.508238770482641e-7,6.685081280866984e-4,"ring finger and FYVE like domain containing E3 ubiquitin protein ligase","103820084"
"103819814","TOB1",-0.7726369674651818,8.17815121868659,27.684503644088032,7.96280526399769e-7,6.685081280866984e-4,"transducer of ERBB2, 1","103819814"
"103822246","LOC103822246",-1.5921116152871815,1.1759682536261973,26.3362025610452,1.3812820701460113e-6,0.0010077287500811832,"proto-oncogene Mas-like","103822246"
"103824521","ATP6V1B2",0.281717152877838,7.745675470493239,26.305731232225533,1.3986919290737993e-6,0.0010077287500811832,"ATPase H+ transporting V1 subunit B2","103824521"
"103820754","PAXBP1",-0.2534975318966244,6.966374916874888,26.17274730144929,1.4773373649714983e-6,0.0010077287500811832,"PAX3 and PAX7 binding protein 1","103820754"
"103824448","CRIP2",-1.679592725199848,-0.5054844554021765,25.575471309752377,1.8903280908521825e-6,0.0012135906343271011,"cysteine rich protein 2","103824448"
"103814239","TANC1",0.7492163427750824,5.568332337920683,24.862794185976558,2.5412461604933104e-6,0.0015408422553124439,"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1","103814239"
"DOP1B","DOP1B",-0.768390966045002,4.072402029373689,24.349690083328177,3.1484341967169305e-06,0.0016805889518732467,"DOP1 leucine zipper like protein B","103815865"
"103823447","BMP2K",0.3866022787310575,5.848204908962648,24.25654103659859,3.2736653264081038e-6,0.0016805889518732467,"BMP2 inducible kinase","103823447"
"103823313","PGC",2.216183284666239,-1.3432113479246703,24.180405185358282,3.3797996307997303e-6,0.0016805889518732467,"progastricsin","103823313"
"103819970","GNA13",-0.15421539200694728,7.411660766166631,24.17486178242046,3.387663271139035e-6,0.0016805889518732467,"G protein subunit alpha 13","103819970"
"103812672","CAMP",-0.8523012017133089,0.8355061618055163,23.248602346701414,5.0036317142503375e-6,0.0023433336644776803,"cathelicidin antimicrobial peptide","103812672"
"103814454","KLHL38",1.5633062880836632,0.7164237654636754,23.179066685438322,5.153015205008643e-6,0.0023433336644776803,"kelch like family member 38","103814454"
"103822412","RAB44",-0.551950094973216,5.7055464798684765,22.830751022898294,5.972923136917687e-6,0.0026075393246527854,"RAB44, member RAS oncogene family","103822412"
"103816427","EDA",-1.6822311143797497,0.193240771616279,22.62166152502115,6.528054242339935e-6,0.002740276307726848,"ectodysplasin A","103816427"
"103818704","SESN1",0.3447456989360267,4.600573379528447,22.05952212741127,8.29735273589828e-6,0.0033539743614664384,"sestrin 1","103818704"
"103821878","RAB11B",-0.20024157563394604,8.502061402355386,21.793736267425118,9.297892222181356e-6,0.0035433037908041073,"RAB11B, member RAS oncogene family","103821878"
"103813948","KLF10",-0.6813255740295708,1.2981602772088703,21.75040659839061,9.472344278754651e-6,0.0035433037908041073,"KLF transcription factor 10","103813948"
"127060513","LOC127060513",-0.9372215383413207,6.416452532236265,21.685560516668954,9.739702558559942e-6,0.0035433037908041073,"ferritin heavy chain A-like","127060513"
"103819317","LOC103819317",-0.5866790829596185,2.759759011398135,21.603840251780095,1.0087661184636316e-5,0.003551507553842605,"cadherin-1-like","103819317"
"103824444","PHGDH",1.991344816150785,-1.0465180676174635,21.449172950093242,1.078144794133742e-5,0.0036771475884923937,"phosphoglycerate dehydrogenase","103824444"
"108964102","NPC1L1",0.576298790290699,1.6441191351306557,21.369871703301502,1.115591008965427e-5,0.0036895637187420215,"NPC1 like intracellular cholesterol transporter 1","108964102"
"103823281","MAPK13",-0.46186112785859573,3.490939056479219,21.285894088724692,1.1566981013242694e-5,0.003708439228654259,"mitogen-activated protein kinase 13","103823281"
"103823262","RHOC",1.2564131579128213,1.4096618780007184,21.22152093032377,1.1892557541038947e-5,0.003708439228654259,"ras homolog family member C","103823262"
"103817244","PDLIM4",1.4569417748734852,-1.7750808218696523,21.10589608768046,1.2501089097448873e-5,0.0037899135113765837,"PDZ and LIM domain 4","103817244"
"103823972","SLC25A44",0.246363974017284,6.461910702679237,20.96762028549749,1.3270855633852087e-5,0.003914543740212478,"solute carrier family 25 member 44","103823972"
"103815151","SH3GLB1",-0.262691352105679,4.440826617518016,19.572390358909306,2.4366169717693814e-5,0.006738886913537843,"SH3 domain containing GRB2 like, endophilin B1","103815151"
"103824820","NTRK1",-1.5645221002244896,-1.543630742091688,19.556933057258718,2.453194187271056e-5,0.006738886913537843,"neurotrophic receptor tyrosine kinase 1","103824820"
"127060560","LOC127060560",0.8466673045097988,-1.1450392695732559,19.505558545611066,2.5091250642727863e-5,0.006738886913537843,"uncharacterized LOC127060560","127060560"
"103817189","DALRD3",-0.2581987892859418,5.548051012882878,19.431205306760088,2.5923936515544417e-5,0.006738886913537843,"DALR anticodon binding domain containing 3","103817189"
"103815452","GPR17",1.5742761986375797,-0.6592325841829845,19.382790615925195,2.6481292057514447e-5,0.006738886913537843,"G protein-coupled receptor 17","103815452"
"103816359","IDS",-1.2119974289006743,-0.7706253272501211,19.37685194744097,2.6550498193341325e-5,0.006738886913537843,"iduronate 2-sulfatase","103816359"
"103821992","ATP8B3",-1.122030094308512,0.23587158178225823,19.197025902715442,2.8736174895550717e-5,0.0068687260299428185,"ATPase phospholipid transporting 8B3","103821992"
"103816256","F13A1",-0.31336023968210713,8.434521066134982,19.162554425495266,2.917576104035135e-5,0.0068687260299428185,"coagulation factor XIII A chain","103816256"
"103819313","CCT4",0.32334260581794017,4.259103653094958,19.15358672532542,2.9291243026330025e-5,0.0068687260299428185,"chaperonin containing TCP1 subunit 4","103819313"
"103813124","VWDE",-1.086753017481361,1.9543063782675116,19.131363045876977,2.9579450559585164e-5,0.0068687260299428185,"von Willebrand factor D and EGF domains","103813124"
"103816076","ACAN",1.476397100075454,-0.3696403957242959,19.03710811784048,3.083443016669894e-5,0.007010978559153172,"aggrecan","103816076"
"103819451","PSIP1",-0.3646996872422303,5.259390042212149,18.939864523777214,3.218641832792991e-5,0.007169032033286267,"PC4 and SRSF1 interacting protein 1","103819451"
"103813936","ANKRD22",-0.7984304743703783,0.7240670780921288,18.830263372589748,3.3783181650084844e-5,0.00737419289058052,"ankyrin repeat domain 22","103813936"
"127060153","LOC127060153",2.2225275497119075,-1.2370079384657713,18.628175132849798,3.694338396324743e-5,0.00790588416813495,"uncharacterized LOC127060153","127060153"
"103824057","PMF1",0.29491107031651265,5.367165574079782,18.377073040849154,4.1296010186611726e-5,0.00838448144544499,"polyamine modulated factor 1","103824057"
"103821879","LOC103821879",-0.47723190177366587,4.509922910200975,18.3729896198468,4.137097722692905e-5,0.00838448144544499,"uncharacterized LOC103821879","103821879"
"103821834","TEK",-1.3345223248979057,0.1137977417763766,18.298558144808673,4.276214792736814e-5,0.00838448144544499,"TEK receptor tyrosine kinase","103821834"
"103812721","INSIG1",0.5857663055088793,1.2636392120221003,18.25085934493645,4.367877050623413e-5,0.00838448144544499,"insulin induced gene 1","103812721"
"103814656","IGFBP2",-1.4575930012767253,0.06649423682918507,18.22180406832694,4.424696036408293e-5,0.00838448144544499,"insulin like growth factor binding protein 2","103814656"
"103816190","DMXL2",-0.21793258516461889,5.102877579654642,18.211786997770837,4.444459896746671e-5,0.00838448144544499,"Dmx like 2","103816190"
"103819803","TMEM100",1.0401604290645383,1.8053456740270581,18.206088116674827,4.4557442169306344e-5,0.00838448144544499,"transmembrane protein 100","103819803"
"103813292","CHADL",-0.6163487509297877,0.898833330688551,18.031713794964887,4.815586884052888e-5,0.008908019534331055,"chondroadherin like","103813292"
"103826934","FAM177A1",-0.3602120708019794,2.8123084442444832,17.979074583027245,4.9299623225907476e-5,0.00896760146479257,"family with sequence similarity 177 member A1","103826934"
"127060514","LOC127060514",0.4999479013914515,4.53074707055511,17.93779871436497,5.0215911259437394e-5,0.00898453205713934,"uncharacterized LOC127060514","127060514"
"108961920","LOC108961920",2.510383387910775,-0.49648362985175537,17.880465238176942,5.1517691588993635e-5,0.009068775580681879,"uncharacterized LOC108961920","108961920"
"103819540","RWDD2A",1.117946400130752,-1.1710399145376997,17.666263326994898,5.669492630942686e-5,0.009821721043509282,"RWD domain containing 2A","103819540"
"103820799","SSU72",-0.24536928092384816,5.934685062776402,17.59518340328096,5.85283073816128e-5,0.009849595572985913,"SSU72 homolog, RNA polymerase II CTD phosphatase","103820799"
"103814614","SLA",-0.27696702728190764,4.93515561130708,17.590136277523452,5.866077627305152e-5,0.009849595572985913,"Src like adaptor","103814614"
"C8H1orf52","C8H1orf52",0.2536044365491572,4.401577599508041,17.396540793420147,6.398082206524669e-5,0.010580101394243976,"chromosome 8 C1orf52 homolog","103814914"
"103818137","PTPN11",-0.2129053240960146,6.385260762582929,17.339285599072205,6.564707949019132e-5,0.010683431119568381,"protein tyrosine phosphatase non-receptor type 11","103818137"
"103819362","SMIM8",0.4776273538794705,1.7611321754159932,17.276921887394646,6.751266465705728e-5,0.010683431119568381,"small integral membrane protein 8","103819362"
"103818307","ACAD10",-0.342258869540391,4.565247013947994,17.26699662990332,6.781454707568876e-5,0.010683431119568381,"acyl-CoA dehydrogenase family member 10","103818307"
"103818866","SLC17A9",0.42386109794499455,1.4047052025255349,17.243939856293565,6.852118181874535e-5,0.010683431119568381,"solute carrier family 17 member 9","103818866"
"103821101","SETD9",0.9307344864855532,-1.3147451592282062,17.15317824636874,7.137691359130602e-5,0.010971938520218506,"SET domain containing 9","103821101"
"127059558","FAM241A",0.3279302074282124,4.748802578521563,17.08404983319787,7.363358895491497e-5,0.011161624859082528,"family with sequence similarity 241 member A","127059558"
"103821438","FAT4",-0.6329690376380057,-0.14432618456647744,17.052283119523473,7.469499327957605e-5,0.011167413104839631,"FAT atypical cadherin 4","103821438"
"103824149","NR2C2",-0.20309133730289747,6.083370437430169,16.991204342453848,7.678005623962104e-5,0.011324020727016541,"nuclear receptor subfamily 2 group C member 2","103824149"
"103823247","CERT1",-0.22129658494965293,6.349138031913816,16.87362379403112,8.096348603359685e-5,0.011781806487609014,"ceramide transporter 1","103823247"
"103821286","FDFT1",0.6281261721361779,1.3452045475318655,16.82118472529777,8.290386495960938e-5,0.011905431344331273,"farnesyl-diphosphate farnesyltransferase 1","103821286"
"103813738","CACNA2D1",1.1083632313515726,-0.05707998504146945,16.734155456838263,8.622998885493392e-5,0.012003797379195501,"calcium voltage-gated channel auxiliary subunit alpha2delta 1","103813738"
"103822217","CCND1",0.5314805039674941,1.9943863224721785,16.73411910103623,8.623140652820698e-5,0.012003797379195501,"cyclin D1","103822217"
"103815168","PTCH2",-0.8138460789589328,-0.024963320721787464,16.71733629510432,8.68883995745322e-5,0.012003797379195501,"patched 2","103815168"
"103826614","SUSD6",-0.24470644830953805,7.081323236587926,16.651409427483223,8.951927980163727e-5,0.012177100407724307,"sushi domain containing 6","103826614"
"103816818","SLC38A8",0.627836499722793,-0.7745717718539681,16.603812293527408,9.146933088159164e-5,0.012177100407724307,"solute carrier family 38 member 8","103816818"
"103813218","FOXRED2",0.4248400872141228,1.1164485823738857,16.601375215951183,9.157034165537235e-5,0.012177100407724307,"FAD dependent oxidoreductase domain containing 2","103813218"
"103818874","MTG2",-0.6964785342680949,1.122840301449903,16.576551323316437,9.260576634058252e-5,0.012177100407724307,"mitochondrial ribosome associated GTPase 2","103818874"
"103822078","LOC103822078",-0.23432663038304974,4.779504675271987,16.478527141232085,9.681309257938506e-5,0.012578786814421528,"ubiquitin-conjugating enzyme E2 R2","103822078"
"103824868","STAT6",0.932900001354314,4.14992911711942,16.374072114986816,1.0151252972723208e-4,0.0130342088169766,"signal transducer and activator of transcription 6","103824868"
"127059163","LOC127059163",-0.5689667030986877,0.164414963916652,16.33369396565573,1.0339124171302836e-4,0.013121069907627809,"uncharacterized LOC127059163","127059163"
"103820328","RFLNB",-0.437118641636107,2.332238801541799,16.29080829383847,1.0542568648863337e-4,0.013225470601574077,"refilin B","103820328"
"103825108","OCIAD2",-1.4590022600956463,0.9146466656457574,16.26413682079414,1.0671160215195096e-4,0.013234663930527189,"OCIA domain containing 2","103825108"
"108963859","LOC108963859",-0.4335968414673705,2.537674549602158,16.1006428660624,1.149534426314038e-4,0.014096650257069002,"zinc finger protein 345-like","108963859"
"103826035","EIF4E",-0.24098571625261211,7.001083572748567,16.063304426594357,1.1692555688815467e-4,0.014179172531970223,"eukaryotic translation initiation factor 4E","103826035"
"103813635","ACTR6",0.5341043738465632,5.088830264962334,15.994131024580659,1.2067126993359255e-4,0.01436569785991957,"actin related protein 6","103813635"
"103814557","LOC103814557",-0.3126381409108538,6.235709541233547,15.986422645037385,1.2109622531726226e-4,0.01436569785991957,"tissue factor pathway inhibitor","103814557"
"103817141","RFT1",0.40719216632393684,1.9911715520513442,15.931277084752603,1.2418144236755755e-4,0.014573293139779819,"RFT1 homolog","103817141"
"103826757","CD81",-0.23576542203411233,7.279426526747189,15.86306872105589,1.2810927555303704e-4,0.014699971123586033,"CD81 molecule","103826757"
"103817372","BRD8",0.20492298779301946,4.741626525079498,15.849892720890734,0.00012888258830328053,0.014699971123586033,"bromodomain containing 8","103817372"
"103813917","CEP55",0.7242574292402855,-0.43192807915576953,15.838672613865338,1.2954488036462418e-4,0.014699971123586033,"centrosomal protein 55","103813917"
"103815500","PASK",-0.26984501161953184,3.9441795220801747,15.820106670280559,1.3064845143740563e-4,0.014699971123586033,"PAS domain containing serine/threonine kinase","103815500"
"103826969","ROCK1",0.2969609635009847,5.252809122576216,15.721717645637352,1.366597740405871e-4,0.015219436468152731,"Rho associated coiled-coil containing protein kinase 1","103826969"
"103812751",NA,-1.453938712856081,1.091019233244824,15.63670059301234,1.4208229298332556e-4,0.015663496420404193,NA,NA
"103818357","ACP6",-1.090619271370087,0.32854935575979904,15.56031519455002,1.4714237384927045e-4,0.016059118681909377,"acid phosphatase 6, lysophosphatidic","103818357"
"103823845","LOC103823845",0.9542829429931752,3.0786221417757575,15.486740712206734,1.5219105878424348e-4,0.01644567540169538,"C-type lectin domain family 2 member B-like","103823845"
"108963199","GGCX",-0.3733918966588475,3.9231391621773763,15.342879136775387,1.625825209679596e-4,0.016578780457701163,"gamma-glutamyl carboxylase","108963199"
"127060462","LOC127060462",0.30168091997941987,5.322429235473637,15.33994117332935,1.6280216029983255e-4,0.016578780457701163,"uncharacterized LOC127060462","127060462"
"103824914","LOC103824914",-0.2367362556620976,4.805673048422707,15.338113361215134,1.6293895932646503e-4,0.016578780457701163,"spindlin-Z-like","103824914"
"103820011","OGFOD3",0.9835310595293562,5.599658601102899,15.319736439616152,1.6432091338722385e-4,0.016578780457701163,"2-oxoglutarate and iron dependent oxygenase domain containing 3","103820011"
"103820131","MYO18A",0.6058053289241752,3.631586548687709,15.317936781663008,1.6445689331923767e-4,0.016578780457701163,"myosin XVIIIA","103820131"
"103826319","PRPF39",0.18494128752482375,8.014738737932639,15.30042556508241,1.6578605996164314e-4,0.016578780457701163,"pre-mRNA processing factor 39","103826319"
"103819314","FAM161A",0.48968875744631324,6.197569000886044,15.2874588451119,1.667773789693296e-4,0.016578780457701163,"FAM161 centrosomal protein A","103819314"
"127059747","LOC127059747",0.6865480661979837,4.12808536456964,15.285522590945897,1.6692592846432965e-4,0.016578780457701163,"uncharacterized LOC127059747","127059747"
"103821869","LMNB2",0.30325624361878495,3.6685030313332354,15.272842208499089,1.6790212850744074e-4,0.016578780457701163,"lamin B2","103821869"
"103823648","ACAD8",0.4123449823399798,1.020283077412945,15.26365303796154,1.6861321521026472e-4,0.016578780457701163,"acyl-CoA dehydrogenase family member 8","103823648"
"103815375","SLC51A",-1.0262866611669614,2.352989101907476,15.167443243129453,1.7624636493256991e-4,0.017083244282266975,"solute carrier family 51 subunit alpha","103815375"
"103823287","SMPD2",0.42968321370503165,6.259156563361104,15.148572345911427,1.7778466382356654e-4,0.017083244282266975,"sphingomyelin phosphodiesterase 2","103823287"
