"gene","gene_name","logFC","logCPM","F","PValue","FDR","description"
"103820599","EZR",-0.646254777067827,3.6811357456956606,43.248602621401005,2.115644829053367e-9,2.011462221289979e-5,"ezrin"
"103815985","CGNL1",-2.1346536243067757,0.02758454429662654,41.31458517727411,4.252642426988976e-9,2.011462221289979e-5,"cingulin like 1"
"103812708","EXOG",-0.8742105481923486,3.898282017367122,40.594693147775345,5.529033043677787e-9,2.011462221289979e-5,"exo/endonuclease G"
"103822758","NEFM",-1.6634294097432252,0.5948155220754223,32.0226839172583,1.4130803689373504e-7,3.769572622254985e-4,"neurofilament medium chain"
"103816427","EDA",-1.9861570626639973,0.193240771616279,31.511135788800274,1.7269436605529524e-7,3.769572622254985e-4,"ectodysplasin A"
"103818618","SDC4",-0.8800628625217843,4.020001024916461,30.10667430125068,3.008694683589635e-7,4.3843626272673186e-4,"syndecan 4"
"103824367","MAPK8IP3",-0.4548144603548447,6.453714436406082,29.949737581826597,3.202564182793586e-7,4.3843626272673186e-4,"mitogen-activated protein kinase 8 interacting protein 3"
"103813561","BEND7",-0.8662331159796031,4.166312403260797,29.517373316630533,3.805414770427482e-7,4.3843626272673186e-4,"BEN domain containing 7"
"115485415","FANCM",-0.6799949554266081,3.4598551177207897,29.176432735822644,4.3617849362807754e-7,4.3843626272673186e-4,"FA complementation group M"
"103818094","GOLGA3",-0.3458989638154183,5.616824401950706,29.157586525812977,4.3948613774184415e-7,4.3843626272673186e-4,"golgin A3"
"103820505","TTC38",-2.222550324380794,-1.213175164488606,29.14397464627756,4.4189104727817947e-7,4.3843626272673186e-4,"tetratricopeptide repeat domain 38"
"103820271","GUSB",0.40698104587976625,3.6885899434537373,28.536252014274663,5.641749960436969e-7,5.131171589017424e-4,"glucuronidase beta"
"103815375","SLC51A",-1.4094031862534506,2.352989101907476,28.2542823785002,6.321675605631165e-7,5.30728981229681e-4,"solute carrier family 51 subunit alpha"
"103826311","GNG2",1.1167397494004578,4.714156495856399,27.957339265004016,7.128644215556348e-7,5.557287354898713e-4,"G protein subunit gamma 2"
"103815402","DLG1",-1.3417263186739223,3.8479526832661803,27.659603647587815,8.043737969951171e-7,5.852623746936472e-4,"discs large MAGUK scaffold protein 1"
"103822013","CPAMD8",-1.0988258115842549,4.375719464562386,27.428401831643118,8.836557777848605e-7,6.02763697421498e-4,"C3 and PZP like alpha-2-macroglobulin domain containing 8"
"103826833",NA,0.9238500099934582,7.968801057395157,26.148563832077286,1.4921178814305499e-6,9.57939679878413e-4,NA
"103822821","HMBS",-0.20829882479908113,7.386983981930845,25.991821676115652,1.5916516454798143e-6,9.650714477092608e-4,"hydroxymethylbilane synthase"
