"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ONTOLOGY","comparison"
"GO:0050896","response to stimulus",338,0.42826281025453344,1.8615790475692406,7.724926608039024e-9,2.943197037662868e-6,2.634606548425941e-6,1836,"tags=29%, list=17%, signal=25%","103826749/103826392/103826311/103824282/103820351/103822351/103823970/103821712/103821581/103816081/103813055/108961868/103823262/103815911/103821001/103820948/103818774/103816556/103813313/103823859/103812980/103818104/103819027/103814640/103826483/103821150/103821247/103819051/103826308/103821958/103814184/103812698/103812440/103826750/103812309/103813716/103818014/103827024/103824424/103820783/103816444/103817300/103816031/103813169/103815840/103813598/103812959/103815253/103815624/103812987/103822777/103820459/103819654/103817727/103816118/103826065/103823134/103817665/103814562/103816650/103812985/103818168/103812282/103820596/103821405/103814266/103813890/103823962/103817368/103815909/103822624/103820083/103819799/103812764/103815817/103812919/103815358/103814022/103817524/103826582/103819235/103818395/103827103/103813235/103815508/103816039/103822764/103825066/103823831/103818704/103812645/103826478/103826629/103819164/103822712/103823730/103822320/103826581","BP","infection_all"
"GO:0002376","immune system process",37,0.7049623583189277,2.2176830188326,5.926340956528421e-7,1.1289679522186642e-4,1.0105970894290572e-4,939,"tags=41%, list=9%, signal=37%","103824282/103820351/103823970/103821712/103816081/103813055/103815911/103813313/103812980/103821247/103819051/103814184/103812309/103816444/103812959","BP","infection_all"
"GO:0006955","immune response",32,0.7243821241638789,2.1973327865653194,1.2920200584112322e-6,1.6408654741822647e-4,1.4688228032464534e-4,939,"tags=44%, list=9%, signal=40%","103824282/103820351/103823970/103821712/103816081/103813055/103815911/103813313/103812980/103819051/103814184/103812309/103816444/103812959","BP","infection_all"
"GO:0006412","translation",58,-0.5995010101070325,-2.1312125837268363,5.776901781225717e-6,5.349697725795917e-4,4.788788681193196e-4,1975,"tags=47%, list=18%, signal=38%","103820088/103815291/103822885/103826008/103817860/103812407/103827119/103813272/103819445/103817571/103812360/103824076/103812957/103824232/103812989/103814742/103821868/103814085/103824808/103813219/103814016/103815368/103816764/103820545/103824530/103816293/103820125","BP","infection_all"
"GO:0043043","peptide biosynthetic process",59,-0.594211578819834,-2.1048352000188406,7.020600690020888e-6,5.349697725795917e-4,4.788788681193196e-4,2388,"tags=51%, list=22%, signal=40%","103820009/103820195/103813003/103820088/103815291/103822885/103826008/103817860/103812407/103827119/103813272/103819445/103817571/103812360/103824076/103812957/103824232/103812989/103814742/103821868/103814085/103824808/103813219/103814016/103815368/103816764/103820545/103824530/103816293/103820125","BP","infection_all"
"GO:0051716","cellular response to stimulus",281,0.3909773425940855,1.6517547984910652,9.517275502268953e-6,6.043469943940785e-4,5.409819759184458e-4,1836,"tags=28%, list=17%, signal=24%","103826749/103826392/103826311/103821581/103813055/108961868/103823262/103815911/103821001/103818774/103816556/103813313/103823859/103812980/103818104/103819027/103814640/103826483/103821150/103821247/103819051/103826308/103821958/103814184/103812698/103812440/103826750/103813716/103818014/103827024/103824424/103820783/103816444/103817300/103816031/103815840/103813598/103822777/103820459/103819654/103817727/103816118/103826065/103823134/103817665/103814562/103816650/103812282/103820596/103821405/103814266/103813890/103817368/103815909/103820083/103819799/103812764/103815817/103812919/103814022/103817524/103826582/103819235/103818395/103827103/103813235/103815508/103816039/103822764/103825066/103823831/103818704/103826478/103826629/103822712/103823730/103822320/103826581","BP","infection_all"
"GO:0023052","signaling",231,0.4067116282868658,1.6868463828220768,2.1818283964334296e-5,0.001187538027201624,0.0010630261660818515,1921,"tags=31%, list=18%, signal=26%","103826749/103826392/103826311/103813055/103823262/103815911/103821001/103818774/103816556/103813313/103823859/103818104/103819027/103814640/103821150/103821247/103819051/103826308/103821958/103814184/103812698/103812440/103826750/103813716/103818014/103826333/103824424/103820783/103816444/103817300/103816031/103815840/103813598/103822777/103820459/103817727/103816118/103826065/103823134/103817665/103814562/103816650/103812282/103821405/103814266/103813890/103817368/103815909/103819799/103812764/103812919/103814022/103817524/103826582/103819235/103818395/103813235/103815508/103816039/103822764/103825066/103823831/103818704/103826478/103826629/103822712/103823730/103822320/103826581/103818997/103813115/103813976","BP","infection_all"
"GO:0009605","response to external stimulus",30,0.6935263961988374,2.0826626579460132,3.153561334193095e-5,0.001335007631475077,0.0011950337687468573,1442,"tags=50%, list=13%, signal=44%","103824282/103820351/103822351/103821712/103813055/103815911/103812980/103819051/103816444/103813169/103812959/103812987/103812985/103823962/103822624","BP","infection_all"
"GO:0006518","peptide metabolic process",64,-0.5554926246587125,-2.000788661417729,2.8868310716127024e-5,0.001335007631475077,0.0011950337687468573,2388,"tags=48%, list=22%, signal=38%","103820009/103820195/103813003/103820088/103816976/103815291/103822885/103826008/103817860/103812407/103827119/103813272/103819445/103817571/103812360/103824076/103812957/103824232/103812989/103814742/103821868/103814085/103824808/103813219/103814016/103815368/103816764/103820545/103824530/103816293/103820125","BP","infection_all"
"GO:0006952","defense response",23,0.739429094066957,2.0808426736415053,3.5723667241046435e-5,0.0013610717218838692,0.0012183650722209522,1420,"tags=57%, list=13%, signal=49%","103824282/103820351/103822351/103813055/103815911/103820948/103812980/103819051/103816444/103812959/103815624/103812985/103823962","BP","infection_all"
"GO:0007165","signal transduction",227,0.40181843902585407,1.6612517456822518,4.070197987317727e-5,0.00137764400233087,0.0012331997700102278,1921,"tags=31%, list=18%, signal=26%","103826749/103826392/103826311/103813055/103823262/103815911/103821001/103818774/103816556/103813313/103823859/103818104/103819027/103814640/103821150/103821247/103819051/103826308/103821958/103814184/103812698/103812440/103826750/103813716/103818014/103824424/103820783/103816444/103817300/103816031/103815840/103813598/103822777/103820459/103817727/103816118/103826065/103823134/103817665/103814562/103816650/103812282/103821405/103814266/103813890/103817368/103815909/103819799/103812764/103812919/103814022/103817524/103826582/103819235/103818395/103813235/103815508/103816039/103822764/103825066/103823831/103818704/103826478/103826629/103822712/103823730/103822320/103826581/103813115/103813976","BP","infection_all"
"GO:0007154","cell communication",233,0.3955433003303228,1.6418647356642067,4.339036227813764e-5,0.00137764400233087,0.0012331997700102278,1930,"tags=31%, list=18%, signal=26%","103826749/103826392/103826311/103813055/103823262/103815911/103821001/103818774/103816556/103813313/103823859/103818104/103819027/103814640/103821150/103821247/103819051/103826308/103821958/103814184/103812698/103812440/103826750/103813716/103818014/103824424/103820783/103816444/103817300/103816031/103815840/103813598/103822777/103820459/103817727/103816118/103826065/103823134/103817665/103814562/103816650/103812282/103821405/103814266/103813890/103817368/103815909/103819799/103812764/103812919/103814022/103817524/103826582/103819235/103818395/103813235/103815508/103816039/103822764/103825066/103823831/103818704/103826478/103826629/103822712/103823730/103822320/103826581/103818997/103813115/103813976/103814676","BP","infection_all"
"GO:0043604","amide biosynthetic process",66,-0.5309676084112206,-1.921590982272466,5.845315034352252e-5,0.001713126944683237,0.0015335077499029392,1975,"tags=48%, list=18%, signal=40%","103820009/103820195/103813003/103820088/103815291/103822885/103826008/103817860/103812407/103827119/103826729/103813272/103819445/103817571/103812360/103824076/103812957/103824232/103812989/103814742/103821868/103814085/103824808/103813219/103814016/103815368/103816764/103820545/103824530/103816293/103820125/103821875","BP","infection_all"
