gene,external_gene_name,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std,entrezgene_description
103826733,CPT1A,-0.7548423203471271,3.966705885635306,-5.198889820087811,6.4134217337478634e-6,0.07335030436887431,-0.6983297341919892,-4.512280750169874,carnitine palmitoyltransferase 1A
103816818,NA,0.6077222988406598,-1.184856777560252,3.802300659632739,5.656614555223172e-4,0.9998792352733019,-0.07332538357823548,3.447566347372868,NA
103822461,GOLGB1,-0.49617284987501353,5.325525459750266,-3.549868964193774,0.0010392732631413495,0.9998792352733019,-3.6613799295744123,-3.2796733881323354,golgin B1
103820084,RFFL,0.5255731864168947,1.862669457633208,3.423619254791035,0.0013587381534376599,0.9998792352733019,-2.4356487679258225,3.203275744726759,ring finger and FYVE like domain containing E3 ubiquitin protein ligase
103812672,,-0.8872611884351851,0.4172556923828096,-3.417726236751199,0.0017035454705052514,0.9998792352733019,-2.3774774952179323,-3.137570075790533,cathelicidin antimicrobial peptide
127060560,NA,0.8572372813274626,-1.7372198630953917,3.297762923676804,0.0021108816283988766,0.9998792352733019,-2.3860778520624244,3.07417133824535,NA
115484424,NA,-0.831820406115338,-2.5893023109527267,-3.2767315093073583,0.0021423111206356716,0.9998792352733019,-1.542997344613231,-3.0697596303372303,NA
103817479,,-0.7257365413227975,-1.5006766573125145,-3.32066249864869,0.002296365876915553,0.9998792352733019,-1.6260887946400677,-3.0489579944544474,leukotriene C4 synthase
103822109,DHCR7,0.9691574439112234,-1.3513686953644495,3.2688972238320515,0.002358085374373239,0.9998792352733019,-2.1997450653718444,3.0409812211263323,7-dehydrocholesterol reductase
103819970,NA,-0.14670156718176308,7.401742550228037,-3.1963841872311303,0.00282613481815748,0.9998792352733019,-2.504883485748023,-2.9860423713503996,NA
103820754,PAXBP1,-0.24838176806382206,6.939998271713143,-3.1768850457085187,0.002907080830880542,0.9998792352733019,-3.380440737298465,-2.9773961806804774,PAX3 and PAX7 binding protein 1
103818632,OSER1,-0.33861412581606176,7.053712242883769,-3.140894024257169,0.0032122710506556655,0.9998792352733019,-3.2908325528106293,-2.946659115976538,oxidative stress responsive serine rich 1
103827351,NA,0.49774599633683203,3.9878803409341304,3.1418513680721656,0.0032246077695411535,0.9998792352733019,-2.481658302827756,2.9454734921779133,NA
103823751,NA,-0.668742272653579,-2.0102505775576978,-3.133781319261103,0.0036081956827719594,0.9998792352733019,-1.6728942358776124,-2.9105271920544906,NA
103813936,ANKRD22,-0.8377041326371093,0.2872223788456754,-3.0973438535358895,0.004066274407260537,0.9998792352733019,-2.730932165856526,-2.872974107916089,ankyrin repeat domain 22
103826319,PRPF39,0.204474727876649,7.9929199092323655,3.0488976572644098,0.004067576194019091,0.9998792352733019,-2.688582819982717,2.8728729812403198,pre-mRNA processing factor 39
103812721,INSIG1,0.5975302084492946,1.0134373316096157,3.0493181991830642,0.004068485676945436,0.9998792352733019,-2.6189171833871248,2.8728023473247237,insulin induced gene 1
103812321,NA,-0.6202897322522707,2.092073902770998,-3.0822671019586196,0.004170463929407877,0.9998792352733019,-3.2043196713569473,-2.8649717899944394,NA
