gene,external_gene_name,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std,entrezgene_description
115484737,NA,-0.9582782478948011,2.878685304494557,-4.776120422696777,1.091528725759111e-5,0.061930982412492855,3.0641548153148452,-4.398199004132237,NA
103826057,NA,0.2847827221486732,9.021409054790688,4.613524674154648,1.534744711049719e-5,0.061930982412492855,2.5658637972425122,4.3236417174162955,NA
103814001,AP3M1,-0.34227064511624894,4.084283623777029,-4.606986251592628,1.681641532555783e-5,0.061930982412492855,2.5322295973709457,-4.303442965462805,adaptor related protein complex 3 subunit mu 1
103820730,TRAT1,-0.42976199195148457,4.376558235661195,-4.462259310523065,2.6430247089791755e-5,0.061930982412492855,2.1421448796703615,-4.202226509369842,T-cell receptor-associated transmembrane adapter 1
103818267,SERINC1,0.3554949926475217,7.895507252672698,4.404998969061642,3.057636726172228e-5,0.061930982412492855,1.9634721959826722,4.169130659804229,serine incorporator 1
103819569,GABARAPL1,0.2640443417086136,7.2881130377244085,4.409771087289699,3.315470987857316e-5,0.061930982412492855,1.939268757446884,4.150639860143846,gamma-aminobutyric acid receptor-associated protein-like 1
103818137,NA,0.21757987294712322,6.357834078440121,4.353268189371085,4.084167081736007e-5,0.061930982412492855,1.7654578359335842,4.1026659554392575,NA
127060867,NA,0.5378681429441334,4.014209506407166,4.331911058863885,4.331973938095155e-5,0.061930982412492855,1.717491621422118,4.0890211306754765,NA
103815892,,-0.8121363643149933,0.3615825326585829,-4.282765036139298,5.645075350870779e-5,0.06708297431358592,1.6052080529672823,-4.027176099079857,inducible T cell costimulator ligand
103812880,NA,0.46104841174255995,2.270242356192787,4.191174688903776,7.12516557718451e-5,0.06708297431358592,1.3199891875740732,3.9720670537609366,NA
103813327,HEBP1,-0.5686555750162592,3.983279167179413,-4.188834655394728,7.898352820202045e-5,0.06708297431358592,1.2540762239112313,-3.947463580930101,heme binding protein 1
127059259,NA,-0.768840987271527,1.2399448554410049,-4.159905669616155,8.345032154249133e-5,0.06708297431358592,1.2145818297943753,-3.9342688868503557,NA
103815753,U2AF1,0.2082382603198223,5.273946860808318,4.188496013245055,8.495925911184155e-5,0.06708297431358592,1.2496385415018247,3.9299620798647568,U2 small nuclear RNA auxiliary factor 1
103817650,PRKAR1B,-0.29692739313006244,3.7290514097284,-4.151137446541886,8.619674901370796e-5,0.06708297431358592,1.1810019346063347,-3.926483649003907,protein kinase cAMP-dependent type I regulatory subunit beta
103824051,NA,0.17520335222043926,8.431467898956221,4.139528210436648,8.798151741748612e-5,0.06708297431358592,1.1311778500446277,3.9215490946279097,NA
103823050,NA,0.5613615165167607,1.5252364725242809,4.110810724908505,1.1016756213594138e-4,0.07584823139497589,1.0071931062987778,3.8670329175944134,NA
103818289,NA,0.48973051957072045,5.5071932433995086,4.014919722793833,1.3948598067463098e-4,0.07584823139497589,0.7600073592085064,3.809077952246948,NA
