# Assembly Statistics Report
# Assembly name:  serCan2020
# Organism name:  Serinus canaria (Common canary)
# Isolate:  serCan28SL12
# Sex:  female
# Taxid:          9135
# BioSample:      SAMN25990113
# BioProject:     PRJNA807488
# Submitter:      Max Planck Institute for Biological Intelligence, in foundation, Seewiesen
# Date:           2022-08-25
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAKSEN01
# Assembly method: CSA v. 2.6; 3dDNA v. 180419; flye polish v. 2.7.1-b1590
# Expected final version: yes
# Genome coverage: 28x SMRT; 54x Illumina
# Sequencing technology: pacbio sequel; Illumina
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_022539315.2
# RefSeq assembly accession: GCF_022539315.1
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_022539385.2	GCF_022539385.1	Primary Assembly
## 	GCF_007822195.1	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	1050352878
all	all	all	all	spanned-gaps	1054
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	685
all	all	all	all	scaffold-N50	72083177
all	all	all	all	scaffold-L50	5
all	all	all	all	scaffold-N75	20969381
all	all	all	all	scaffold-N90	14760271
all	all	all	all	contig-count	1739
all	all	all	all	contig-N50	12206373
all	all	all	all	contig-L50	27
all	all	all	all	total-gap-length	527000
all	all	all	all	molecule-count	32
all	all	all	all	top-level-count	685
all	all	all	all	component-count	685
all	all	all	all	gc-perc	42.5
Primary Assembly	all	all	all	total-length	1050336073
Primary Assembly	all	all	all	ungapped-length	1049809073
Primary Assembly	all	all	all	scaffold-count	684
Primary Assembly	all	all	all	scaffold-N50	72083177
Primary Assembly	all	all	all	spanned-gaps	1054
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	42.5
Primary Assembly	all	all	assembled-molecule	total-length	1038938673
Primary Assembly	all	all	assembled-molecule	ungapped-length	1038417673
Primary Assembly	all	all	assembled-molecule	scaffold-count	31
Primary Assembly	all	all	assembled-molecule	scaffold-N50	72083177
Primary Assembly	all	all	assembled-molecule	spanned-gaps	1042
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	42.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	5520952
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	5516952
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	1
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	5520952
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	8
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	gc-perc	46.5
Primary Assembly	na	na	unplaced-scaffold	total-length	5876448
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	5874448
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	652
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	10232
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	4
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	53
Primary Assembly	1	Chromosome	all	total-length	114833323
Primary Assembly	1	Chromosome	all	ungapped-length	114815823
Primary Assembly	1	Chromosome	all	scaffold-count	1
