gene,external_gene_name,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std,entrezgene_description
103826733,CPT1A,-0.7786650026552202,3.966705885635306,-4.3441464477047225,4.709292713348556e-5,0.5386018076256743,-2.470132417336695,-4.06960492617987,carnitine palmitoyltransferase 1A
103824734,,-0.43160055799862773,1.9756378334111504,-3.4770405866171084,8.483809264562985e-4,0.9998561014360555,-2.458566594768044,-3.336507653822179,mothers against decapentaplegic homolog 2-like
103812321,NA,-0.8475955734970091,2.092073902770998,-3.506464940554711,8.961583268678565e-4,0.9998561014360555,-3.2129920272985295,-3.321248112351497,NA
127060743,NA,1.4652623025051341,-2.338897449553812,3.3779259610840104,0.0011299044949826715,0.9998561014360555,-2.371028218438634,3.256008297333998,NA
103816637,DUS2,-0.7748861871846427,-1.032028832713336,-3.3755430521590615,0.001163777613222098,0.9998561014360555,-2.1391734180223216,-3.2476122196203305,dihydrouridine synthase 2
103822461,GOLGB1,-0.5244379243273967,5.325525459750266,-3.4255628647920124,0.00120809200037661,0.9998561014360555,-3.8653296638114525,-3.2369627029833508,golgin B1
DYNC2I1,DYNC2I1,-1.0711907443582969,-1.06644810294061,-3.291507400181604,0.0015983230562828922,0.9998561014360555,-2.3818316210176786,-3.156212615820861,
103820084,RFFL,0.6342497313074213,1.862669457633208,3.19558095160327,0.002042334679995571,0.9998561014360555,-3.2336400687146596,3.0840060124002306,ring finger and FYVE like domain containing E3 ubiquitin protein ligase
103826319,PRPF39,0.28244972932969414,7.9929199092323655,3.138560262880623,0.0024335058162644188,0.9998561014360555,-3.1318718811264548,3.0314892548893817,pre-mRNA processing factor 39
103818917,MAPKAP1,0.19939943192356946,4.730982027707381,3.067225248395164,0.0030421855740644893,0.9998561014360555,-3.2572148542666097,2.963442839438268,MAPK associated protein 1
103820704,MYO10,-1.5034259018294003,-2.4088138227879083,-3.016839697124649,0.0035398068683135096,0.9998561014360555,-3.2153136657366583,-2.9165017945462886,myosin X
127059163,NA,-0.7923416448695744,-0.15753604030046559,-2.990100896570927,0.003860778467108473,0.9998561014360555,-3.3867786678043794,-2.8893184707734383,NA
103816771,CHTF8,1.164902025973384,-2.218375374134415,2.9286251144827777,0.004442130131932442,0.9998561014360555,-2.823435546576212,2.8449291578566687,chromosome transmission fidelity factor 8
115484424,NA,-1.15808179974487,-2.5893023109527267,-2.9130790763034398,0.0047684045554140814,0.9998561014360555,-2.8532952374588607,-2.822276501920213,NA
115484041,NA,1.5929903886318089,-3.278871679622824,2.8660173281603676,0.005300119337887107,0.9998561014360555,-3.16127332330733,2.7882037783455664,NA
103814732,TYW5,0.3976061888730349,1.5799999976651196,2.8701853960260633,0.005415983619572394,0.9998561014360555,-3.3932854706231126,2.781191155802311,tRNA-yW synthesizing protein 5
103816073,MFGE8,-1.0312152725488721,-0.9045734328578828,-2.84157744235858,0.006025176959073141,0.9998561014360555,-3.503726011973516,-2.746408067689753,milk fat globule EGF and factor V/VIII domain containing
103826226,NA,-0.4851038248158618,0.9499171286490833,-2.8328839931283483,0.006129324329311999,0.9998561014360555,-3.3631032064106328,-2.7407815505823616,NA
103813295,TEF,-0.23011500307955046,8.30461951533108,-2.8212659789381913,0.006167378957872964,0.9998561014360555,-3.545410390136289,-2.738747128091655,"TEF transcription factor, PAR bZIP family member"
103821356,HMBOX1,-0.4006906740293896,4.166206423373122,-2.812956551788799,0.006389119338456078,0.9998561014360555,-3.5711134705379832,-2.7271128013867867,homeobox containing 1
