row_id,gene,description,Diet,GOterms
1,AAAS,product aladin WD repeat nucleoporin,ProteinUp,
2,ACAD11,product acyl-CoA dehydrogenase family member 11,ProteinUp,"GO:0005634,GO:0031966,GO:0004466,GO:0017099,GO:0070991,GO:0033539,GO:0016627,GO:0050660"
3,ACER1,"product alkaline ceramidase 1, transcript variant X2",ProteinUp,"GO:0005783,GO:0030216,GO:0046514,GO:0071633,GO:0017040,GO:0008544,GO:0010446,GO:0030148,GO:0030154,GO:0046512,GO:0071277,GO:0006672,GO:0016811,GO:0016021,GO:0006672,GO:0016811,GO:0016021"
4,ADNP2,"product ADNP homeobox 2, transcript variant X2",LipidUp,"GO:0060548,GO:0071300,GO:0034599,GO:0030307,GO:0030182,GO:0003677"
5,ADPGK,"product ADP dependent glucokinase, transcript variant X2",ProteinUp,"GO:0006006,GO:0005783,GO:0043843,GO:0016773,GO:0005975,GO:0016773,GO:0005975"
6,AIG1,product androgen-induced gene 1 protein,ProteinUp,"GO:0016020,GO:0016787,GO:0042758,GO:0016021"
7,ALDH18A1,product delta-1-pyrroline-5-carboxylate synthase isoform X4,ProteinUp,"GO:0004349,GO:0004350,GO:0042802,GO:0005739,GO:0006536,GO:0006561,GO:0006592,GO:0019240,GO:0016620,GO:0016491,GO:0003824,GO:0005737"
8,ALG11,"product GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase isoform X2",ProteinUp,"GO:0004377,GO:0016757,GO:0004377,GO:0016757"
9,AMPD3,product AMP deaminase 3 isoform X2,ProteinUp,"GO:0032264,GO:0009168,GO:0003876,GO:0019239"
10,ANKEF1,product ankyrin repeat and EF-hand domain-containing protein 1 isoform X2,ProteinUp,GO:0005515
11,ANKRD13D,product ankyrin repeat domain-containing protein 13D,LipidUp,"GO:0005737,GO:0005886,GO:0048471,GO:0140036,GO:0002091,GO:0005515"
12,ANKRD42,product ankyrin repeat domain-containing protein 42 isoform X6,LipidUp,"GO:0005634,GO:0051091,GO:1900017,GO:0051092,GO:0005515,GO:0051059,GO:0005515"
13,ANO6,product anoctamin-6,ProteinUp,"GO:0005829,GO:0005886,GO:0005227,GO:0005229,GO:0005247,GO:0002543,GO:0006812,GO:0006821,GO:0017121,GO:0030501,GO:0032060,GO:0034767,GO:0035590,GO:0035725,GO:0045794,GO:0046931,GO:0070588,GO:0090026,GO:0097045,GO:1902476,GO:2000353,GO:0034707,GO:0061588,GO:0007596,GO:0002407,GO:0046983,GO:0017128"
14,AOX1,product aldehyde oxidase isoform X3,ProteinUp,"GO:0005829,GO:0042802,GO:0042803,GO:0005506,GO:0004031,GO:0043546,GO:0050660,GO:0051537,GO:0006805,GO:0051287,GO:0046872,GO:0071949,GO:0016491,GO:0051536"
15,AP2S1,product AP-2 complex subunit sigma,ProteinUp,"GO:0030122,GO:0035615,GO:0072583,GO:0030117,GO:0015031,GO:0006886,GO:0016192,GO:0030122,GO:0035615,GO:0072583,GO:0030117,GO:0015031,GO:0006886,GO:0016192"
